,datetime,YALE_RESERVOIR_NEAR_YALE__WA.tsv
504,2014-05-20,373087.52
505,2014-05-21,373086.26
506,2014-05-22,373084.49
507,2014-05-23,373083.92
508,2014-05-24,373083.69333333336
509,2014-05-25,373083.4666666667
510,2014-05-26,373083.24
511,2014-05-27,373083.78
512,2014-05-28,373084.08
513,2014-05-29,373084.68
514,2014-05-30,373085.31
515,2014-05-31,373085.16
516,2014-06-01,373085.1
517,2014-06-02,373085.59
518,2014-06-03,373086.16
519,2014-06-04,373085.7
520,2014-06-05,373086.06
521,2014-06-06,373086.14
522,2014-06-07,373086.18
523,2014-06-08,373086.42
524,2014-06-09,373086.03
525,2014-06-10,373085.56
526,2014-06-11,373085.52
527,2014-06-12,373085.27
528,2014-06-13,373084.74
529,2014-06-14,373084.75
530,2014-06-15,373084.48
531,2014-06-16,373084.45
532,2014-06-17,373084.54
533,2014-06-18,373084.04
534,2014-06-19,373083.96
535,2014-06-20,373083.17
536,2014-06-21,373082.61
537,2014-06-22,373081.98
538,2014-06-23,373081.26
539,2014-06-24,373080.47
540,2014-06-25,373079.46
541,2014-06-26,373079.46
542,2014-06-27,373080.18
543,2014-06-28,373080.69
544,2014-06-29,373080.97
545,2014-06-30,373081.25
546,2014-07-01,373082.41
547,2014-07-02,373082.64
548,2014-07-03,373082.58
549,2014-07-04,373081.57
550,2014-07-05,373081.02
551,2014-07-06,373080.19
552,2014-07-07,373079.95
553,2014-07-08,373079.69
554,2014-07-09,373079.82
555,2014-07-10,373079.12
556,2014-07-11,373078.69
557,2014-07-12,373078.25
558,2014-07-13,373077.94
559,2014-07-14,373077.31
560,2014-07-15,373078.0
561,2014-07-16,373078.56
562,2014-07-17,373078.84
563,2014-07-18,373079.23
564,2014-07-19,373079.17
565,2014-07-20,373078.98
566,2014-07-21,373078.76
567,2014-07-22,373078.6
568,2014-07-23,373078.65
569,2014-07-24,373078.92
570,2014-07-25,373079.45
571,2014-07-26,373080.01
572,2014-07-27,373079.95
573,2014-07-28,373080.15
574,2014-07-29,373080.19
575,2014-07-30,373080.45
576,2014-07-31,373080.93
577,2014-08-01,373081.04
578,2014-08-02,373080.8
579,2014-08-03,373080.94
580,2014-08-04,373080.87
581,2014-08-05,373080.68
582,2014-08-06,373080.68
583,2014-08-07,373080.41
584,2014-08-08,373080.58
585,2014-08-09,373080.32
586,2014-08-10,373080.17
587,2014-08-11,373080.05
588,2014-08-12,373079.57
589,2014-08-13,373078.81
590,2014-08-14,373078.94
591,2014-08-15,373079.15
592,2014-08-16,373079.59
593,2014-08-17,373080.38
594,2014-08-18,373081.24
595,2014-08-19,373081.31
596,2014-08-20,373081.78
597,2014-08-21,373083.32
598,2014-08-22,373083.96
599,2014-08-23,373083.3
600,2014-08-24,373084.07
601,2014-08-25,373084.67
602,2014-08-26,373084.74
603,2014-08-27,373084.46
604,2014-08-28,373084.0
605,2014-08-29,373084.67
606,2014-08-30,373085.31
607,2014-08-31,373085.15
608,2014-09-01,373085.9
609,2014-09-02,373086.24
610,2014-09-03,373086.87
611,2014-09-04,373086.95
612,2014-09-05,373087.26
613,2014-09-06,373087.42
614,2014-09-07,373087.74
615,2014-09-08,373088.03
616,2014-09-09,373088.18
617,2014-09-10,373088.35
618,2014-09-11,373088.82
619,2014-09-12,373088.52
620,2014-09-13,373088.16
621,2014-09-14,373087.8
622,2014-09-15,373087.9
623,2014-09-16,373087.75
624,2014-09-17,373087.51
625,2014-09-18,373087.17
