,datetime,WYNOOCHEE_LAKE_NEAR_GRISDALE__WA.tsv
858,2015-05-09,27753.95
859,2015-05-10,27753.79
860,2015-05-11,27753.65
861,2015-05-12,27753.5
862,2015-05-13,27753.38
863,2015-05-14,27753.24
864,2015-05-15,27753.11
865,2015-05-16,27752.97
866,2015-05-17,27752.81
867,2015-05-18,27752.66
868,2015-05-19,27752.49
869,2015-05-20,27752.31
870,2015-05-21,27752.12
871,2015-05-22,27751.92
872,2015-05-23,27751.71
873,2015-05-24,27751.5
874,2015-05-25,27751.29
875,2015-05-26,27751.07
876,2015-05-27,27750.85
877,2015-05-28,27750.62
878,2015-05-29,27750.38
879,2015-05-30,27750.14
880,2015-05-31,27749.9
881,2015-06-01,27749.68
882,2015-06-02,27749.45
883,2015-06-03,27749.22
884,2015-06-04,27748.98
885,2015-06-05,27748.73
886,2015-06-06,27748.48
887,2015-06-07,27748.22
888,2015-06-08,27747.96
889,2015-06-09,27747.69
890,2015-06-10,27747.41
891,2015-06-11,27747.14
892,2015-06-12,27746.86
893,2015-06-13,27746.59
894,2015-06-14,27746.32
895,2015-06-15,27746.05
896,2015-06-16,27745.78
897,2015-06-17,27745.51
898,2015-06-18,27745.24
899,2015-06-19,27744.95
900,2015-06-20,27744.69
901,2015-06-21,27744.43
902,2015-06-22,27744.18
903,2015-06-23,27743.91
904,2015-06-24,27743.65
905,2015-06-25,27743.37
906,2015-06-26,27743.1
907,2015-06-27,27742.83
908,2015-06-28,27742.56
909,2015-06-29,27742.29
910,2015-06-30,27742.02
911,2015-07-01,27741.74
912,2015-07-02,27741.46
913,2015-07-03,27741.17
914,2015-07-04,27740.88
915,2015-07-05,27740.59
916,2015-07-06,27740.29
917,2015-07-07,27740.0
918,2015-07-08,27739.7
919,2015-07-09,27739.4
920,2015-07-10,27739.11
921,2015-07-11,27738.86
922,2015-07-12,27738.6
923,2015-07-13,27738.31
924,2015-07-14,27738.02
925,2015-07-15,27737.7
926,2015-07-16,27737.38
927,2015-07-17,27737.06
928,2015-07-18,27736.74
929,2015-07-19,27736.41
930,2015-07-20,27736.09
931,2015-07-21,27735.76
932,2015-07-22,27735.42
933,2015-07-23,27735.09
934,2015-07-24,27734.8
935,2015-07-25,27734.49
936,2015-07-26,27734.18
937,2015-07-27,27733.85
938,2015-07-28,27733.52
939,2015-07-29,27733.18
940,2015-07-30,27732.82
941,2015-07-31,27732.44
942,2015-08-01,27732.06
943,2015-08-02,27731.7
944,2015-08-03,27731.33
945,2015-08-04,27730.96
946,2015-08-05,27730.58
947,2015-08-06,27730.21
948,2015-08-07,27729.84
949,2015-08-08,27729.51
950,2015-08-09,27729.15
951,2015-08-10,27728.78
952,2015-08-11,27728.4
953,2015-08-12,27728.02
954,2015-08-13,27727.64
955,2015-08-14,27727.27
956,2015-08-15,27726.88
957,2015-08-16,27726.5
958,2015-08-17,27726.11
959,2015-08-18,27725.72
960,2015-08-19,27725.32
961,2015-08-20,27724.93
962,2015-08-21,27724.53
963,2015-08-22,27724.14
964,2015-08-23,27723.74
965,2015-08-24,27723.32
966,2015-08-25,27722.92
967,2015-08-26,27722.52
968,2015-08-27,27722.17
969,2015-08-28,27721.91
970,2015-08-29,27722.54
971,2015-08-30,27723.45
972,2015-08-31,27725.19
973,2015-09-01,27726.87
974,2015-09-02,27727.31
975,2015-09-03,27727.45
976,2015-09-04,27727.47
977,2015-09-05,27727.34
978,2015-09-06,27727.43
979,2015-09-07,27727.39
980,2015-09-08,27727.28
981,2015-09-09,27727.1
982,2015-09-10,27726.88
983,2015-09-11,27726.64
984,2015-09-12,27726.36
985,2015-09-13,27726.08
986,2015-09-14,27725.78
987,2015-09-15,27725.52
