,datetime,LAKE_SACAJAWEA_FOREBAY_AT_ICE_HARBOR_DAM__WA.
473,2012-06-25,390.0
474,2012-06-26,390.6
475,2012-06-27,385.2
476,2012-06-28,388.6
477,2012-06-29,388.8
478,2012-06-30,392.0
479,2012-07-01,392.40000000000003
480,2012-07-02,393.90000000000003
481,2012-07-03,391.3
482,2012-07-04,385.7
483,2012-07-05,386.40000000000003
484,2012-07-06,390.0
485,2012-07-07,393.29999999999995
486,2012-07-08,397.0
487,2012-07-09,399.8
488,2012-07-10,401.20000000000005
489,2012-07-11,400.6
490,2012-07-12,401.2
491,2012-07-13,402.1
492,2012-07-14,404.0
493,2012-07-15,402.7
494,2012-07-16,398.2
495,2012-07-17,396.3
496,2012-07-18,394.3
497,2012-07-19,399.8
498,2012-07-20,401.09999999999997
499,2012-07-21,397.90000000000003
500,2012-07-22,399.70000000000005
501,2012-07-23,393.70000000000005
502,2012-07-24,397.2
503,2012-07-25,398.2
504,2012-07-26,398.2
505,2012-07-27,401.6
506,2012-07-28,401.2
507,2012-07-29,401.7
508,2012-07-30,399.9
509,2012-07-31,396.79999999999995
510,2012-08-01,397.79999999999995
511,2012-08-02,399.1
512,2012-08-03,400.9
513,2012-08-04,400.7
514,2012-08-05,402.7
515,2012-08-06,401.59999999999997
516,2012-08-07,403.9
517,2012-08-08,404.7
518,2012-08-09,401.4
519,2012-08-10,402.40000000000003
520,2012-08-11,399.0
521,2012-08-12,397.59999999999997
522,2012-08-13,398.3
523,2012-08-14,400.7
524,2012-08-15,401.59999999999997
525,2012-08-16,402.79999999999995
526,2012-08-17,402.20000000000005
527,2012-08-18,400.20000000000005
528,2012-08-19,396.8
529,2012-08-20,395.9
530,2012-08-21,396.20000000000005
531,2012-08-22,396.0
532,2012-08-23,396.8
533,2012-08-24,392.09999999999997
534,2012-08-25,392.09999999999997
535,2012-08-26,392.6
536,2012-08-27,388.8
537,2012-08-28,387.20000000000005
538,2012-08-29,386.0
539,2012-08-30,387.5
540,2012-08-31,390.1
541,2012-09-01,386.59999999999997
542,2012-09-02,386.3
543,2012-09-03,386.2
544,2012-09-04,385.0
545,2012-09-05,388.2
546,2012-09-06,389.5
547,2012-09-07,385.9
548,2012-09-08,381.8
549,2012-09-09,378.5
550,2012-09-10,374.59999999999997
551,2012-09-11,369.3
552,2012-09-12,364.7
553,2012-09-13,363.1
554,2012-09-14,362.2
555,2012-09-15,361.8
556,2012-09-16,360.6
557,2012-09-17,361.5
558,2012-09-18,363.40000000000003
559,2012-09-19,362.3
560,2012-09-20,357.9
561,2012-09-21,355.6
562,2012-09-22,355.5
563,2012-09-23,354.40000000000003
564,2012-09-24,356.2
565,2012-09-25,355.0
566,2012-09-26,352.90000000000003
567,2012-09-27,351.7
568,2012-09-28,348.5
569,2012-09-29,349.4
570,2012-09-30,346.29999999999995
571,2012-10-01,351.29999999999995
572,2012-10-02,349.2
573,2012-10-03,349.0
574,2012-10-04,348.86411764705883
