,datetime,DIAMOND_LAKE_NEAR_DIAMOND_LAKE__OR.
440,2012-03-16,5183.28
441,2012-03-17,5183.21
442,2012-03-18,5183.17
443,2012-03-19,5183.18
444,2012-03-20,5183.3
445,2012-03-21,5183.4
446,2012-03-22,5183.38
447,2012-03-23,5183.35
448,2012-03-24,5182.97
449,2012-03-25,5183.3
450,2012-03-26,5183.27
451,2012-03-27,5183.3
452,2012-03-28,5183.29
453,2012-03-29,5183.4
454,2012-03-30,5183.61
455,2012-03-31,5183.59
456,2012-04-01,5183.578461538462
457,2012-04-02,5183.566923076924
458,2012-04-03,5183.555384615384
459,2012-04-04,5183.543846153846
460,2012-04-05,5183.532307692308
461,2012-04-06,5183.5207692307695
462,2012-04-07,5183.50923076923
463,2012-04-08,5183.497692307692
464,2012-04-09,5183.486153846154
465,2012-04-10,5183.474615384615
466,2012-04-11,5183.463076923076
467,2012-04-12,5183.451538461538
468,2012-04-13,5183.44
469,2012-04-14,5183.36
470,2012-04-15,5183.35
471,2012-04-16,5183.38
472,2012-04-17,5183.4
473,2012-04-18,5183.4
474,2012-04-19,5183.43
475,2012-04-20,5183.39
476,2012-04-21,5183.37
477,2012-04-22,5183.35
478,2012-04-23,5183.37
479,2012-04-24,5183.36
480,2012-04-25,5183.39
481,2012-04-26,5183.5
482,2012-04-27,5183.48
483,2012-04-28,5183.46
484,2012-04-29,5183.5
485,2012-04-30,5183.52
486,2012-05-01,5183.53
487,2012-05-02,5183.56
488,2012-05-03,5183.63
489,2012-05-04,5183.63
490,2012-05-05,5183.63
491,2012-05-06,5183.64
492,2012-05-07,5183.63
493,2012-05-08,5183.64
494,2012-05-09,5183.64
495,2012-05-10,5183.65
496,2012-05-11,5183.69
497,2012-05-12,5183.7
498,2012-05-13,5183.74
499,2012-05-14,5183.69
500,2012-05-15,5183.74
501,2012-05-16,5183.75
502,2012-05-17,5183.76
503,2012-05-18,5183.81
504,2012-05-19,5183.84
505,2012-05-20,5183.86
506,2012-05-21,5183.91
507,2012-05-22,5184.05
508,2012-05-23,5184.02
509,2012-05-24,5184.08
510,2012-05-25,5184.13
511,2012-05-26,5184.14
512,2012-05-27,5184.15
513,2012-05-28,5184.14
514,2012-05-29,5184.19
515,2012-05-30,5184.16
516,2012-05-31,5184.16
517,2012-06-01,5184.17
518,2012-06-02,5184.18
519,2012-06-03,5184.23
520,2012-06-04,5184.34
521,2012-06-05,5184.31
522,2012-06-06,5184.32
523,2012-06-07,5184.31
524,2012-06-08,5184.32
525,2012-06-09,5184.29
526,2012-06-10,5184.29
527,2012-06-11,5184.26
528,2012-06-12,5184.27
529,2012-06-13,5184.29
530,2012-06-14,5184.22
531,2012-06-15,5184.22
532,2012-06-16,5184.24
533,2012-06-17,5184.21
534,2012-06-18,5184.22
535,2012-06-19,5184.21
536,2012-06-20,5184.15
537,2012-06-21,5184.17
538,2012-06-22,5184.2
539,2012-06-23,5184.24
540,2012-06-24,5184.24
541,2012-06-25,5184.28
542,2012-06-26,5184.27
543,2012-06-27,5184.21
544,2012-06-28,5184.26
545,2012-06-29,5184.21
546,2012-06-30,5184.22
547,2012-07-01,5184.16
548,2012-07-02,5184.19
549,2012-07-03,5184.16
550,2012-07-04,5184.15
551,2012-07-05,5184.14
552,2012-07-06,5184.1
553,2012-07-07,5184.07
554,2012-07-08,5184.1
555,2012-07-09,5184.08
556,2012-07-10,5184.08
557,2012-07-11,5184.08
558,2012-07-12,5184.06
559,2012-07-13,5184.03
560,2012-07-14,5184.03
561,2012-07-15,5184.01
562,2012-07-16,5183.99
563,2012-07-17,5183.95
564,2012-07-18,5183.97
565,2012-07-19,5183.96
566,2012-07-20,5183.97
567,2012-07-21,5183.92
568,2012-07-22,5183.93
569,2012-07-23,5183.89
570,2012-07-24,5183.92
571,2012-07-25,5183.89
572,2012-07-26,5183.88
573,2012-07-27,5183.87
574,2012-07-28,5183.87
575,2012-07-29,5183.86
576,2012-07-30,5183.85
577,2012-07-31,5183.85
578,2012-08-01,5183.84
579,2012-08-02,5183.83
580,2012-08-03,5183.88
581,2012-08-04,5183.84
582,2012-08-05,5183.88
583,2012-08-06,5183.88
584,2012-08-07,5183.86
585,2012-08-08,5183.82
586,2012-08-09,5183.81
587,2012-08-10,5183.8
588,2012-08-11,5183.8
589,2012-08-12,5183.8
590,2012-08-13,5183.86
591,2012-08-14,5183.8
592,2012-08-15,5183.85
593,2012-08-16,5183.8
594,2012-08-17,5183.81
595,2012-08-18,5183.8
596,2012-08-19,5183.8
597,2012-08-20,5183.79
598,2012-08-21,5183.79
599,2012-08-22,5183.78
600,2012-08-23,5183.77
601,2012-08-24,5183.77
602,2012-08-25,5183.8
603,2012-08-26,5183.81
604,2012-08-27,5183.8
605,2012-08-28,5183.77
606,2012-08-29,5183.74
607,2012-08-30,5183.74
608,2012-08-31,5183.74
609,2012-09-01,5183.74
610,2012-09-02,5183.74
611,2012-09-03,5183.73
612,2012-09-04,5183.74
613,2012-09-05,5183.76
614,2012-09-06,5183.74
615,2012-09-07,5183.76
616,2012-09-08,5183.76
617,2012-09-09,5183.75
618,2012-09-10,5183.75
619,2012-09-11,5183.75
