,datetime,SPIRIT_LAKE_AT_TUNNEL_AT_SPIRIT_LAKE__WA.tsv
663,2014-10-26,3442.56
664,2014-10-27,3442.57
665,2014-10-28,3442.65
666,2014-10-29,3442.67
667,2014-10-30,3442.87
668,2014-10-31,3442.97
669,2014-11-01,3443.01
670,2014-11-02,3443.11
671,2014-11-03,3443.16
672,2014-11-04,3443.28
673,2014-11-05,3443.31
674,2014-11-06,3443.43
675,2014-11-07,3443.46
676,2014-11-08,3443.46
677,2014-11-09,3443.61
678,2014-11-10,3443.61
679,2014-11-11,3443.6
680,2014-11-12,3443.54
681,2014-11-13,3443.54
682,2014-11-14,3443.52
683,2014-11-15,3443.48
684,2014-11-16,3443.45
685,2014-11-17,3443.41
686,2014-11-18,3443.38
687,2014-11-19,3443.35
688,2014-11-20,3443.32
689,2014-11-21,3443.51
690,2014-11-22,3443.51
691,2014-11-23,3443.6
692,2014-11-24,3443.66
693,2014-11-25,3444.33
694,2014-11-26,3444.51
695,2014-11-27,3444.61
696,2014-11-28,3444.83
697,2014-11-29,3444.9
698,2014-11-30,3444.91
699,2014-12-01,3444.89
700,2014-12-02,3444.87
701,2014-12-03,3444.84
702,2014-12-04,3444.81
703,2014-12-05,3444.84
704,2014-12-06,3444.9
705,2014-12-07,3444.87
706,2014-12-08,3444.85
707,2014-12-09,3445.05
708,2014-12-10,3445.48
709,2014-12-11,3445.7
710,2014-12-12,3445.79
711,2014-12-13,3445.82
712,2014-12-14,3445.83
713,2014-12-15,3445.79
714,2014-12-16,3445.78
715,2014-12-17,3445.77
716,2014-12-18,3445.81
717,2014-12-19,3445.85
718,2014-12-20,3446.15
719,2014-12-21,3446.46
720,2014-12-22,3446.55
721,2014-12-23,3446.66
722,2014-12-24,3446.76
723,2014-12-25,3446.78
724,2014-12-26,3446.76
725,2014-12-27,3446.86
726,2014-12-28,3446.87
727,2014-12-29,3446.81
728,2014-12-30,3446.75
729,2014-12-31,3446.68
730,2015-01-01,3446.61
