,datetime,BIG_CLIFF_LAKE_NEAR_NIAGARA__OR.
856,2015-12-05,1196.17
857,2015-12-06,1194.14
858,2015-12-07,1196.47
859,2015-12-08,1196.66
860,2015-12-09,1193.3
861,2015-12-10,1194.29
862,2015-12-11,1197.33
863,2015-12-12,1198.96
864,2015-12-13,1199.4
865,2015-12-14,1195.47
866,2015-12-15,1195.05
867,2015-12-16,1195.99
868,2015-12-17,1198.38
869,2015-12-18,1195.73
870,2015-12-19,1194.18
871,2015-12-20,1193.73
872,2015-12-21,1196.05
873,2015-12-22,1193.3
874,2015-12-23,1193.06
875,2015-12-24,1192.13
876,2015-12-25,1191.97
877,2015-12-26,1191.64
878,2015-12-27,1191.21
879,2015-12-28,1190.45
880,2015-12-29,1194.48
881,2015-12-30,1191.94
882,2015-12-31,1198.91
883,2016-01-01,1197.77
884,2016-01-02,1197.47
885,2016-01-03,1196.16
886,2016-01-04,1191.62
887,2016-01-05,1196.05
888,2016-01-06,1198.41
889,2016-01-07,1196.14
890,2016-01-08,1193.77
891,2016-01-09,1193.74
892,2016-01-10,1196.84
893,2016-01-11,1197.75
894,2016-01-12,1199.19
895,2016-01-13,1201.49
896,2016-01-14,1198.73
897,2016-01-15,1199.76
898,2016-01-16,1198.6
899,2016-01-17,1197.75
900,2016-01-18,1197.37
901,2016-01-19,1195.29
902,2016-01-20,1195.22
903,2016-01-21,1200.0
904,2016-01-22,1193.59
905,2016-01-23,1193.71
906,2016-01-24,1195.73
907,2016-01-25,1196.87
908,2016-01-26,1196.99
909,2016-01-27,1197.82
910,2016-01-28,1196.86
911,2016-01-29,1196.37
912,2016-01-30,1197.51
913,2016-01-31,1196.52
914,2016-02-01,1196.09
915,2016-02-02,1198.15
916,2016-02-03,1197.44
917,2016-02-04,1197.27
918,2016-02-05,1195.31
919,2016-02-06,1195.45
920,2016-02-07,1194.95
921,2016-02-08,1195.67
922,2016-02-09,1195.03
923,2016-02-10,1195.56
924,2016-02-11,1198.25
925,2016-02-12,1201.42
926,2016-02-13,1199.86
927,2016-02-14,1200.05
928,2016-02-15,1198.98
929,2016-02-16,1198.43
930,2016-02-17,1201.85
931,2016-02-18,1198.03
932,2016-02-19,1197.58
933,2016-02-20,1198.02
934,2016-02-21,1198.46
935,2016-02-22,1195.35
936,2016-02-23,1198.51
937,2016-02-24,1200.02
938,2016-02-25,1198.12
939,2016-02-26,1199.26
940,2016-02-27,1198.65
941,2016-02-28,1196.92
942,2016-02-29,1197.34
943,2016-03-01,1197.78
944,2016-03-02,1197.37
945,2016-03-03,1199.94
946,2016-03-04,1199.44
947,2016-03-05,1199.54
948,2016-03-06,1200.14
949,2016-03-07,1199.37
950,2016-03-08,1195.6
951,2016-03-09,1198.18
952,2016-03-10,1189.37
953,2016-03-11,1193.4
954,2016-03-12,1194.37
955,2016-03-13,1193.17
956,2016-03-14,1193.8
957,2016-03-15,1192.88
958,2016-03-16,1193.72
959,2016-03-17,1195.74
960,2016-03-18,1196.26
961,2016-03-19,1198.39
962,2016-03-20,1198.89
963,2016-03-21,1197.69
964,2016-03-22,1198.8
965,2016-03-23,1198.29
966,2016-03-24,1199.0
967,2016-03-25,1196.5
968,2016-03-26,1188.68
969,2016-03-27,1193.94
970,2016-03-28,1195.63
971,2016-03-29,1197.78
972,2016-03-30,1196.81
973,2016-03-31,1198.28
974,2016-04-01,1195.49
975,2016-04-02,1194.27
976,2016-04-03,1195.3
977,2016-04-04,1193.91
978,2016-04-05,1193.14
979,2016-04-06,1195.02
980,2016-04-07,1191.46
981,2016-04-08,1192.28
982,2016-04-09,1192.92
983,2016-04-10,1194.06
984,2016-04-11,1193.77
985,2016-04-12,1193.35
986,2016-04-13,1193.74
987,2016-04-14,1195.16
988,2016-04-15,1193.83
989,2016-04-16,1195.93
990,2016-04-17,1194.45
991,2016-04-18,1194.48
992,2016-04-19,1193.28
993,2016-04-20,1192.42
994,2016-04-21,1192.96
995,2016-04-22,1192.84
996,2016-04-23,1195.92
997,2016-04-24,1194.18
998,2016-04-25,1194.38
999,2016-04-26,1196.64
1000,2016-04-27,1197.08
1001,2016-04-28,1196.59
1002,2016-04-29,1196.85
1003,2016-04-30,1195.63
1004,2016-05-01,1193.84
1005,2016-05-02,1188.78
1006,2016-05-03,1188.43
1007,2016-05-04,1187.9
1008,2016-05-05,1190.71
1009,2016-05-06,1197.36
1010,2016-05-07,1197.82
1011,2016-05-08,1197.73
1012,2016-05-09,1197.6
1013,2016-05-10,1197.83
1014,2016-05-11,1197.94
1015,2016-05-12,1198.18
1016,2016-05-13,1197.86
1017,2016-05-14,1197.9
1018,2016-05-15,1198.86
1019,2016-05-16,1198.46
1020,2016-05-17,1198.44
1021,2016-05-18,1198.47
1022,2016-05-19,1197.99
1023,2016-05-20,1197.9
1024,2016-05-21,1199.03
1025,2016-05-22,1199.81
1026,2016-05-23,1199.51
1027,2016-05-24,1199.74
1028,2016-05-25,1199.41
1029,2016-05-26,1199.82
1030,2016-05-27,1199.44
1031,2016-05-28,1199.3
1032,2016-05-29,1198.85
1033,2016-05-30,1199.24
1034,2016-05-31,1198.08
