,datetime,UPPER_BLUE_LAKE_NR_MARKLEEVILLE_CA.tsv
604,2014-12-11,2017.4452554744526
605,2014-12-12,2023.065693430657
606,2014-12-13,2028.6861313868612
607,2014-12-14,2034.3065693430658
608,2014-12-15,2039.9270072992701
609,2014-12-16,2045.5474452554745
610,2014-12-17,2051.1678832116786
611,2014-12-18,2056.788321167883
612,2014-12-19,2062.4087591240877
613,2014-12-20,2068.029197080292
614,2014-12-21,2073.6496350364964
615,2014-12-22,2079.2700729927005
616,2014-12-23,2084.890510948905
617,2014-12-24,2090.5109489051097
618,2014-12-25,2096.131386861314
619,2014-12-26,2101.7518248175184
620,2014-12-27,2107.3722627737225
621,2014-12-28,2112.992700729927
622,2014-12-29,2118.6131386861316
623,2014-12-30,2124.2335766423357
624,2014-12-31,2129.8540145985403
625,2015-01-01,2135.4744525547444
626,2015-01-02,2141.094890510949
627,2015-01-03,2146.715328467153
628,2015-01-04,2152.3357664233577
629,2015-01-05,2157.956204379562
630,2015-01-06,2163.5766423357663
631,2015-01-07,2169.197080291971
632,2015-01-08,2174.817518248175
633,2015-01-09,2180.4379562043796
634,2015-01-10,2186.0583941605837
635,2015-01-11,2191.6788321167883
636,2015-01-12,2197.299270072993
637,2015-01-13,2202.919708029197
638,2015-01-14,2208.5401459854015
639,2015-01-15,2214.160583941606
640,2015-01-16,2219.78102189781
641,2015-01-17,2225.401459854015
642,2015-01-18,2231.021897810219
643,2015-01-19,2236.6423357664235
644,2015-01-20,2242.2627737226276
645,2015-01-21,2247.883211678832
646,2015-01-22,2253.5036496350367
647,2015-01-23,2259.124087591241
648,2015-01-24,2264.7445255474454
649,2015-01-25,2270.3649635036495
650,2015-01-26,2275.985401459854
651,2015-01-27,2281.605839416058
652,2015-01-28,2287.2262773722628
653,2015-01-29,2292.8467153284673
654,2015-01-30,2298.4671532846714
655,2015-01-31,2304.087591240876
656,2015-02-01,2309.70802919708
657,2015-02-02,2315.3284671532847
658,2015-02-03,2320.948905109489
659,2015-02-04,2326.5693430656934
660,2015-02-05,2332.189781021898
661,2015-02-06,2337.810218978102
662,2015-02-07,2343.4306569343066
663,2015-02-08,2349.051094890511
664,2015-02-09,2354.6715328467153
665,2015-02-10,2360.29197080292
666,2015-02-11,2365.912408759124
667,2015-02-12,2371.5328467153286
668,2015-02-13,2377.1532846715327
669,2015-02-14,2382.7737226277372
670,2015-02-15,2388.394160583942
671,2015-02-16,2394.014598540146
672,2015-02-17,2399.6350364963505
673,2015-02-18,2405.2554744525546
674,2015-02-19,2410.875912408759
675,2015-02-20,2416.4963503649633
676,2015-02-21,2422.116788321168
677,2015-02-22,2427.7372262773724
678,2015-02-23,2433.3576642335765
679,2015-02-24,2438.978102189781
680,2015-02-25,2444.598540145985
681,2015-02-26,2450.21897810219
682,2015-02-27,2455.839416058394
683,2015-02-28,2461.4598540145985
684,2015-03-01,2467.080291970803
685,2015-03-02,2472.700729927007
686,2015-03-03,2478.3211678832117
687,2015-03-04,2483.9416058394163
688,2015-03-05,2489.5620437956204
689,2015-03-06,2495.182481751825
690,2015-03-07,2500.802919708029
691,2015-03-08,2506.4233576642337
692,2015-03-09,2512.043795620438
693,2015-03-10,2517.6642335766423
694,2015-03-11,2523.284671532847
695,2015-03-12,2528.905109489051
696,2015-03-13,2534.5255474452556
697,2015-03-14,2540.1459854014597
698,2015-03-15,2545.7664233576643
699,2015-03-16,2551.3868613138684
700,2015-03-17,2557.007299270073
701,2015-03-18,2562.6277372262775
702,2015-03-19,2568.2481751824816
703,2015-03-20,2573.868613138686
704,2015-03-21,2579.489051094891
705,2015-03-22,2585.109489051095
706,2015-03-23,2590.729927007299
707,2015-03-24,2596.3503649635036
708,2015-03-25,2601.970802919708
709,2015-03-26,2607.5912408759123
710,2015-03-27,2613.211678832117
711,2015-03-28,2618.8321167883214
712,2015-03-29,2624.4525547445255
713,2015-03-30,2630.07299270073
714,2015-03-31,2635.693430656934
715,2015-04-01,2641.3138686131388
716,2015-04-02,2646.934306569343
717,2015-04-03,2652.5547445255474
718,2015-04-04,2658.175182481752
719,2015-04-05,2663.795620437956
720,2015-04-06,2669.4160583941607
721,2015-04-07,2675.036496350365
722,2015-04-08,2680.6569343065694
723,2015-04-09,2686.2773722627735
724,2015-04-10,2691.897810218978
725,2015-04-11,2697.5182481751826
726,2015-04-12,2703.1386861313867
727,2015-04-13,2708.7591240875913
728,2015-04-14,2714.379562043796
729,2015-04-15,2720.0
730,2015-04-16,2730.0
731,2015-04-17,2730.0
732,2015-04-18,2740.0
733,2015-04-19,2750.0
734,2015-04-20,2760.0
735,2015-04-21,2770.0
736,2015-04-22,2780.0
737,2015-04-23,2790.0
738,2015-04-24,2810.0
739,2015-04-25,2850.0
740,2015-04-26,2860.0
741,2015-04-27,2870.0
742,2015-04-28,2890.0
743,2015-04-29,2900.0
744,2015-04-30,2920.0
745,2015-05-01,2940.0
746,2015-05-02,2960.0
747,2015-05-03,2980.0
748,2015-05-04,2990.0
749,2015-05-05,3000.0
750,2015-05-06,3010.0
751,2015-05-07,3040.0
752,2015-05-08,3060.0
753,2015-05-09,3070.0
754,2015-05-10,3080.0
755,2015-05-11,3100.0
756,2015-05-12,3090.0
757,2015-05-13,3090.0
758,2015-05-14,3100.0
759,2015-05-15,3100.0
760,2015-05-16,3110.0
761,2015-05-17,3110.0
762,2015-05-18,3120.0
763,2015-05-19,3120.0
764,2015-05-20,3120.0
765,2015-05-21,3120.0
766,2015-05-22,3120.0
767,2015-05-23,3130.0
768,2015-05-24,3130.0
769,2015-05-25,3130.0
770,2015-05-26,3130.0
771,2015-05-27,3140.0
772,2015-05-28,3140.0
773,2015-05-29,3140.0
774,2015-05-30,3130.0
775,2015-05-31,3130.0
776,2015-06-01,3120.0
777,2015-06-02,3110.0
778,2015-06-03,3100.0
779,2015-06-04,3100.0
780,2015-06-05,3100.0
781,2015-06-06,3090.0
782,2015-06-07,3090.0
783,2015-06-08,3080.0
784,2015-06-09,3080.0
785,2015-06-10,3080.0
786,2015-06-11,3070.0
787,2015-06-12,3070.0
788,2015-06-13,3060.0
789,2015-06-14,3040.0
790,2015-06-15,3030.0
791,2015-06-16,3020.0
792,2015-06-17,3010.0
793,2015-06-18,3000.0
794,2015-06-19,2980.0
795,2015-06-20,2970.0
796,2015-06-21,2960.0
797,2015-06-22,2950.0
798,2015-06-23,2940.0
799,2015-06-24,2930.0
800,2015-06-25,2920.0
801,2015-06-26,2910.0
802,2015-06-27,2900.0
803,2015-06-28,2890.0
804,2015-06-29,2880.0
805,2015-06-30,2870.0
806,2015-07-01,2860.0
807,2015-07-02,2860.0
808,2015-07-03,2860.0
809,2015-07-04,2880.0
810,2015-07-05,2880.0
811,2015-07-06,2870.0
812,2015-07-07,2870.0
813,2015-07-08,2870.0
814,2015-07-09,2870.0
815,2015-07-10,2870.0
816,2015-07-11,2870.0
817,2015-07-12,2860.0
818,2015-07-13,2860.0
819,2015-07-14,2850.0
820,2015-07-15,2850.0
821,2015-07-16,2850.0
822,2015-07-17,2840.0
823,2015-07-18,2840.0
824,2015-07-19,2840.0
825,2015-07-20,2840.0
826,2015-07-21,2830.0
827,2015-07-22,2830.0
828,2015-07-23,2820.0
829,2015-07-24,2820.0
830,2015-07-25,2810.0
831,2015-07-26,2800.0
832,2015-07-27,2790.0
833,2015-07-28,2780.0
834,2015-07-29,2780.0
835,2015-07-30,2770.0
836,2015-07-31,2770.0
837,2015-08-01,2770.0
838,2015-08-02,2760.0
839,2015-08-03,2760.0
840,2015-08-04,2750.0
841,2015-08-05,2740.0
842,2015-08-06,2730.0
843,2015-08-07,2730.0
844,2015-08-08,2720.0
845,2015-08-09,2720.0
846,2015-08-10,2710.0
847,2015-08-11,2710.0
848,2015-08-12,2700.0
849,2015-08-13,2680.0
850,2015-08-14,2670.0
851,2015-08-15,2660.0
852,2015-08-16,2650.0
853,2015-08-17,2640.0
854,2015-08-18,2630.0
855,2015-08-19,2620.0
856,2015-08-20,2600.0
857,2015-08-21,2590.0
858,2015-08-22,2580.0
859,2015-08-23,2580.0
860,2015-08-24,2560.0
861,2015-08-25,2550.0
862,2015-08-26,2540.0
863,2015-08-27,2530.0
864,2015-08-28,2520.0
865,2015-08-29,2510.0
866,2015-08-30,2500.0
867,2015-08-31,2490.0
868,2015-09-01,2480.0
869,2015-09-02,2470.0
870,2015-09-03,2450.0
871,2015-09-04,2430.0
872,2015-09-05,2420.0
873,2015-09-06,2400.0
874,2015-09-07,2390.0
875,2015-09-08,2390.0
876,2015-09-09,2360.0
877,2015-09-10,2350.0
878,2015-09-11,2340.0
879,2015-09-12,2330.0
880,2015-09-13,2320.0
881,2015-09-14,2310.0
882,2015-09-15,2300.0
883,2015-09-16,2280.0
884,2015-09-17,2270.0
885,2015-09-18,2260.0
886,2015-09-19,2250.0
887,2015-09-20,2240.0
888,2015-09-21,2230.0
889,2015-09-22,2220.0
890,2015-09-23,2210.0
891,2015-09-24,2200.0
892,2015-09-25,2180.0
893,2015-09-26,2170.0
894,2015-09-27,2160.0
895,2015-09-28,2150.0
896,2015-09-29,2130.0
897,2015-09-30,2120.0
898,2015-10-01,2130.0
899,2015-10-02,2110.0
900,2015-10-03,2100.0
901,2015-10-04,2100.0
902,2015-10-05,2090.0
903,2015-10-06,2070.0
904,2015-10-07,2070.0
905,2015-10-08,2050.0
906,2015-10-09,2040.0
907,2015-10-10,2030.0
908,2015-10-11,2010.0
909,2015-10-12,2000.0
910,2015-10-13,1990.0
911,2015-10-14,1980.0
912,2015-10-15,1970.0
913,2015-10-16,1960.0
914,2015-10-17,1980.0
915,2015-10-18,1970.0
916,2015-10-19,1960.0
917,2015-10-20,1950.0
918,2015-10-21,1940.0
919,2015-10-22,1930.0
920,2015-10-23,1910.0
921,2015-10-24,1900.0
922,2015-10-25,1890.0
923,2015-10-26,1880.0
924,2015-10-27,1870.0
925,2015-10-28,1874.6666666666667
926,2015-10-29,1879.3333333333333
927,2015-10-30,1884.0
928,2015-10-31,1888.6666666666667
929,2015-11-01,1893.3333333333333
930,2015-11-02,1898.0
