,datetime,LAKE_SHANNON_AT_CONCRETE__WA.tsv
691,2014-11-23,429.29
692,2014-11-24,428.73
693,2014-11-25,429.27
694,2014-11-26,432.29
695,2014-11-27,434.6
696,2014-11-28,437.07
697,2014-11-29,437.03
698,2014-11-30,436.15
699,2014-12-01,435.66
700,2014-12-02,435.24
701,2014-12-03,434.79
702,2014-12-04,434.29
703,2014-12-05,434.02
704,2014-12-06,433.46
705,2014-12-07,433.12
706,2014-12-08,432.13
707,2014-12-09,432.98
708,2014-12-10,433.19
709,2014-12-11,435.04
710,2014-12-12,434.33
711,2014-12-13,432.46
712,2014-12-14,430.45
713,2014-12-15,428.13
714,2014-12-16,425.22
715,2014-12-17,422.65
716,2014-12-18,422.54
717,2014-12-19,425.3
718,2014-12-20,428.06
719,2014-12-21,430.08
720,2014-12-22,429.91
721,2014-12-23,429.89
722,2014-12-24,429.75
723,2014-12-25,429.39
724,2014-12-26,428.9
725,2014-12-27,428.9
726,2014-12-28,429.75
727,2014-12-29,428.81
728,2014-12-30,428.19
729,2014-12-31,427.65
730,2015-01-01,427.52
731,2015-01-02,426.32
732,2015-01-03,425.46
733,2015-01-04,424.82
734,2015-01-05,426.16
735,2015-01-06,425.84
736,2015-01-07,425.49
737,2015-01-08,425.8
738,2015-01-09,425.52
739,2015-01-10,426.15
740,2015-01-11,425.98
741,2015-01-12,425.69
742,2015-01-13,424.75
743,2015-01-14,424.12
744,2015-01-15,422.61
745,2015-01-16,422.09
746,2015-01-17,421.26
747,2015-01-18,423.35
748,2015-01-19,424.01
749,2015-01-20,424.16
750,2015-01-21,424.3
751,2015-01-22,424.38
752,2015-01-23,425.47
753,2015-01-24,430.88
754,2015-01-25,433.9
755,2015-01-26,435.21
756,2015-01-27,435.99
757,2015-01-28,435.98
758,2015-01-29,435.72
759,2015-01-30,434.9
760,2015-01-31,434.23
761,2015-02-01,433.49
762,2015-02-02,432.66
763,2015-02-03,432.56
764,2015-02-04,430.95
765,2015-02-05,429.55
766,2015-02-06,433.62
767,2015-02-07,437.09
768,2015-02-08,437.88
769,2015-02-09,436.27
770,2015-02-10,434.26
771,2015-02-11,432.02
772,2015-02-12,429.7
773,2015-02-13,427.36
774,2015-02-14,426.49
775,2015-02-15,424.55
776,2015-02-16,424.49
777,2015-02-17,423.81
778,2015-02-18,424.82
779,2015-02-19,425.68
780,2015-02-20,426.38
781,2015-02-21,427.37
782,2015-02-22,428.36
783,2015-02-23,428.74
784,2015-02-24,429.03
785,2015-02-25,428.87
786,2015-02-26,426.72
787,2015-02-27,424.42
788,2015-02-28,423.82
789,2015-03-01,424.22
790,2015-03-02,424.33
791,2015-03-03,424.55
792,2015-03-04,424.45
793,2015-03-05,423.71
794,2015-03-06,423.27
795,2015-03-07,422.1
796,2015-03-08,421.08
797,2015-03-09,420.24
798,2015-03-10,420.05
799,2015-03-11,420.03
800,2015-03-12,419.49
801,2015-03-13,420.33
802,2015-03-14,420.84
803,2015-03-15,422.78
804,2015-03-16,424.92
805,2015-03-17,425.76
806,2015-03-18,426.38
807,2015-03-19,427.28
808,2015-03-20,428.94
809,2015-03-21,430.39
810,2015-03-22,432.02
811,2015-03-23,434.52
812,2015-03-24,437.9
813,2015-03-25,439.96
814,2015-03-26,439.59
815,2015-03-27,438.69
816,2015-03-28,440.29
817,2015-03-29,440.38
818,2015-03-30,440.31
819,2015-03-31,439.8
820,2015-04-01,439.2
821,2015-04-02,438.47
822,2015-04-03,437.71
823,2015-04-04,436.88
824,2015-04-05,436.01
825,2015-04-06,434.96
826,2015-04-07,433.85
827,2015-04-08,432.71
828,2015-04-09,431.54
829,2015-04-10,430.42
830,2015-04-11,429.35
831,2015-04-12,428.25
832,2015-04-13,427.1
833,2015-04-14,425.93
834,2015-04-15,424.73
835,2015-04-16,423.47
836,2015-04-17,422.22
837,2015-04-18,420.94
838,2015-04-19,419.67
839,2015-04-20,418.41
840,2015-04-21,417.09
841,2015-04-22,415.88
842,2015-04-23,414.63
843,2015-04-24,413.5
844,2015-04-25,412.28
845,2015-04-26,410.98
846,2015-04-27,409.73
847,2015-04-28,408.38
848,2015-04-29,406.99
849,2015-04-30,405.57
850,2015-05-01,405.61
851,2015-05-02,408.95
852,2015-05-03,412.03
853,2015-05-04,411.69
854,2015-05-05,410.33
855,2015-05-06,407.42
856,2015-05-07,404.47
857,2015-05-08,402.86
858,2015-05-09,401.3
859,2015-05-10,399.15
860,2015-05-11,397.59
861,2015-05-12,397.51
862,2015-05-13,398.61
863,2015-05-14,399.72
864,2015-05-15,398.81
865,2015-05-16,400.7
866,2015-05-17,402.53
867,2015-05-18,403.29
868,2015-05-19,403.55
869,2015-05-20,403.82
870,2015-05-21,404.08
871,2015-05-22,404.34
872,2015-05-23,404.59
873,2015-05-24,404.84
874,2015-05-25,405.11
875,2015-05-26,405.3
876,2015-05-27,406.77
877,2015-05-28,408.18
878,2015-05-29,408.81
879,2015-05-30,410.02
880,2015-05-31,411.24
881,2015-06-01,411.53
882,2015-06-02,412.09
883,2015-06-03,412.56
884,2015-06-04,413.39
885,2015-06-05,414.02
886,2015-06-06,415.12
887,2015-06-07,416.2
888,2015-06-08,416.19
889,2015-06-09,416.94
890,2015-06-10,416.71
891,2015-06-11,415.76
892,2015-06-12,415.44
893,2015-06-13,415.38
894,2015-06-14,415.1
895,2015-06-15,413.9
896,2015-06-16,413.45
897,2015-06-17,413.35
898,2015-06-18,413.31
899,2015-06-19,413.07
900,2015-06-20,412.75
901,2015-06-21,412.64
902,2015-06-22,412.34
903,2015-06-23,412.06
904,2015-06-24,411.98
905,2015-06-25,411.69
906,2015-06-26,411.7
907,2015-06-27,411.61
908,2015-06-28,411.38
909,2015-06-29,411.03
910,2015-06-30,411.47
911,2015-07-01,410.95
912,2015-07-02,410.89
913,2015-07-03,411.91
914,2015-07-04,412.98
915,2015-07-05,414.19
916,2015-07-06,415.19
917,2015-07-07,415.14
918,2015-07-08,414.83
919,2015-07-09,415.35
920,2015-07-10,414.67
921,2015-07-11,413.25
922,2015-07-12,413.77
923,2015-07-13,413.18
924,2015-07-14,412.6
925,2015-07-15,411.96
926,2015-07-16,411.29
927,2015-07-17,411.5
928,2015-07-18,412.0
929,2015-07-19,412.96
930,2015-07-20,412.54
931,2015-07-21,413.31
932,2015-07-22,412.78
933,2015-07-23,411.69
934,2015-07-24,408.73
935,2015-07-25,407.64
936,2015-07-26,406.57
937,2015-07-27,405.49
938,2015-07-28,406.11
939,2015-07-29,406.35
940,2015-07-30,406.82
941,2015-07-31,406.59
942,2015-08-01,406.54
943,2015-08-02,406.82
944,2015-08-03,406.2
945,2015-08-04,405.73
946,2015-08-05,405.63
947,2015-08-06,406.41
948,2015-08-07,407.36
949,2015-08-08,407.48
950,2015-08-09,409.08
951,2015-08-10,409.25
952,2015-08-11,409.39
953,2015-08-12,410.57
954,2015-08-13,411.11
955,2015-08-14,410.53
956,2015-08-15,409.76
957,2015-08-16,409.26
958,2015-08-17,409.57
959,2015-08-18,409.89
960,2015-08-19,408.45
961,2015-08-20,407.65
962,2015-08-21,407.39
963,2015-08-22,406.57
964,2015-08-23,406.07
965,2015-08-24,406.83
966,2015-08-25,407.88
967,2015-08-26,408.02
968,2015-08-27,407.94
969,2015-08-28,408.8
970,2015-08-29,407.92
971,2015-08-30,408.81
972,2015-08-31,408.27
973,2015-09-01,410.97
974,2015-09-02,416.13
975,2015-09-03,420.78
976,2015-09-04,423.18
977,2015-09-05,422.28
978,2015-09-06,424.53
979,2015-09-07,426.68
980,2015-09-08,427.46
981,2015-09-09,428.52
982,2015-09-10,429.58
983,2015-09-11,430.52
984,2015-09-12,429.64
985,2015-09-13,429.51
986,2015-09-14,430.06
987,2015-09-15,430.34
988,2015-09-16,431.97
989,2015-09-17,432.04
990,2015-09-18,432.03
991,2015-09-19,429.54
992,2015-09-20,428.04
993,2015-09-21,428.48
994,2015-09-22,428.84
995,2015-09-23,428.76
996,2015-09-24,428.99
997,2015-09-25,428.38
998,2015-09-26,426.32
999,2015-09-27,424.44
1000,2015-09-28,425.24
1001,2015-09-29,423.48
1002,2015-09-30,421.9
1003,2015-10-01,421.73
1004,2015-10-02,420.21
1005,2015-10-03,418.95
1006,2015-10-04,418.99
1007,2015-10-05,419.37
1008,2015-10-06,418.51
1009,2015-10-07,417.86
1010,2015-10-08,419.37
1011,2015-10-09,420.42
1012,2015-10-10,420.59
1013,2015-10-11,420.61
1014,2015-10-12,421.63
1015,2015-10-13,421.72
1016,2015-10-14,421.01
1017,2015-10-15,421.74
1018,2015-10-16,423.14
1019,2015-10-17,422.28
1020,2015-10-18,422.16
1021,2015-10-19,422.01
1022,2015-10-20,419.71
1023,2015-10-21,419.06
1024,2015-10-22,416.96
1025,2015-10-23,416.28
1026,2015-10-24,414.32
1027,2015-10-25,414.26
1028,2015-10-26,413.15
1029,2015-10-27,414.01
1030,2015-10-28,414.67
1031,2015-10-29,415.51
1032,2015-10-30,418.21
1033,2015-10-31,420.74
1034,2015-11-01,421.76
1035,2015-11-02,423.4
1036,2015-11-03,422.03
1037,2015-11-04,423.13
1038,2015-11-05,424.24
1039,2015-11-06,425.29
1040,2015-11-07,426.56
1041,2015-11-08,427.77
1042,2015-11-09,428.84
1043,2015-11-10,429.21
1044,2015-11-11,429.32
1045,2015-11-12,429.6
1046,2015-11-13,433.51
1047,2015-11-14,436.0
1048,2015-11-15,436.1
1049,2015-11-16,435.21
1050,2015-11-17,436.67
1051,2015-11-18,434.65
1052,2015-11-19,432.72
1053,2015-11-20,432.79
1054,2015-11-21,433.31
1055,2015-11-22,433.92
1056,2015-11-23,434.55
1057,2015-11-24,432.88
1058,2015-11-25,430.64
