,datetime,LOWER_TWIN_LAKE_NR_BRIDGEPORT__CA.tsv
755,2015-01-27,8403.938181818183
756,2015-01-28,8408.798484848485
757,2015-01-29,8413.658787878789
758,2015-01-30,8418.51909090909
759,2015-01-31,8423.379393939395
760,2015-02-01,8428.239696969698
761,2015-02-02,8433.1
762,2015-02-03,8442.408571428572
763,2015-02-04,8451.717142857144
764,2015-02-05,8461.025714285714
765,2015-02-06,8470.334285714287
766,2015-02-07,8479.642857142857
767,2015-02-08,8488.951428571429
768,2015-02-09,8498.26
769,2015-02-10,8507.568571428572
770,2015-02-11,8516.877142857144
771,2015-02-12,8526.185714285713
772,2015-02-13,8535.494285714287
773,2015-02-14,8544.802857142859
774,2015-02-15,8554.111428571428
775,2015-02-16,8563.42
776,2015-02-17,8572.728571428572
777,2015-02-18,8582.037142857143
778,2015-02-19,8591.345714285713
779,2015-02-20,8600.654285714287
780,2015-02-21,8609.962857142858
781,2015-02-22,8619.271428571428
782,2015-02-23,8628.58
783,2015-02-24,8637.888571428572
784,2015-02-25,8647.197142857143
785,2015-02-26,8656.505714285713
786,2015-02-27,8665.814285714287
787,2015-02-28,8675.122857142858
788,2015-03-01,8684.431428571428
789,2015-03-02,8693.74
790,2015-03-03,8695.077
791,2015-03-04,8696.413999999999
792,2015-03-05,8697.751
793,2015-03-06,8699.088
794,2015-03-07,8700.425
795,2015-03-08,8701.761999999999
796,2015-03-09,8703.099
797,2015-03-10,8704.436
798,2015-03-11,8705.773000000001
799,2015-03-12,8707.11
800,2015-03-13,8708.447
801,2015-03-14,8709.784
802,2015-03-15,8711.121000000001
803,2015-03-16,8712.458
804,2015-03-17,8713.795
805,2015-03-18,8715.132
806,2015-03-19,8716.469
807,2015-03-20,8717.806
808,2015-03-21,8719.143
809,2015-03-22,8720.48
810,2015-03-23,8721.817
811,2015-03-24,8723.154
812,2015-03-25,8724.491
813,2015-03-26,8725.828000000001
814,2015-03-27,8727.165
815,2015-03-28,8728.502
816,2015-03-29,8729.839
817,2015-03-30,8731.176000000001
818,2015-03-31,8732.513
819,2015-04-01,8733.85
820,2015-04-02,8734.852666666666
821,2015-04-03,8735.855333333333
822,2015-04-04,8736.858
823,2015-04-05,8737.860666666667
824,2015-04-06,8738.863333333335
825,2015-04-07,8739.866
826,2015-04-08,8740.868666666667
827,2015-04-09,8741.871333333333
828,2015-04-10,8742.874
829,2015-04-11,8743.876666666667
830,2015-04-12,8744.879333333334
831,2015-04-13,8745.882000000001
832,2015-04-14,8746.884666666667
833,2015-04-15,8747.887333333334
834,2015-04-16,8748.89
835,2015-04-17,8749.892666666667
836,2015-04-18,8750.895333333334
837,2015-04-19,8751.898000000001
838,2015-04-20,8752.900666666668
839,2015-04-21,8753.903333333334
840,2015-04-22,8754.905999999999
841,2015-04-23,8755.908666666666
842,2015-04-24,8756.911333333333
843,2015-04-25,8757.914
844,2015-04-26,8758.916666666668
845,2015-04-27,8759.919333333333
846,2015-04-28,8760.922
847,2015-04-29,8761.924666666666
848,2015-04-30,8762.927333333333
849,2015-05-01,8763.93
850,2015-05-02,8771.36806451613
851,2015-05-03,8778.806129032258
852,2015-05-04,8786.244193548388
853,2015-05-05,8793.682258064517
854,2015-05-06,8801.120322580646
855,2015-05-07,8808.558387096775
856,2015-05-08,8815.996451612904
857,2015-05-09,8823.434516129033
858,2015-05-10,8830.872580645162
859,2015-05-11,8838.310645161291
860,2015-05-12,8845.74870967742
861,2015-05-13,8853.18677419355
862,2015-05-14,8860.624838709678
863,2015-05-15,8868.062903225806
864,2015-05-16,8875.500967741937
865,2015-05-17,8882.939032258064
866,2015-05-18,8890.377096774195
867,2015-05-19,8897.815161290322
868,2015-05-20,8905.253225806453
869,2015-05-21,8912.69129032258
870,2015-05-22,8920.12935483871
871,2015-05-23,8927.567419354838
872,2015-05-24,8935.005483870968
873,2015-05-25,8942.443548387097
874,2015-05-26,8949.881612903226
875,2015-05-27,8957.319677419355
876,2015-05-28,8964.757741935484
877,2015-05-29,8972.195806451613
878,2015-05-30,8979.633870967742
879,2015-05-31,8987.071935483871
880,2015-06-01,8994.51
881,2015-06-02,8987.071612903226
882,2015-06-03,8979.633225806452
883,2015-06-04,8972.194838709678
884,2015-06-05,8964.756451612904
885,2015-06-06,8957.31806451613
886,2015-06-07,8949.879677419354
887,2015-06-08,8942.441290322582
888,2015-06-09,8935.002903225806
889,2015-06-10,8927.564516129032
890,2015-06-11,8920.126129032258
891,2015-06-12,8912.687741935484
892,2015-06-13,8905.24935483871
893,2015-06-14,8897.810967741936
894,2015-06-15,8890.372580645162
895,2015-06-16,8882.934193548386
896,2015-06-17,8875.495806451614
897,2015-06-18,8868.057419354838
898,2015-06-19,8860.619032258064
899,2015-06-20,8853.18064516129
900,2015-06-21,8845.742258064516
901,2015-06-22,8838.303870967742
902,2015-06-23,8830.865483870968
903,2015-06-24,8823.427096774194
904,2015-06-25,8815.988709677418
905,2015-06-26,8808.550322580646
906,2015-06-27,8801.11193548387
907,2015-06-28,8793.673548387096
908,2015-06-29,8786.235161290322
909,2015-06-30,8778.796774193548
910,2015-07-01,8771.358387096774
911,2015-07-02,8763.92
912,2015-07-03,8757.138529411764
913,2015-07-04,8750.357058823529
914,2015-07-05,8743.575588235293
915,2015-07-06,8736.79411764706
916,2015-07-07,8730.012647058824
917,2015-07-08,8723.231176470588
918,2015-07-09,8716.449705882353
919,2015-07-10,8709.668235294117
920,2015-07-11,8702.886764705883
921,2015-07-12,8696.105294117648
922,2015-07-13,8689.323823529412
923,2015-07-14,8682.542352941176
924,2015-07-15,8675.76088235294
925,2015-07-16,8668.979411764707
926,2015-07-17,8662.197941176471
927,2015-07-18,8655.416470588236
928,2015-07-19,8648.635
929,2015-07-20,8641.853529411765
930,2015-07-21,8635.072058823529
931,2015-07-22,8628.290588235293
932,2015-07-23,8621.50911764706
933,2015-07-24,8614.727647058824
934,2015-07-25,8607.946176470588
935,2015-07-26,8601.164705882353
936,2015-07-27,8594.383235294117
937,2015-07-28,8587.601764705883
938,2015-07-29,8580.820294117648
939,2015-07-30,8574.038823529412
940,2015-07-31,8567.257352941177
941,2015-08-01,8560.475882352941
942,2015-08-02,8553.694411764707
943,2015-08-03,8546.912941176472
944,2015-08-04,8540.131470588236
945,2015-08-05,8533.35
946,2015-08-06,8523.696296296297
947,2015-08-07,8514.042592592592
948,2015-08-08,8504.388888888889
949,2015-08-09,8494.735185185185
950,2015-08-10,8485.081481481482
951,2015-08-11,8475.427777777779
952,2015-08-12,8465.774074074074
953,2015-08-13,8456.12037037037
954,2015-08-14,8446.466666666667
955,2015-08-15,8436.812962962964
956,2015-08-16,8427.15925925926
957,2015-08-17,8417.505555555555
958,2015-08-18,8407.851851851852
959,2015-08-19,8398.198148148149
960,2015-08-20,8388.544444444444
961,2015-08-21,8378.89074074074
962,2015-08-22,8369.237037037037
963,2015-08-23,8359.583333333334
964,2015-08-24,8349.929629629629
965,2015-08-25,8340.275925925926
966,2015-08-26,8330.622222222222
967,2015-08-27,8320.968518518519
968,2015-08-28,8311.314814814816
969,2015-08-29,8301.66111111111
970,2015-08-30,8292.007407407407
971,2015-08-31,8282.353703703702
972,2015-09-01,8272.7
973,2015-09-02,8275.373333333333
974,2015-09-03,8278.046666666667
975,2015-09-04,8280.72
976,2015-09-05,8283.393333333333
977,2015-09-06,8286.066666666668
978,2015-09-07,8288.74
979,2015-09-08,8291.413333333332
980,2015-09-09,8294.086666666666
981,2015-09-10,8296.76
982,2015-09-11,8299.433333333332
983,2015-09-12,8302.106666666667
984,2015-09-13,8304.779999999999
985,2015-09-14,8307.453333333333
986,2015-09-15,8310.126666666667
987,2015-09-16,8312.8
988,2015-09-17,8315.473333333333
989,2015-09-18,8318.146666666667
990,2015-09-19,8320.82
991,2015-09-20,8323.493333333332
992,2015-09-21,8326.166666666666
993,2015-09-22,8328.84
994,2015-09-23,8331.513333333332
995,2015-09-24,8334.186666666666
996,2015-09-25,8336.86
997,2015-09-26,8339.533333333333
998,2015-09-27,8342.206666666667
999,2015-09-28,8344.88
1000,2015-09-29,8347.553333333333
1001,2015-09-30,8350.226666666667
1002,2015-10-01,8352.9
1003,2015-10-02,8356.133548387097
1004,2015-10-03,8359.367096774193
1005,2015-10-04,8362.60064516129
1006,2015-10-05,8365.834193548388
1007,2015-10-06,8369.067741935483
1008,2015-10-07,8372.30129032258
1009,2015-10-08,8375.534838709676
1010,2015-10-09,8378.768387096774
1011,2015-10-10,8382.00193548387
1012,2015-10-11,8385.235483870967
1013,2015-10-12,8388.469032258065
1014,2015-10-13,8391.70258064516
1015,2015-10-14,8394.936129032258
1016,2015-10-15,8398.169677419355
1017,2015-10-16,8401.40322580645
1018,2015-10-17,8404.636774193548
1019,2015-10-18,8407.870322580646
1020,2015-10-19,8411.103870967741
1021,2015-10-20,8414.337419354839
1022,2015-10-21,8417.570967741936
1023,2015-10-22,8420.804516129032
1024,2015-10-23,8424.03806451613
1025,2015-10-24,8427.271612903227
1026,2015-10-25,8430.505161290323
1027,2015-10-26,8433.73870967742
1028,2015-10-27,8436.972258064516
1029,2015-10-28,8440.205806451613
1030,2015-10-29,8443.43935483871
1031,2015-10-30,8446.672903225806
1032,2015-10-31,8449.906451612904
1033,2015-11-01,8453.14
1034,2015-11-02,8479.873666666666
1035,2015-11-03,8506.607333333333
1036,2015-11-04,8533.341
1037,2015-11-05,8560.074666666667
1038,2015-11-06,8586.808333333334
1039,2015-11-07,8613.542000000001
1040,2015-11-08,8640.275666666666
1041,2015-11-09,8667.009333333333
1042,2015-11-10,8693.743
1043,2015-11-11,8720.476666666667
1044,2015-11-12,8747.210333333334
1045,2015-11-13,8773.944
1046,2015-11-14,8800.677666666666
1047,2015-11-15,8827.411333333333
1048,2015-11-16,8854.145
1049,2015-11-17,8880.878666666666
1050,2015-11-18,8907.612333333333
1051,2015-11-19,8934.346
1052,2015-11-20,8961.079666666667
1053,2015-11-21,8987.813333333334
1054,2015-11-22,9014.546999999999
1055,2015-11-23,9041.280666666666
1056,2015-11-24,9068.014333333333
1057,2015-11-25,9094.748
1058,2015-11-26,9121.481666666667
1059,2015-11-27,9148.215333333334
1060,2015-11-28,9174.949
1061,2015-11-29,9201.682666666666
1062,2015-11-30,9228.416333333333
1063,2015-12-01,9255.15
1064,2015-12-02,9279.878666666666
1065,2015-12-03,9304.607333333333
1066,2015-12-04,9329.336
1067,2015-12-05,9354.064666666667
1068,2015-12-06,9378.793333333333
1069,2015-12-07,9403.522
1070,2015-12-08,9428.250666666667
1071,2015-12-09,9452.979333333333
1072,2015-12-10,9477.707999999999
1073,2015-12-11,9502.436666666666
1074,2015-12-12,9527.165333333332
1075,2015-12-13,9551.894
1076,2015-12-14,9576.622666666666
1077,2015-12-15,9601.351333333334
1078,2015-12-16,9626.08
1079,2015-12-17,9650.808666666666
1080,2015-12-18,9675.537333333334
1081,2015-12-19,9700.266
1082,2015-12-20,9724.994666666667
1083,2015-12-21,9749.723333333333
1084,2015-12-22,9774.452000000001
1085,2015-12-23,9799.180666666667
1086,2015-12-24,9823.909333333333
1087,2015-12-25,9848.637999999999
1088,2015-12-26,9873.366666666667
1089,2015-12-27,9898.095333333333
1090,2015-12-28,9922.824
1091,2015-12-29,9947.552666666666
1092,2015-12-30,9972.281333333334
1093,2015-12-31,9997.01
1094,2016-01-01,10022.6990625
1095,2016-01-02,10048.388125000001
1096,2016-01-03,10074.0771875
1097,2016-01-04,10099.76625
1098,2016-01-05,10125.4553125
1099,2016-01-06,10151.144375
1100,2016-01-07,10176.833437500001
1101,2016-01-08,10202.5225
1102,2016-01-09,10228.2115625
1103,2016-01-10,10253.900625
1104,2016-01-11,10279.5896875
1105,2016-01-12,10305.278750000001
1106,2016-01-13,10330.9678125
1107,2016-01-14,10356.656875
1108,2016-01-15,10382.3459375
1109,2016-01-16,10408.035
1110,2016-01-17,10433.724062500001
1111,2016-01-18,10459.413125
1112,2016-01-19,10485.1021875
1113,2016-01-20,10510.79125
1114,2016-01-21,10536.4803125
1115,2016-01-22,10562.169375000001
1116,2016-01-23,10587.8584375
1117,2016-01-24,10613.5475
1118,2016-01-25,10639.2365625
1119,2016-01-26,10664.925625
1120,2016-01-27,10690.614687500001
1121,2016-01-28,10716.30375
1122,2016-01-29,10741.9928125
1123,2016-01-30,10767.681875
1124,2016-01-31,10793.3709375
1125,2016-02-01,10819.060000000001
1126,2016-02-02,10837.437333333333
1127,2016-02-03,10855.814666666667
