,datetime,INDIAN_VALLEY_RES_A_CLEARLAKE_OAKS_CA.tsv
675,2014-11-07,24967.56
676,2014-11-08,24957.54
677,2014-11-09,24947.52
678,2014-11-10,24937.51
679,2014-11-11,24917.47
680,2014-11-12,24897.45
681,2014-11-13,24917.47
682,2014-11-14,24897.45
683,2014-11-15,24877.41
684,2014-11-16,24847.37
685,2014-11-17,24837.35
686,2014-11-18,24817.32
687,2014-11-19,24817.32
688,2014-11-20,24827.34
689,2014-11-21,24807.31
690,2014-11-22,24827.34
691,2014-11-23,24817.32
692,2014-11-24,24797.28
693,2014-11-25,24777.25
694,2014-11-26,24757.22
695,2014-11-27,24747.21
696,2014-11-28,24747.21
697,2014-11-29,24757.22
698,2014-11-30,24787.27
699,2014-12-01,24777.26
700,2014-12-02,24827.33
701,2014-12-03,26379.73
702,2014-12-04,26900.37
703,2014-12-05,27220.72
704,2014-12-06,27901.46
705,2014-12-07,28161.73
706,2014-12-08,28321.9
707,2014-12-09,28472.05
708,2014-12-10,28662.25
709,2014-12-11,37641.59
710,2014-12-12,39763.78
711,2014-12-13,40544.56
712,2014-12-14,40964.98
713,2014-12-15,41665.68
714,2014-12-16,42676.6
715,2014-12-17,43927.69
716,2014-12-18,45038.65
717,2014-12-19,46740.13
718,2014-12-20,48061.23
719,2014-12-21,49242.19
720,2014-12-22,50092.85
721,2014-12-23,50733.34
722,2014-12-24,51223.72
723,2014-12-25,51634.03
724,2014-12-26,51954.26
725,2014-12-27,52244.47
726,2014-12-28,52504.65
727,2014-12-29,52724.81
728,2014-12-30,52924.95
729,2014-12-31,53075.06
730,2015-01-01,53185.14
731,2015-01-02,53345.25
732,2015-01-03,53485.35
733,2015-01-04,53605.44
734,2015-01-05,53735.53
735,2015-01-06,53835.6
736,2015-01-07,53935.67
737,2015-01-08,54045.75
738,2015-01-09,54145.82
739,2015-01-10,54225.88
740,2015-01-11,54295.93
741,2015-01-12,54385.99
742,2015-01-13,54426.02
743,2015-01-14,54506.08
744,2015-01-15,54576.13
