,datetime,UPPER_TWIN_LAKE_NR_BRIDGEPORT__CA.tsv
453,2014-03-31,9277.0
454,2014-04-01,9283.018333333333
455,2014-04-02,9289.036666666667
456,2014-04-03,9295.055
457,2014-04-04,9301.073333333334
458,2014-04-05,9307.091666666667
459,2014-04-06,9313.11
460,2014-04-07,9319.128333333334
461,2014-04-08,9325.146666666667
462,2014-04-09,9331.165
463,2014-04-10,9337.183333333334
464,2014-04-11,9343.201666666668
465,2014-04-12,9349.220000000001
466,2014-04-13,9355.238333333335
467,2014-04-14,9361.256666666668
468,2014-04-15,9367.275
469,2014-04-16,9373.293333333333
470,2014-04-17,9379.311666666666
471,2014-04-18,9385.33
472,2014-04-19,9391.348333333333
473,2014-04-20,9397.366666666667
474,2014-04-21,9403.385
475,2014-04-22,9409.403333333334
476,2014-04-23,9415.421666666667
477,2014-04-24,9421.44
478,2014-04-25,9427.458333333334
479,2014-04-26,9433.476666666666
480,2014-04-27,9439.494999999999
481,2014-04-28,9445.513333333332
482,2014-04-29,9451.531666666666
483,2014-04-30,9457.55
484,2014-05-01,9461.198484848484
485,2014-05-02,9464.84696969697
486,2014-05-03,9468.495454545455
487,2014-05-04,9472.14393939394
488,2014-05-05,9475.792424242423
489,2014-05-06,9479.44090909091
490,2014-05-07,9483.089393939394
491,2014-05-08,9486.737878787879
492,2014-05-09,9490.386363636364
493,2014-05-10,9494.03484848485
494,2014-05-11,9497.683333333334
495,2014-05-12,9501.331818181818
496,2014-05-13,9504.980303030303
497,2014-05-14,9508.628787878788
498,2014-05-15,9512.277272727273
499,2014-05-16,9515.925757575758
500,2014-05-17,9519.574242424242
501,2014-05-18,9523.222727272727
502,2014-05-19,9526.871212121212
503,2014-05-20,9530.519696969697
504,2014-05-21,9534.168181818182
505,2014-05-22,9537.816666666666
506,2014-05-23,9541.46515151515
507,2014-05-24,9545.113636363636
508,2014-05-25,9548.762121212121
509,2014-05-26,9552.410606060606
510,2014-05-27,9556.05909090909
511,2014-05-28,9559.707575757577
512,2014-05-29,9563.35606060606
513,2014-05-30,9567.004545454545
514,2014-05-31,9570.65303030303
515,2014-06-01,9574.301515151516
516,2014-06-02,9577.95
517,2014-06-03,9569.647586206896
518,2014-06-04,9561.345172413792
519,2014-06-05,9553.04275862069
520,2014-06-06,9544.740344827585
521,2014-06-07,9536.437931034483
522,2014-06-08,9528.135517241379
523,2014-06-09,9519.833103448276
524,2014-06-10,9511.530689655172
525,2014-06-11,9503.22827586207
526,2014-06-12,9494.925862068965
527,2014-06-13,9486.623448275863
528,2014-06-14,9478.321034482758
529,2014-06-15,9470.018620689654
530,2014-06-16,9461.716206896552
531,2014-06-17,9453.41379310345
532,2014-06-18,9445.111379310345
533,2014-06-19,9436.80896551724
534,2014-06-20,9428.506551724138
535,2014-06-21,9420.204137931034
