,datetime,LAKE_BILLY_CHINOOK_NEAR_GRANDVIEW__OR.tsv
484,2014-04-30,1944.44
485,2014-05-01,1944.43
486,2014-05-02,1944.45
487,2014-05-03,1944.34
488,2014-05-04,1944.59
489,2014-05-05,1944.63
490,2014-05-06,1944.63
491,2014-05-07,1944.49
492,2014-05-08,1944.46
493,2014-05-09,1944.49
494,2014-05-10,1944.51
495,2014-05-11,1944.47
496,2014-05-12,1944.39
497,2014-05-13,1944.39
498,2014-05-14,1944.62
499,2014-05-15,1944.65
500,2014-05-16,1944.7
501,2014-05-17,1944.53
502,2014-05-18,1944.63
503,2014-05-19,1944.51
504,2014-05-20,1944.49
505,2014-05-21,1944.46
506,2014-05-22,1944.52
507,2014-05-23,1944.54
508,2014-05-24,1944.55
509,2014-05-25,1944.61
510,2014-05-26,1944.55
511,2014-05-27,1944.72
512,2014-05-28,1944.73
513,2014-05-29,1944.5
514,2014-05-30,1944.33
515,2014-05-31,1944.48
516,2014-06-01,1944.41
517,2014-06-02,1944.57
518,2014-06-03,1944.52
519,2014-06-04,1944.59
520,2014-06-05,1944.48
521,2014-06-06,1944.44
522,2014-06-07,1944.53
523,2014-06-08,1944.59
524,2014-06-09,1944.58
525,2014-06-10,1944.66
526,2014-06-11,1944.47
527,2014-06-12,1944.5
528,2014-06-13,1944.45
529,2014-06-14,1944.5
530,2014-06-15,1944.47
531,2014-06-16,1944.49
532,2014-06-17,1944.42
533,2014-06-18,1944.4
534,2014-06-19,1944.41
535,2014-06-20,1944.43
536,2014-06-21,1944.26
537,2014-06-22,1944.25
538,2014-06-23,1944.69
539,2014-06-24,1944.45
540,2014-06-25,1944.64
541,2014-06-26,1944.73
542,2014-06-27,1944.86
543,2014-06-28,1944.66
544,2014-06-29,1944.55
545,2014-06-30,1944.49
546,2014-07-01,1944.39
547,2014-07-02,1944.41
548,2014-07-03,1944.49
549,2014-07-04,1944.47
550,2014-07-05,1944.43
551,2014-07-06,1944.53
552,2014-07-07,1944.47
553,2014-07-08,1944.58
554,2014-07-09,1944.62
555,2014-07-10,1944.51
556,2014-07-11,1944.52
557,2014-07-12,1944.53
558,2014-07-13,1944.5
559,2014-07-14,1944.45
560,2014-07-15,1944.7
561,2014-07-16,1944.75
562,2014-07-17,1944.61
563,2014-07-18,1944.43
564,2014-07-19,1944.55
565,2014-07-20,1944.53
566,2014-07-21,1944.52
567,2014-07-22,1944.5
568,2014-07-23,1944.58
569,2014-07-24,1944.53
570,2014-07-25,1944.61
571,2014-07-26,1944.47
572,2014-07-27,1944.42
573,2014-07-28,1944.39
574,2014-07-29,1944.51
575,2014-07-30,1944.55
576,2014-07-31,1944.5
577,2014-08-01,1944.41
578,2014-08-02,1944.45
579,2014-08-03,1944.38
580,2014-08-04,1944.5
581,2014-08-05,1944.44
582,2014-08-06,1944.43
583,2014-08-07,1944.46
584,2014-08-08,1944.54
585,2014-08-09,1944.52
586,2014-08-10,1944.45
587,2014-08-11,1944.57
588,2014-08-12,1944.55
589,2014-08-13,1944.62
590,2014-08-14,1944.51
591,2014-08-15,1944.44
592,2014-08-16,1944.36
593,2014-08-17,1944.36
594,2014-08-18,1944.3
595,2014-08-19,1944.34
596,2014-08-20,1944.34
597,2014-08-21,1944.39
598,2014-08-22,1944.31
599,2014-08-23,1944.33
600,2014-08-24,1944.52
601,2014-08-25,1944.4
602,2014-08-26,1944.43
603,2014-08-27,1944.45
604,2014-08-28,1944.41
605,2014-08-29,1944.35
606,2014-08-30,1944.33
607,2014-08-31,1944.44
608,2014-09-01,1944.41
609,2014-09-02,1944.58
610,2014-09-03,1944.49
611,2014-09-04,1944.38
612,2014-09-05,1944.4
613,2014-09-06,1944.46
614,2014-09-07,1944.51
615,2014-09-08,1944.5
616,2014-09-09,1944.48
617,2014-09-10,1944.38
618,2014-09-11,1944.41
619,2014-09-12,1944.41
620,2014-09-13,1944.64
621,2014-09-14,1944.53
622,2014-09-15,1944.45
623,2014-09-16,1944.43
624,2014-09-17,1944.43
625,2014-09-18,1944.4
626,2014-09-19,1944.22
627,2014-09-20,1944.23
628,2014-09-21,1944.3
629,2014-09-22,1944.21
630,2014-09-23,1944.0
631,2014-09-24,1944.03
632,2014-09-25,1944.01
633,2014-09-26,1943.9
634,2014-09-27,1943.82
635,2014-09-28,1943.88
636,2014-09-29,1943.9
637,2014-09-30,1943.86
638,2014-10-01,1943.77
639,2014-10-02,1943.76
640,2014-10-03,1943.66
641,2014-10-04,1943.7
642,2014-10-05,1943.76
643,2014-10-06,1943.73
644,2014-10-07,1943.75
645,2014-10-08,1943.59
646,2014-10-09,1943.53
647,2014-10-10,1943.5
648,2014-10-11,1943.51
649,2014-10-12,1943.51
650,2014-10-13,1943.47
651,2014-10-14,1943.44
652,2014-10-15,1943.43
653,2014-10-16,1943.42
654,2014-10-17,1943.4
655,2014-10-18,1943.71
656,2014-10-19,1943.68
657,2014-10-20,1943.69
658,2014-10-21,1943.7
659,2014-10-22,1943.73
660,2014-10-23,1943.78
661,2014-10-24,1943.79
662,2014-10-25,1943.81
663,2014-10-26,1943.78
664,2014-10-27,1943.72
665,2014-10-28,1944.0
666,2014-10-29,1944.09
667,2014-10-30,1944.32
668,2014-10-31,1944.15
669,2014-11-01,1944.16
670,2014-11-02,1944.11
671,2014-11-03,1943.98
672,2014-11-04,1943.86
673,2014-11-05,1943.78
674,2014-11-06,1943.72
675,2014-11-07,1943.67
676,2014-11-08,1943.57
677,2014-11-09,1943.44
678,2014-11-10,1943.37
679,2014-11-11,1943.32
680,2014-11-12,1943.25
681,2014-11-13,1943.38
682,2014-11-14,1943.36
683,2014-11-15,1943.42
684,2014-11-16,1943.33
685,2014-11-17,1943.16
686,2014-11-18,1942.97
687,2014-11-19,1942.91
688,2014-11-20,1942.81
689,2014-11-21,1942.72
690,2014-11-22,1942.92
691,2014-11-23,1942.72
692,2014-11-24,1942.8
693,2014-11-25,1942.64
694,2014-11-26,1942.6
695,2014-11-27,1942.61
696,2014-11-28,1942.95
697,2014-11-29,1942.96
698,2014-11-30,1942.78
699,2014-12-01,1942.71
700,2014-12-02,1942.6
701,2014-12-03,1942.54
702,2014-12-04,1942.44
703,2014-12-05,1942.21
704,2014-12-06,1942.1
705,2014-12-07,1942.0
706,2014-12-08,1941.96
707,2014-12-09,1941.85
708,2014-12-10,1941.81
709,2014-12-11,1941.87
710,2014-12-12,1941.68
711,2014-12-13,1941.51
712,2014-12-14,1941.39
713,2014-12-15,1941.31
714,2014-12-16,1941.17
715,2014-12-17,1941.15
716,2014-12-18,1941.22
717,2014-12-19,1941.55
718,2014-12-20,1941.68
719,2014-12-21,1942.43
720,2014-12-22,1943.0
721,2014-12-23,1942.79
722,2014-12-24,1942.71
723,2014-12-25,1942.35
724,2014-12-26,1941.9
725,2014-12-27,1941.71
726,2014-12-28,1941.56
727,2014-12-29,1941.6
728,2014-12-30,1941.67
729,2014-12-31,1941.42
730,2015-01-01,1940.87
731,2015-01-02,1940.79
732,2015-01-03,1940.49
733,2015-01-04,1940.32
734,2015-01-05,1940.27
735,2015-01-06,1940.0
736,2015-01-07,1939.92
737,2015-01-08,1939.87
738,2015-01-09,1940.0
739,2015-01-10,1940.05
740,2015-01-11,1940.0
741,2015-01-12,1940.0
742,2015-01-13,1939.96
743,2015-01-14,1939.94
744,2015-01-15,1940.29
745,2015-01-16,1940.38
746,2015-01-17,1940.52
747,2015-01-18,1940.75
748,2015-01-19,1940.72
749,2015-01-20,1940.59
750,2015-01-21,1940.37
751,2015-01-22,1940.38
752,2015-01-23,1940.28
753,2015-01-24,1940.23
754,2015-01-25,1940.18
755,2015-01-26,1940.19
756,2015-01-27,1940.09
757,2015-01-28,1940.17
758,2015-01-29,1940.2
759,2015-01-30,1940.35
760,2015-01-31,1940.38
761,2015-02-01,1940.58
762,2015-02-02,1940.54
763,2015-02-03,1940.64
764,2015-02-04,1940.75
765,2015-02-05,1940.83
766,2015-02-06,1940.59
767,2015-02-07,1941.0
768,2015-02-08,1941.01
769,2015-02-09,1941.16
770,2015-02-10,1941.21
771,2015-02-11,1941.22
772,2015-02-12,1941.42
773,2015-02-13,1941.21
774,2015-02-14,1941.11
775,2015-02-15,1941.14
776,2015-02-16,1941.09
777,2015-02-17,1941.08
778,2015-02-18,1941.33
779,2015-02-19,1941.32
780,2015-02-20,1941.52
781,2015-02-21,1941.6
782,2015-02-22,1941.22
783,2015-02-23,1941.42
784,2015-02-24,1941.6
785,2015-02-25,1941.42
786,2015-02-26,1941.56
787,2015-02-27,1941.55
788,2015-02-28,1941.63
789,2015-03-01,1941.69
790,2015-03-02,1941.75
791,2015-03-03,1941.97
792,2015-03-04,1942.07
793,2015-03-05,1942.21
794,2015-03-06,1942.42
795,2015-03-07,1942.52
796,2015-03-08,1942.64
797,2015-03-09,1942.88
798,2015-03-10,1942.82
799,2015-03-11,1942.82
800,2015-03-12,1942.87
801,2015-03-13,1942.94
802,2015-03-14,1943.32
803,2015-03-15,1943.6
804,2015-03-16,1943.63
805,2015-03-17,1943.73
806,2015-03-18,1943.65
807,2015-03-19,1943.65
808,2015-03-20,1943.68
809,2015-03-21,1943.64
810,2015-03-22,1943.67
811,2015-03-23,1943.63
812,2015-03-24,1943.71
813,2015-03-25,1943.75
814,2015-03-26,1943.63
815,2015-03-27,1943.59
816,2015-03-28,1943.65
817,2015-03-29,1943.7
818,2015-03-30,1943.58
819,2015-03-31,1943.49
820,2015-04-01,1943.57
821,2015-04-02,1943.47
822,2015-04-03,1943.43
823,2015-04-04,1943.5
824,2015-04-05,1943.51
825,2015-04-06,1943.6
826,2015-04-07,1943.63
827,2015-04-08,1943.64
828,2015-04-09,1943.6
829,2015-04-10,1943.56
830,2015-04-11,1943.76
831,2015-04-12,1943.62
832,2015-04-13,1943.79
833,2015-04-14,1943.81
834,2015-04-15,1943.87
835,2015-04-16,1943.89
836,2015-04-17,1943.95
837,2015-04-18,1943.94
838,2015-04-19,1944.13
839,2015-04-20,1944.22
840,2015-04-21,1944.23
841,2015-04-22,1944.29
842,2015-04-23,1944.35
843,2015-04-24,1944.46
844,2015-04-25,1944.55
845,2015-04-26,1944.52
846,2015-04-27,1944.49
847,2015-04-28,1944.49
