,datetime,CRATER_LAKE_NEAR_CRATER_LAKE__OR.
889,2013-06-08,6172.71
890,2013-06-09,6172.71
891,2013-06-10,6172.7
892,2013-06-11,6172.68
893,2013-06-12,6172.66
894,2013-06-13,6172.64
895,2013-06-14,6172.63
896,2013-06-15,6172.62
897,2013-06-16,6172.61
898,2013-06-17,6172.6
899,2013-06-18,6172.58
900,2013-06-19,6172.58
901,2013-06-20,6172.58
902,2013-06-21,6172.56
903,2013-06-22,6172.55
904,2013-06-23,6172.56
905,2013-06-24,6172.57
906,2013-06-25,6172.59
907,2013-06-26,6172.6
908,2013-06-27,6172.58
909,2013-06-28,6172.57
910,2013-06-29,6172.56
911,2013-06-30,6172.55
912,2013-07-01,6172.54
913,2013-07-02,6172.53
914,2013-07-03,6172.52
915,2013-07-04,6172.5
916,2013-07-05,6172.49
917,2013-07-06,6172.47
918,2013-07-07,6172.46
919,2013-07-08,6172.44
920,2013-07-09,6172.43
921,2013-07-10,6172.42
922,2013-07-11,6172.4
923,2013-07-12,6172.38
924,2013-07-13,6172.35
925,2013-07-14,6172.33
926,2013-07-15,6172.32
927,2013-07-16,6172.3
928,2013-07-17,6172.29
929,2013-07-18,6172.27
930,2013-07-19,6172.25
931,2013-07-20,6172.24
932,2013-07-21,6172.23
933,2013-07-22,6172.21
934,2013-07-23,6172.19
935,2013-07-24,6172.18
936,2013-07-25,6172.16
937,2013-07-26,6172.15
938,2013-07-27,6172.13
939,2013-07-28,6172.1
940,2013-07-29,6172.08
941,2013-07-30,6172.06
942,2013-07-31,6172.04
943,2013-08-01,6172.01
944,2013-08-02,6171.98
945,2013-08-03,6171.96
946,2013-08-04,6171.94
947,2013-08-05,6171.93
948,2013-08-06,6171.91
949,2013-08-07,6171.89
950,2013-08-08,6171.88
951,2013-08-09,6171.86
952,2013-08-10,6171.84
953,2013-08-11,6171.83
954,2013-08-12,6171.81
955,2013-08-13,6171.79
956,2013-08-14,6171.78
957,2013-08-15,6171.76
958,2013-08-16,6171.74
959,2013-08-17,6171.72
960,2013-08-18,6171.71
961,2013-08-19,6171.69
962,2013-08-20,6171.68
963,2013-08-21,6171.66
964,2013-08-22,6171.65
965,2013-08-23,6171.65
966,2013-08-24,6171.63
967,2013-08-25,6171.62
968,2013-08-26,6171.62
969,2013-08-27,6171.59
970,2013-08-28,6171.57
971,2013-08-29,6171.56
972,2013-08-30,6171.54
973,2013-08-31,6171.52
974,2013-09-01,6171.5
975,2013-09-02,6171.48
976,2013-09-03,6171.46
977,2013-09-04,6171.43
978,2013-09-05,6171.42
979,2013-09-06,6171.4
980,2013-09-07,6171.38
981,2013-09-08,6171.37
982,2013-09-09,6171.35
983,2013-09-10,6171.34
984,2013-09-11,6171.32
985,2013-09-12,6171.31
986,2013-09-13,6171.29
987,2013-09-14,6171.28
988,2013-09-15,6171.26
989,2013-09-16,6171.24
