,datetime,BULL_RUN_RESERVOIR_NO_1_NEAR_BULL_RUN__OR.
290,2011-10-18,1012.4
291,2011-10-19,1011.11
292,2011-10-20,1011.14
293,2011-10-21,1010.02
294,2011-10-22,1009.53
295,2011-10-23,1009.33
296,2011-10-24,1008.92
297,2011-10-25,1008.3
298,2011-10-26,1007.04
299,2011-10-27,1006.25
300,2011-10-28,1006.02
301,2011-10-29,1006.61
302,2011-10-30,1012.2
303,2011-10-31,1018.43
304,2011-11-01,1020.75
305,2011-11-02,1022.21
306,2011-11-03,1023.86
307,2011-11-04,1024.57
308,2011-11-05,1024.63
309,2011-11-06,1024.58
310,2011-11-07,1024.68
311,2011-11-08,1024.45
312,2011-11-09,1024.41
313,2011-11-10,1024.19
314,2011-11-11,1024.44
315,2011-11-12,1024.57
316,2011-11-13,1026.49
317,2011-11-14,1028.42
318,2011-11-15,1030.86
319,2011-11-16,1031.26
320,2011-11-17,1035.13
321,2011-11-18,1035.27
322,2011-11-19,1034.27
323,2011-11-20,1034.43
324,2011-11-21,1035.03
325,2011-11-22,1038.2
326,2011-11-23,1037.0
327,2011-11-24,1036.04
328,2011-11-25,1035.35
329,2011-11-26,1035.64
330,2011-11-27,1035.84
331,2011-11-28,1035.37
332,2011-11-29,1034.69
333,2011-11-30,1035.08
334,2011-12-01,1035.21
335,2011-12-02,1035.05
336,2011-12-03,1034.83
337,2011-12-04,1034.64
338,2011-12-05,1034.5
339,2011-12-06,1034.41
340,2011-12-07,1034.49
341,2011-12-08,1034.76
342,2011-12-09,1034.65
343,2011-12-10,1034.54
344,2011-12-11,1034.79
345,2011-12-12,1034.75
346,2011-12-13,1034.66
347,2011-12-14,1034.75
348,2011-12-15,1035.01
349,2011-12-16,1034.64
350,2011-12-17,1034.6
351,2011-12-18,1035.03
352,2011-12-19,1035.13
353,2011-12-20,1035.02
354,2011-12-21,1034.97
355,2011-12-22,1034.88
356,2011-12-23,1034.44
357,2011-12-24,1034.71
358,2011-12-25,1034.71
359,2011-12-26,1034.89
360,2011-12-27,1035.59
361,2011-12-28,1042.16
362,2011-12-29,1039.2
363,2011-12-30,1039.1
364,2011-12-31,1035.98
365,2012-01-01,1035.53
366,2012-01-02,1034.57
367,2012-01-03,1034.82
368,2012-01-04,1034.77
369,2012-01-05,1035.47
370,2012-01-06,1035.17
371,2012-01-07,1035.25
372,2012-01-08,1035.25
373,2012-01-09,1035.03
374,2012-01-10,1035.03
375,2012-01-11,1034.76
376,2012-01-12,1033.99
377,2012-01-13,1033.79
378,2012-01-14,1034.55
379,2012-01-15,1034.66
380,2012-01-16,1034.71
381,2012-01-17,1035.23
382,2012-01-18,1036.29
383,2012-01-19,1041.77
384,2012-01-20,1038.82
385,2012-01-21,1037.65
386,2012-01-22,1035.82
387,2012-01-23,1035.42
388,2012-01-24,1039.03
389,2012-01-25,1038.0
390,2012-01-26,1036.96
391,2012-01-27,1035.5
392,2012-01-28,1034.94
393,2012-01-29,1035.92
394,2012-01-30,1036.85
395,2012-01-31,1035.74
396,2012-02-01,1035.83
397,2012-02-02,1035.45
398,2012-02-03,1034.99
399,2012-02-04,1035.06
400,2012-02-05,1035.12
401,2012-02-06,1035.03
402,2012-02-07,1034.94
403,2012-02-08,1034.97
404,2012-02-09,1035.11
405,2012-02-10,1035.35
406,2012-02-11,1034.99
407,2012-02-12,1035.09
408,2012-02-13,1034.75
409,2012-02-14,1035.01
410,2012-02-15,1034.97
411,2012-02-16,1034.76
412,2012-02-17,1035.33
413,2012-02-18,1034.84
414,2012-02-19,1034.86
415,2012-02-20,1035.99
416,2012-02-21,1039.96
417,2012-02-22,1039.39
418,2012-02-23,1036.2
419,2012-02-24,1035.85
420,2012-02-25,1035.61
421,2012-02-26,1034.68
422,2012-02-27,1034.28
423,2012-02-28,1034.5
424,2012-02-29,1034.79
425,2012-03-01,1034.82
426,2012-03-02,1034.96
427,2012-03-03,1035.33
428,2012-03-04,1034.69
429,2012-03-05,1035.43
430,2012-03-06,1035.03
431,2012-03-07,1034.98
432,2012-03-08,1035.03
433,2012-03-09,1035.24
434,2012-03-10,1035.71
435,2012-03-11,1035.3
436,2012-03-12,1034.7
437,2012-03-13,1034.61
438,2012-03-14,1034.83
439,2012-03-15,1038.68
440,2012-03-16,1037.16
441,2012-03-17,1035.5
442,2012-03-18,1034.97
443,2012-03-19,1034.56
444,2012-03-20,1035.22
445,2012-03-21,1034.92
446,2012-03-22,1035.05
447,2012-03-23,1035.0
448,2012-03-24,1035.07
449,2012-03-25,1035.12
450,2012-03-26,1035.47
451,2012-03-27,1035.21
452,2012-03-28,1035.41
453,2012-03-29,1035.84
454,2012-03-30,1039.67
455,2012-03-31,1036.74
456,2012-04-01,1035.69
457,2012-04-02,1035.66
458,2012-04-03,1035.49
459,2012-04-04,1034.95
460,2012-04-05,1035.05
461,2012-04-06,1034.43
462,2012-04-07,1034.43
463,2012-04-08,1034.54
464,2012-04-09,1034.99
465,2012-04-10,1034.88
466,2012-04-11,1034.64
467,2012-04-12,1034.81
468,2012-04-13,1034.85
469,2012-04-14,1034.88
470,2012-04-15,1034.82
471,2012-04-16,1035.91
472,2012-04-17,1035.81
473,2012-04-18,1035.83
474,2012-04-19,1036.1
475,2012-04-20,1036.64
476,2012-04-21,1035.82
477,2012-04-22,1035.83
478,2012-04-23,1035.96
479,2012-04-24,1035.86
480,2012-04-25,1035.59
481,2012-04-26,1035.59
482,2012-04-27,1035.34
483,2012-04-28,1035.04
484,2012-04-29,1035.04
485,2012-04-30,1036.05
486,2012-05-01,1035.68
487,2012-05-02,1035.54
488,2012-05-03,1038.43
489,2012-05-04,1041.19
490,2012-05-05,1041.72
491,2012-05-06,1040.72
492,2012-05-07,1039.48
493,2012-05-08,1039.24
494,2012-05-09,1039.19
495,2012-05-10,1038.7
496,2012-05-11,1038.96
497,2012-05-12,1039.53
498,2012-05-13,1040.25
499,2012-05-14,1040.87
500,2012-05-15,1041.54
501,2012-05-16,1041.74
502,2012-05-17,1041.65
503,2012-05-18,1042.04
504,2012-05-19,1042.28
505,2012-05-20,1042.44
506,2012-05-21,1042.87
507,2012-05-22,1043.74
508,2012-05-23,1045.37
509,2012-05-24,1045.13
510,2012-05-25,1044.56
511,2012-05-26,1044.85
512,2012-05-27,1044.85
513,2012-05-28,1044.91
514,2012-05-29,1044.88
515,2012-05-30,1044.92
516,2012-05-31,1044.89
517,2012-06-01,1044.95
518,2012-06-02,1045.02
519,2012-06-03,1044.87
520,2012-06-04,1044.91
521,2012-06-05,1044.85
522,2012-06-06,1044.83
523,2012-06-07,1045.15
524,2012-06-08,1044.97
525,2012-06-09,1045.3
526,2012-06-10,1045.03
527,2012-06-11,1044.42
528,2012-06-12,1045.1
529,2012-06-13,1045.13
530,2012-06-14,1044.92
531,2012-06-15,1044.87
532,2012-06-16,1045.02
