,datetime,DETROIT_LAKE_NEAR_DETROIT__OR.tsv
904,2016-01-20,1460.79
905,2016-01-21,1462.23
906,2016-01-22,1466.12
907,2016-01-23,1467.93
908,2016-01-24,1468.68
909,2016-01-25,1468.6
910,2016-01-26,1467.58
911,2016-01-27,1466.52
912,2016-01-28,1468.22
913,2016-01-29,1471.22
914,2016-01-30,1472.88
915,2016-01-31,1473.15
916,2016-02-01,1472.49
917,2016-02-02,1471.13
918,2016-02-03,1470.76
919,2016-02-04,1471.57
920,2016-02-05,1472.63
921,2016-02-06,1473.64
922,2016-02-07,1474.41
923,2016-02-08,1475.22
924,2016-02-09,1476.97
925,2016-02-10,1479.1
926,2016-02-11,1481.03
927,2016-02-12,1483.1
928,2016-02-13,1485.86
929,2016-02-14,1491.11
930,2016-02-15,1496.35
931,2016-02-16,1499.94
932,2016-02-17,1502.4
933,2016-02-18,1504.62
934,2016-02-19,1506.28
935,2016-02-20,1507.07
936,2016-02-21,1507.43
937,2016-02-22,1507.63
938,2016-02-23,1508.33
939,2016-02-24,1509.01
940,2016-02-25,1509.65
941,2016-02-26,1510.25
942,2016-02-27,1511.71
943,2016-02-28,1513.01
944,2016-02-29,1514.01
945,2016-03-01,1515.21
946,2016-03-02,1516.6
947,2016-03-03,1517.6
948,2016-03-04,1517.63
949,2016-03-05,1517.49
950,2016-03-06,1517.91
951,2016-03-07,1518.04
952,2016-03-08,1518.27
953,2016-03-09,1518.48
954,2016-03-10,1520.27
955,2016-03-11,1521.64
956,2016-03-12,1523.31
957,2016-03-13,1525.67
958,2016-03-14,1528.21
959,2016-03-15,1530.11
960,2016-03-16,1531.68
961,2016-03-17,1533.15
962,2016-03-18,1533.96
963,2016-03-19,1534.45
964,2016-03-20,1535.15
965,2016-03-21,1536.16
966,2016-03-22,1536.64
967,2016-03-23,1536.94
968,2016-03-24,1537.4
969,2016-03-25,1537.71
970,2016-03-26,1538.0
971,2016-03-27,1538.75
972,2016-03-28,1539.42
973,2016-03-29,1539.87
974,2016-03-30,1540.26
975,2016-03-31,1540.54
976,2016-04-01,1541.17
977,2016-04-02,1541.86
978,2016-04-03,1542.5
979,2016-04-04,1543.44
980,2016-04-05,1544.1
981,2016-04-06,1544.55
982,2016-04-07,1545.19
983,2016-04-08,1545.96
984,2016-04-09,1546.79
985,2016-04-10,1547.5
986,2016-04-11,1548.04
987,2016-04-12,1548.54
988,2016-04-13,1548.9
989,2016-04-14,1549.44
