,datetime,HILLS_CREEK_LAKE_NEAR_OAKRIDGE__OR.tsv
461,2014-11-05,1480.33
462,2014-11-06,1480.16
463,2014-11-07,1479.94
464,2014-11-08,1479.68
465,2014-11-09,1479.39
466,2014-11-10,1479.08
467,2014-11-11,1478.75
468,2014-11-12,1478.4
469,2014-11-13,1477.92
470,2014-11-14,1481.14
471,2014-11-15,1482.94
472,2014-11-16,1483.25
473,2014-11-17,1482.47
474,2014-11-18,1479.95
475,2014-11-19,1476.58
476,2014-11-20,1473.14
477,2014-11-21,1469.81
478,2014-11-22,1469.34
479,2014-11-23,1467.92
480,2014-11-24,1465.36
481,2014-11-25,1462.5
482,2014-11-26,1459.5
483,2014-11-27,1456.92
484,2014-11-28,1457.01
485,2014-11-29,1461.09
486,2014-11-30,1460.62
487,2014-12-01,1459.76
488,2014-12-02,1459.27
489,2014-12-03,1457.65
490,2014-12-04,1455.66
491,2014-12-05,1453.32
492,2014-12-06,1451.52
493,2014-12-07,1450.0
494,2014-12-08,1449.07
495,2014-12-09,1448.61
496,2014-12-10,1448.1
497,2014-12-11,1448.09
498,2014-12-12,1448.5
499,2014-12-13,1448.61
500,2014-12-14,1448.37
501,2014-12-15,1448.01
502,2014-12-16,1447.89
503,2014-12-17,1448.01
504,2014-12-18,1448.08
505,2014-12-19,1448.36
506,2014-12-20,1451.57
507,2014-12-21,1469.62
508,2014-12-22,1483.71
509,2014-12-23,1486.74
510,2014-12-24,1486.34
511,2014-12-25,1483.94
512,2014-12-26,1480.64
513,2014-12-27,1476.84
514,2014-12-28,1473.13
515,2014-12-29,1469.25
516,2014-12-30,1465.1
517,2014-12-31,1460.78
518,2015-01-01,1456.4
519,2015-01-02,1452.48
520,2015-01-03,1450.31
521,2015-01-04,1449.26
522,2015-01-05,1448.77
523,2015-01-06,1448.59
524,2015-01-07,1448.45
525,2015-01-08,1448.42
526,2015-01-09,1448.33
527,2015-01-10,1448.48
528,2015-01-11,1448.6
529,2015-01-12,1448.74
530,2015-01-13,1448.82
531,2015-01-14,1448.82
532,2015-01-15,1448.8
533,2015-01-16,1449.85
534,2015-01-17,1450.96
535,2015-01-18,1454.49
536,2015-01-19,1455.96
537,2015-01-20,1456.27
538,2015-01-21,1456.18
539,2015-01-22,1455.75
540,2015-01-23,1455.14
541,2015-01-24,1454.39
542,2015-01-25,1453.63
543,2015-01-26,1452.8
544,2015-01-27,1452.16
545,2015-01-28,1451.83
546,2015-01-29,1451.71
547,2015-01-30,1451.67
548,2015-01-31,1451.8
549,2015-02-01,1452.09
550,2015-02-02,1452.78
551,2015-02-03,1454.47
552,2015-02-04,1456.96
553,2015-02-05,1458.54
554,2015-02-06,1461.42
555,2015-02-07,1467.95
556,2015-02-08,1471.83
557,2015-02-09,1474.19
558,2015-02-10,1475.86
559,2015-02-11,1477.06
560,2015-02-12,1477.91
561,2015-02-13,1478.64
562,2015-02-14,1479.5
563,2015-02-15,1480.22
564,2015-02-16,1480.85
565,2015-02-17,1481.41
566,2015-02-18,1481.9
567,2015-02-19,1482.34
568,2015-02-20,1482.74
569,2015-02-21,1483.11
570,2015-02-22,1483.44
571,2015-02-23,1483.73
572,2015-02-24,1484.0
573,2015-02-25,1484.24
574,2015-02-26,1484.51
575,2015-02-27,1484.91
576,2015-02-28,1485.23
577,2015-03-01,1485.49
578,2015-03-02,1485.73
579,2015-03-03,1485.96
580,2015-03-04,1486.13
581,2015-03-05,1486.31
582,2015-03-06,1486.5
583,2015-03-07,1486.67
584,2015-03-08,1486.82
585,2015-03-09,1486.97
586,2015-03-10,1487.15
587,2015-03-11,1487.32
588,2015-03-12,1487.47
589,2015-03-13,1487.59
590,2015-03-14,1487.75
591,2015-03-15,1488.11
592,2015-03-16,1488.58
593,2015-03-17,1488.94
594,2015-03-18,1489.23
595,2015-03-19,1489.47
596,2015-03-20,1489.67
597,2015-03-21,1489.88
598,2015-03-22,1490.22
599,2015-03-23,1490.81
600,2015-03-24,1492.08
601,2015-03-25,1493.09
602,2015-03-26,1493.88
603,2015-03-27,1494.57
604,2015-03-28,1495.21
605,2015-03-29,1495.74
606,2015-03-30,1496.2
607,2015-03-31,1496.75
608,2015-04-01,1497.35
609,2015-04-02,1497.91
610,2015-04-03,1498.43
611,2015-04-04,1498.93
612,2015-04-05,1499.42
613,2015-04-06,1499.87
614,2015-04-07,1500.37
615,2015-04-08,1500.99
616,2015-04-09,1501.6
617,2015-04-10,1502.15
618,2015-04-11,1502.68
619,2015-04-12,1503.16
620,2015-04-13,1503.66
621,2015-04-14,1504.19
622,2015-04-15,1504.71
623,2015-04-16,1505.27
624,2015-04-17,1505.85
625,2015-04-18,1506.38
