,datetime,BULL_RUN_LAKE_NEAR_BRIGHTWOOD__OR.
742,2013-01-12,3174.79
743,2013-01-13,3174.74
744,2013-01-14,3174.69
745,2013-01-15,3174.61
746,2013-01-16,3174.56
747,2013-01-17,3174.49
748,2013-01-18,3174.43
749,2013-01-19,3174.38
750,2013-01-20,3174.32
751,2013-01-21,3174.27
752,2013-01-22,3174.25
753,2013-01-23,3174.19
754,2013-01-24,3174.15
755,2013-01-25,3174.24
756,2013-01-26,3174.29
757,2013-01-27,3174.33
758,2013-01-28,3174.43
759,2013-01-29,3174.53
760,2013-01-30,3174.6
761,2013-01-31,3174.65
762,2013-02-01,3174.71
763,2013-02-02,3174.65
764,2013-02-03,3174.63
765,2013-02-04,3174.59
766,2013-02-05,3174.66
767,2013-02-06,3174.58
768,2013-02-07,3174.58
769,2013-02-08,3174.52
770,2013-02-09,3174.47
771,2013-02-10,3174.39
772,2013-02-11,3174.35
773,2013-02-12,3174.32
774,2013-02-13,3174.35
775,2013-02-14,3174.31
776,2013-02-15,3174.28
777,2013-02-16,3174.3
778,2013-02-17,3174.26
779,2013-02-18,3174.22
780,2013-02-19,3174.16
781,2013-02-20,3174.13
782,2013-02-21,3174.14
783,2013-02-22,3174.22
784,2013-02-23,3174.21
785,2013-02-24,3174.14
786,2013-02-25,3174.22
787,2013-02-26,3174.13
788,2013-02-27,3174.07
789,2013-02-28,3174.29
790,2013-03-01,3174.47
791,2013-03-02,3174.61
792,2013-03-03,3174.65
793,2013-03-04,3174.65
794,2013-03-05,3174.68
795,2013-03-06,3174.73
796,2013-03-07,3174.67
797,2013-03-08,3174.62
798,2013-03-09,3174.57
799,2013-03-10,3174.53
800,2013-03-11,3174.5
801,2013-03-12,3174.48
802,2013-03-13,3174.47
803,2013-03-14,3174.5
804,2013-03-15,3174.61
805,2013-03-16,3174.89
806,2013-03-17,3174.96
807,2013-03-18,3174.97
808,2013-03-19,3175.01
809,2013-03-20,3175.27
810,2013-03-21,3175.39
811,2013-03-22,3175.44
812,2013-03-23,3175.42
813,2013-03-24,3175.39
814,2013-03-25,3175.36
815,2013-03-26,3175.31
816,2013-03-27,3175.27
817,2013-03-28,3175.23
818,2013-03-29,3175.2
819,2013-03-30,3175.21
820,2013-03-31,3175.25
821,2013-04-01,3175.31
822,2013-04-02,3175.39
823,2013-04-03,3175.46
824,2013-04-04,3175.64
825,2013-04-05,3175.93
826,2013-04-06,3176.36
827,2013-04-07,3176.78
828,2013-04-08,3176.89
829,2013-04-09,3176.94
830,2013-04-10,3177.17
831,2013-04-11,3177.26
832,2013-04-12,3177.41
833,2013-04-13,3177.51
834,2013-04-14,3177.51
835,2013-04-15,3177.49
836,2013-04-16,3177.47
837,2013-04-17,3177.42
838,2013-04-18,3177.38
839,2013-04-19,3177.65
840,2013-04-20,3177.83
841,2013-04-21,3177.92
842,2013-04-22,3177.97
843,2013-04-23,3177.98
844,2013-04-24,3177.96
845,2013-04-25,3177.97
846,2013-04-26,3177.99
847,2013-04-27,3178.04
848,2013-04-28,3178.12
849,2013-04-29,3178.34
850,2013-04-30,3178.38
851,2013-05-01,3178.35
852,2013-05-02,3178.36
853,2013-05-03,3178.36
854,2013-05-04,3178.37
855,2013-05-05,3178.48
856,2013-05-06,3178.59
857,2013-05-07,3178.67
858,2013-05-08,3178.72
859,2013-05-09,3178.77
860,2013-05-10,3178.82
861,2013-05-11,3178.87
862,2013-05-12,3178.89
863,2013-05-13,3178.98
864,2013-05-14,3178.97
865,2013-05-15,3178.95
866,2013-05-16,3178.93
867,2013-05-17,3178.89
868,2013-05-18,3178.87
869,2013-05-19,3178.82
870,2013-05-20,3178.76
871,2013-05-21,3178.76
872,2013-05-22,3178.81
873,2013-05-23,3178.83
874,2013-05-24,3178.89
875,2013-05-25,3178.9
876,2013-05-26,3178.95
877,2013-05-27,3179.19
878,2013-05-28,3179.4
879,2013-05-29,3179.72
880,2013-05-30,3179.94
881,2013-05-31,3179.98
882,2013-06-01,3179.98
883,2013-06-02,3179.94
884,2013-06-03,3179.9
885,2013-06-04,3179.84
886,2013-06-05,3179.77
887,2013-06-06,3179.69
888,2013-06-07,3179.62
889,2013-06-08,3179.51
890,2013-06-09,3179.42
891,2013-06-10,3179.32
892,2013-06-11,3179.23
893,2013-06-12,3179.13
894,2013-06-13,3179.08
895,2013-06-14,3178.97
896,2013-06-15,3178.86
897,2013-06-16,3178.75
898,2013-06-17,3178.65
899,2013-06-18,3178.55
900,2013-06-19,3178.46
901,2013-06-20,3178.45
902,2013-06-21,3178.36
903,2013-06-22,3178.27
904,2013-06-23,3178.25
905,2013-06-24,3178.2
906,2013-06-25,3178.22
907,2013-06-26,3178.21
908,2013-06-27,3178.12
909,2013-06-28,3178.05
910,2013-06-29,3177.95
911,2013-06-30,3177.87
912,2013-07-01,3177.77
913,2013-07-02,3177.66
914,2013-07-03,3177.54
915,2013-07-04,3177.43
916,2013-07-05,3177.33
917,2013-07-06,3177.22
918,2013-07-07,3177.11
919,2013-07-08,3177.0
920,2013-07-09,3176.88
921,2013-07-10,3176.77
922,2013-07-11,3176.65
923,2013-07-12,3176.53
924,2013-07-13,3176.41
925,2013-07-14,3176.3
926,2013-07-15,3176.18
927,2013-07-16,3176.05
928,2013-07-17,3175.93
929,2013-07-18,3175.83
930,2013-07-19,3175.71
931,2013-07-20,3175.6
932,2013-07-21,3175.48
933,2013-07-22,3175.37
934,2013-07-23,3175.25
935,2013-07-24,3175.13
936,2013-07-25,3175.02
937,2013-07-26,3174.89
938,2013-07-27,3174.77
939,2013-07-28,3174.65
940,2013-07-29,3174.54
941,2013-07-30,3174.42
942,2013-07-31,3174.32
943,2013-08-01,3174.21
944,2013-08-02,3174.1
945,2013-08-03,3173.99
946,2013-08-04,3173.88
947,2013-08-05,3173.77
948,2013-08-06,3173.66
949,2013-08-07,3173.55
950,2013-08-08,3173.44
951,2013-08-09,3173.33
952,2013-08-10,3173.29
953,2013-08-11,3173.17
954,2013-08-12,3173.06
955,2013-08-13,3172.94
956,2013-08-14,3172.83
957,2013-08-15,3172.73
958,2013-08-16,3172.64
959,2013-08-17,3172.52
960,2013-08-18,3172.41
961,2013-08-19,3172.3
962,2013-08-20,3172.19
963,2013-08-21,3172.06
964,2013-08-22,3171.98
965,2013-08-23,3171.88
966,2013-08-24,3171.77
967,2013-08-25,3171.68
968,2013-08-26,3171.57
969,2013-08-27,3171.46
970,2013-08-28,3171.37
971,2013-08-29,3171.29
972,2013-08-30,3171.21
973,2013-08-31,3171.11
974,2013-09-01,3171.0
975,2013-09-02,3170.9
976,2013-09-03,3170.8
977,2013-09-04,3170.69
978,2013-09-05,3170.6
979,2013-09-06,3170.63
980,2013-09-07,3170.52
981,2013-09-08,3170.42
982,2013-09-09,3170.32
983,2013-09-10,3170.15
984,2013-09-11,3170.11
985,2013-09-12,3170.01
986,2013-09-13,3169.91
987,2013-09-14,3169.84
988,2013-09-15,3169.73
