,datetime,BOUNDARY_RESERVOIR_AT_FOREBAY_NR_METALINE_FALLS.tsv
580,2014-08-04,1803.6
581,2014-08-05,1801.2
582,2014-08-06,1800.1
583,2014-08-07,1799.1
584,2014-08-08,1796.9
585,2014-08-09,1800.2
586,2014-08-10,1802.9
587,2014-08-11,1801.6
588,2014-08-12,1795.0
589,2014-08-13,1794.5
590,2014-08-14,1791.2
591,2014-08-15,1792.1
592,2014-08-16,1792.8
593,2014-08-17,1794.6
594,2014-08-18,1789.7
595,2014-08-19,1783.5
596,2014-08-20,1783.5
597,2014-08-21,1786.9
598,2014-08-22,1790.4
599,2014-08-23,1793.9
600,2014-08-24,1789.2
601,2014-08-25,1788.8
602,2014-08-26,1788.1
603,2014-08-27,1785.5
604,2014-08-28,1782.2
605,2014-08-29,1781.9
606,2014-08-30,1777.5666666666668
607,2014-08-31,1782.3333333333333
608,2014-09-01,1784.7
609,2014-09-02,1775.5
610,2014-09-03,1780.9
611,2014-09-04,1786.5
612,2014-09-05,1788.8
613,2014-09-06,1783.1
614,2014-09-07,1775.0
615,2014-09-08,1768.4
616,2014-09-09,1777.8
617,2014-09-10,1787.8
618,2014-09-11,1791.8
619,2014-09-12,1783.7
620,2014-09-13,1776.2
621,2014-09-14,1772.3
622,2014-09-15,1770.6
623,2014-09-16,1765.3
624,2014-09-17,1762.4
625,2014-09-18,1762.2
626,2014-09-19,1777.3
627,2014-09-20,1785.6
628,2014-09-21,1781.6
629,2014-09-22,1777.6
630,2014-09-23,1777.5
631,2014-09-24,1776.3
632,2014-09-25,1779.3
633,2014-09-26,1789.1
634,2014-09-27,1801.2
635,2014-09-28,1793.7
636,2014-09-29,1778.8
637,2014-09-30,1780.4333333333334
638,2014-10-01,1782.0666666666666
639,2014-10-02,1783.7
640,2014-10-03,1789.5
641,2014-10-04,1784.1
642,2014-10-05,1780.1
643,2014-10-06,1774.9
644,2014-10-07,1771.8
645,2014-10-08,1773.9
646,2014-10-09,1780.9
647,2014-10-10,1783.4
648,2014-10-11,1776.75
649,2014-10-12,1784.4
650,2014-10-13,1777.75
651,2014-10-14,1763.9
652,2014-10-15,1765.3
653,2014-10-16,1773.7
654,2014-10-17,1769.7
655,2014-10-18,1770.3
656,2014-10-19,1770.5
657,2014-10-20,1762.6
658,2014-10-21,1764.8
659,2014-10-22,1767.4
660,2014-10-23,1763.7
661,2014-10-24,1770.8
662,2014-10-25,1765.1
663,2014-10-26,1770.7
664,2014-10-27,1780.0
665,2014-10-28,1773.0
666,2014-10-29,1771.8
667,2014-10-30,1770.1
668,2014-10-31,1754.2
669,2014-11-01,1747.5
670,2014-11-02,1753.4
671,2014-11-03,1752.9
672,2014-11-04,1748.4
673,2014-11-05,1753.8
674,2014-11-06,1745.4
675,2014-11-07,1757.1
676,2014-11-08,1754.9
677,2014-11-09,1738.9
678,2014-11-10,1754.8
679,2014-11-11,1766.0
680,2014-11-12,1760.6
681,2014-11-13,1745.7
682,2014-11-14,1742.8
683,2014-11-15,1750.0
684,2014-11-16,1749.8
685,2014-11-17,1744.7
686,2014-11-18,1732.5
687,2014-11-19,1723.2
688,2014-11-20,1716.5
689,2014-11-21,1710.6
690,2014-11-22,1707.6
691,2014-11-23,1719.5
692,2014-11-24,1726.1
693,2014-11-25,1721.6
694,2014-11-26,1721.1
695,2014-11-27,1712.0
696,2014-11-28,1700.8
697,2014-11-29,1717.8
698,2014-11-30,1729.1
699,2014-12-01,1725.5
700,2014-12-02,1727.9
701,2014-12-03,1721.4
702,2014-12-04,1713.7
703,2014-12-05,1719.0
704,2014-12-06,1720.5
705,2014-12-07,1727.6
706,2014-12-08,1723.4
707,2014-12-09,1717.8
708,2014-12-10,1711.8
709,2014-12-11,1706.3
710,2014-12-12,1714.2
711,2014-12-13,1727.5
712,2014-12-14,1733.0
713,2014-12-15,1731.7
714,2014-12-16,1726.6
715,2014-12-17,1724.8
716,2014-12-18,1722.3
717,2014-12-19,1719.0
718,2014-12-20,1717.0
719,2014-12-21,1717.1
720,2014-12-22,1732.9
721,2014-12-23,1735.1
722,2014-12-24,1719.4
723,2014-12-25,1731.5
724,2014-12-26,1738.7
725,2014-12-27,1734.7
726,2014-12-28,1736.3
727,2014-12-29,1750.7
728,2014-12-30,1751.0
729,2014-12-31,1741.7
730,2015-01-01,1730.0
731,2015-01-02,1719.3
732,2015-01-03,1720.8
733,2015-01-04,1725.8
734,2015-01-05,1723.6
735,2015-01-06,1735.0
736,2015-01-07,1732.0
737,2015-01-08,1727.3
738,2015-01-09,1728.9
739,2015-01-10,1725.8
740,2015-01-11,1730.7
741,2015-01-12,1736.0
742,2015-01-13,1738.5
743,2015-01-14,1735.6
744,2015-01-15,1731.9
745,2015-01-16,1725.0
746,2015-01-17,1728.7
747,2015-01-18,1722.2
748,2015-01-19,1733.1
749,2015-01-20,1735.3
750,2015-01-21,1734.0
751,2015-01-22,1738.4
