,datetime,EL_CAPITAN_RES_NR_LAKESIDE_CA.tsv
687,2014-11-19,34960.0
688,2014-11-20,34940.0
689,2014-11-21,34960.0
690,2014-11-22,34960.0
691,2014-11-23,34950.0
692,2014-11-24,34940.0
693,2014-11-25,34930.0
694,2014-11-26,34920.0
695,2014-11-27,34910.0
696,2014-11-28,34890.0
697,2014-11-29,34880.0
698,2014-11-30,34880.0
699,2014-12-01,34890.0
700,2014-12-02,34920.0
701,2014-12-03,34940.0
702,2014-12-04,34960.0
703,2014-12-05,34960.0
704,2014-12-06,34960.0
705,2014-12-07,34960.0
706,2014-12-08,34950.0
707,2014-12-09,34940.0
708,2014-12-10,34940.0
709,2014-12-11,34940.0
710,2014-12-12,34990.0
711,2014-12-13,35000.0
712,2014-12-14,34990.0
713,2014-12-15,34980.0
714,2014-12-16,35000.0
715,2014-12-17,35050.0
716,2014-12-18,35050.0
717,2014-12-19,35040.0
718,2014-12-20,35040.0
719,2014-12-21,35040.0
720,2014-12-22,35040.0
721,2014-12-23,35040.0
722,2014-12-24,35030.0
723,2014-12-25,35030.0
724,2014-12-26,35000.0
725,2014-12-27,35010.0
726,2014-12-28,35000.0
727,2014-12-29,35000.0
728,2014-12-30,34990.0
729,2014-12-31,35010.0
730,2015-01-01,35010.0
731,2015-01-02,34990.0
732,2015-01-03,34990.0
733,2015-01-04,34990.0
734,2015-01-05,34980.0
735,2015-01-06,34980.0
736,2015-01-07,34970.0
737,2015-01-08,34970.0
738,2015-01-09,34970.0
739,2015-01-10,34960.0
740,2015-01-11,35060.0
741,2015-01-12,35080.0
742,2015-01-13,35080.0
743,2015-01-14,35080.0
744,2015-01-15,35080.0
745,2015-01-16,35070.0
746,2015-01-17,35070.0
747,2015-01-18,35060.0
748,2015-01-19,35060.0
749,2015-01-20,35070.0
750,2015-01-21,35070.0
751,2015-01-22,35050.0
752,2015-01-23,35050.0
753,2015-01-24,35020.0
754,2015-01-25,35020.0
755,2015-01-26,35050.0
756,2015-01-27,35040.0
757,2015-01-28,35050.0
758,2015-01-29,35050.0
759,2015-01-30,35040.0
760,2015-01-31,35050.0
761,2015-02-01,35050.0
762,2015-02-02,35020.0
763,2015-02-03,35020.0
764,2015-02-04,35020.0
765,2015-02-05,35020.0
766,2015-02-06,35010.0
767,2015-02-07,35010.0
768,2015-02-08,35010.0
769,2015-02-09,35020.0
770,2015-02-10,35000.0
771,2015-02-11,34990.0
772,2015-02-12,34990.0
773,2015-02-13,34990.0
774,2015-02-14,34980.0
775,2015-02-15,34970.0
776,2015-02-16,34960.0
777,2015-02-17,34960.0
778,2015-02-18,34960.0
779,2015-02-19,34960.0
780,2015-02-20,34960.0
781,2015-02-21,34960.0
782,2015-02-22,34960.0
783,2015-02-23,34990.0
784,2015-02-24,34990.0
785,2015-02-25,34990.0
786,2015-02-26,34980.0
787,2015-02-27,34970.0
788,2015-02-28,34980.0
789,2015-03-01,35050.0
790,2015-03-02,35090.0
791,2015-03-03,35090.0
792,2015-03-04,35080.0
793,2015-03-05,35060.0
794,2015-03-06,35070.0
795,2015-03-07,35060.0
796,2015-03-08,35060.0
797,2015-03-09,35050.0
798,2015-03-10,35050.0
799,2015-03-11,35050.0
800,2015-03-12,35050.0
801,2015-03-13,35030.0
802,2015-03-14,35030.0
803,2015-03-15,35030.0
804,2015-03-16,35020.0
805,2015-03-17,35010.0
806,2015-03-18,35000.0
807,2015-03-19,35000.0
808,2015-03-20,34990.0
809,2015-03-21,34990.0
810,2015-03-22,34970.0
811,2015-03-23,34970.0
812,2015-03-24,34960.0
813,2015-03-25,34960.0
814,2015-03-26,34950.0
815,2015-03-27,34950.0
816,2015-03-28,34940.0
817,2015-03-29,34920.0
818,2015-03-30,34910.0
819,2015-03-31,34900.0
820,2015-04-01,34900.0
821,2015-04-02,34890.0
822,2015-04-03,34880.0
823,2015-04-04,34860.0
824,2015-04-05,34850.0
825,2015-04-06,34840.0
826,2015-04-07,34830.0
827,2015-04-08,34830.0
828,2015-04-09,34810.0
829,2015-04-10,34800.0
830,2015-04-11,34790.0
831,2015-04-12,34780.0
832,2015-04-13,34770.0
833,2015-04-14,34770.0
834,2015-04-15,34750.0
