,datetime,GORGE_RESERVOIR_NEAR_NEWHALEM__WA.tsv
850,2015-05-01,871.6
851,2015-05-02,871.7
852,2015-05-03,872.77
853,2015-05-04,872.1
854,2015-05-05,872.16
855,2015-05-06,872.83
856,2015-05-07,870.19
857,2015-05-08,871.25
858,2015-05-09,871.56
859,2015-05-10,872.18
860,2015-05-11,870.98
861,2015-05-12,870.31
862,2015-05-13,870.66
863,2015-05-14,870.56
864,2015-05-15,871.13
865,2015-05-16,871.11
866,2015-05-17,872.53
867,2015-05-18,870.78
868,2015-05-19,872.22
869,2015-05-20,872.51
870,2015-05-21,872.68
871,2015-05-22,871.77
872,2015-05-23,872.18
873,2015-05-24,871.72
874,2015-05-25,871.68
875,2015-05-26,872.55
876,2015-05-27,871.96
877,2015-05-28,872.61
878,2015-05-29,872.63
879,2015-05-30,872.35
880,2015-05-31,872.39
881,2015-06-01,870.43
882,2015-06-02,871.97
883,2015-06-03,869.75
884,2015-06-04,870.93
885,2015-06-05,872.07
886,2015-06-06,873.22
887,2015-06-07,872.66
888,2015-06-08,872.1
889,2015-06-09,871.57
890,2015-06-10,872.34
891,2015-06-11,872.62
892,2015-06-12,871.15
893,2015-06-13,871.05
894,2015-06-14,871.95
895,2015-06-15,869.65
896,2015-06-16,871.61
897,2015-06-17,871.86
898,2015-06-18,870.97
899,2015-06-19,871.9
900,2015-06-20,871.84
901,2015-06-21,871.96
902,2015-06-22,871.97
903,2015-06-23,872.25
904,2015-06-24,871.88
905,2015-06-25,872.05
906,2015-06-26,872.87
907,2015-06-27,871.93
908,2015-06-28,871.8
909,2015-06-29,871.29
910,2015-06-30,871.04
911,2015-07-01,871.19
912,2015-07-02,870.13
913,2015-07-03,870.99
914,2015-07-04,870.87
915,2015-07-05,870.94
916,2015-07-06,871.43
917,2015-07-07,870.56
918,2015-07-08,871.93
919,2015-07-09,872.27
920,2015-07-10,871.54
921,2015-07-11,870.83
922,2015-07-12,870.93
923,2015-07-13,870.71
924,2015-07-14,872.45
925,2015-07-15,870.79
926,2015-07-16,871.62
927,2015-07-17,871.12
928,2015-07-18,871.06
929,2015-07-19,871.69
930,2015-07-20,870.16
931,2015-07-21,872.01
932,2015-07-22,870.92
933,2015-07-23,871.17
934,2015-07-24,872.88
935,2015-07-25,871.03
936,2015-07-26,870.07
937,2015-07-27,871.06
938,2015-07-28,871.28
939,2015-07-29,872.17
940,2015-07-30,872.24
941,2015-07-31,871.72
942,2015-08-01,871.55
943,2015-08-02,871.77
944,2015-08-03,872.81
945,2015-08-04,873.21
946,2015-08-05,873.69
947,2015-08-06,871.06
948,2015-08-07,872.16
949,2015-08-08,872.09
950,2015-08-09,871.66
951,2015-08-10,873.05
952,2015-08-11,871.97
953,2015-08-12,871.29
954,2015-08-13,872.03
955,2015-08-14,871.69
956,2015-08-15,870.95
957,2015-08-16,870.99
958,2015-08-17,871.1
959,2015-08-18,871.41
960,2015-08-19,869.93
961,2015-08-20,871.2
962,2015-08-21,871.08
963,2015-08-22,870.92
964,2015-08-23,870.98
965,2015-08-24,871.37
966,2015-08-25,872.07
967,2015-08-26,872.0
968,2015-08-27,871.91
