,datetime,COUGAR_LAKE_NEAR_RAINBOW__OR.tsv
478,2015-01-08,1540.96
479,2015-01-09,1539.31
480,2015-01-10,1537.5
481,2015-01-11,1535.52
482,2015-01-12,1533.5
483,2015-01-13,1532.42
484,2015-01-14,1531.81
485,2015-01-15,1531.79
486,2015-01-16,1532.31
487,2015-01-17,1534.59
488,2015-01-18,1540.06
489,2015-01-19,1543.1
490,2015-01-20,1544.6
491,2015-01-21,1546.03
492,2015-01-22,1547.34
493,2015-01-23,1547.51
494,2015-01-24,1546.96
495,2015-01-25,1546.2
496,2015-01-26,1545.25
497,2015-01-27,1544.18
498,2015-01-28,1542.99
499,2015-01-29,1541.68
500,2015-01-30,1540.26
501,2015-01-31,1539.6
502,2015-02-01,1539.66
503,2015-02-02,1540.59
504,2015-02-03,1542.1
505,2015-02-04,1542.82
506,2015-02-05,1542.88
507,2015-02-06,1543.35
508,2015-02-07,1545.02
509,2015-02-08,1545.1
510,2015-02-09,1544.94
511,2015-02-10,1544.56
512,2015-02-11,1544.01
513,2015-02-12,1543.92
514,2015-02-13,1543.97
515,2015-02-14,1544.09
516,2015-02-15,1544.08
517,2015-02-16,1544.12
518,2015-02-17,1544.62
519,2015-02-18,1545.34
520,2015-02-19,1546.08
521,2015-02-20,1546.88
522,2015-02-21,1547.61
523,2015-02-22,1548.13
524,2015-02-23,1548.62
525,2015-02-24,1549.06
526,2015-02-25,1549.46
527,2015-02-26,1549.88
528,2015-02-27,1550.61
529,2015-02-28,1551.14
530,2015-03-01,1551.52
531,2015-03-02,1551.84
532,2015-03-03,1552.14
533,2015-03-04,1552.39
534,2015-03-05,1552.59
535,2015-03-06,1552.77
536,2015-03-07,1552.92
537,2015-03-08,1553.04
538,2015-03-09,1553.15
539,2015-03-10,1553.24
540,2015-03-11,1553.44
541,2015-03-12,1553.66
542,2015-03-13,1553.79
543,2015-03-14,1554.05
544,2015-03-15,1554.86
545,2015-03-16,1555.68
546,2015-03-17,1556.27
547,2015-03-18,1556.77
548,2015-03-19,1557.19
549,2015-03-20,1557.55
550,2015-03-21,1557.99
551,2015-03-22,1558.53
552,2015-03-23,1559.36
553,2015-03-24,1560.67
554,2015-03-25,1562.08
555,2015-03-26,1563.35
556,2015-03-27,1564.43
557,2015-03-28,1565.7
558,2015-03-29,1566.7
559,2015-03-30,1567.55
560,2015-03-31,1568.66
561,2015-04-01,1569.86
562,2015-04-02,1571.02
563,2015-04-03,1572.13
564,2015-04-04,1573.16
565,2015-04-05,1574.12
566,2015-04-06,1575.01
567,2015-04-07,1575.95
568,2015-04-08,1576.97
569,2015-04-09,1577.94
570,2015-04-10,1578.82
571,2015-04-11,1579.87
572,2015-04-12,1580.89
573,2015-04-13,1581.92
574,2015-04-14,1582.98
575,2015-04-15,1583.99
576,2015-04-16,1585.0
577,2015-04-17,1586.03
578,2015-04-18,1587.01
579,2015-04-19,1587.88
580,2015-04-20,1588.68
581,2015-04-21,1589.38
582,2015-04-22,1589.97
583,2015-04-23,1590.59
584,2015-04-24,1591.27
585,2015-04-25,1592.03
586,2015-04-26,1592.75
587,2015-04-27,1593.34
588,2015-04-28,1593.89
589,2015-04-29,1594.39
590,2015-04-30,1594.82
591,2015-05-01,1595.25
592,2015-05-02,1595.64
593,2015-05-03,1595.98
594,2015-05-04,1596.28
595,2015-05-05,1596.54
596,2015-05-06,1596.79
597,2015-05-07,1597.01
598,2015-05-08,1597.2
599,2015-05-09,1597.37
600,2015-05-10,1597.51
601,2015-05-11,1597.7
