,datetime,LAKE_HAVASU_NEAR_PARKER_DAM__AZ-CA.tsv
418,2014-02-23,556247.28
419,2014-02-24,560247.49
420,2014-02-25,564347.71
421,2014-02-26,571848.11
422,2014-02-27,580848.58
423,2014-02-28,584848.79
424,2014-03-01,588648.99
425,2014-03-02,591549.14
426,2014-03-03,592149.17
427,2014-03-04,589949.06
428,2014-03-05,588949.01
429,2014-03-06,590149.07
430,2014-03-07,588448.98
431,2014-03-08,585548.83
432,2014-03-09,581148.6
433,2014-03-10,577548.41
434,2014-03-11,577748.42
435,2014-03-12,575448.3
436,2014-03-13,575848.32
437,2014-03-14,578548.46
438,2014-03-15,581048.59
439,2014-03-16,578348.45
440,2014-03-17,578748.47
441,2014-03-18,579048.49
442,2014-03-19,582348.66
443,2014-03-20,588248.97
444,2014-03-21,589749.05
445,2014-03-22,590349.08
446,2014-03-23,589549.04
447,2014-03-24,582148.65
448,2014-03-25,571648.1
449,2014-03-26,563547.67
450,2014-03-27,560247.49
451,2014-03-28,558847.42
452,2014-03-29,559047.43
453,2014-03-30,564347.71
454,2014-03-31,564547.72
455,2014-04-01,566647.83
456,2014-04-02,570748.05
457,2014-04-03,578948.48
458,2014-04-04,581748.63
459,2014-04-05,583248.71
460,2014-04-06,582348.66
461,2014-04-07,578548.46
462,2014-04-08,576648.36
463,2014-04-09,571648.1
464,2014-04-10,574748.26
465,2014-04-11,575648.31
466,2014-04-12,577548.41
467,2014-04-13,576648.36
468,2014-04-14,573348.19
469,2014-04-15,572048.12
470,2014-04-16,573048.17
471,2014-04-17,578948.48
472,2014-04-18,584248.76
473,2014-04-19,586548.88
474,2014-04-20,587848.95
475,2014-04-21,589149.02
476,2014-04-22,589549.04
477,2014-04-23,589949.06
478,2014-04-24,592949.21
479,2014-04-25,591949.16
480,2014-04-26,592149.17
481,2014-04-27,588749.0
482,2014-04-28,589749.05
483,2014-04-29,588048.96
484,2014-04-30,583048.7
485,2014-05-01,584848.79
486,2014-05-02,585948.85
487,2014-05-03,583048.7
488,2014-05-04,578948.48
489,2014-05-05,578548.46
490,2014-05-06,581048.59
491,2014-05-07,578548.46
492,2014-05-08,588749.0
493,2014-05-09,586148.86
494,2014-05-10,587648.94
495,2014-05-11,580448.56
496,2014-05-12,576648.36
497,2014-05-13,574348.24
498,2014-05-14,570548.04
499,2014-05-15,576848.37
500,2014-05-16,574748.26
501,2014-05-17,575648.31
502,2014-05-18,574348.24
503,2014-05-19,576248.34
504,2014-05-20,577748.42
505,2014-05-21,580048.54
506,2014-05-22,588048.96
507,2014-05-23,592549.19
508,2014-05-24,595849.36
509,2014-05-25,595649.35
510,2014-05-26,593949.26
511,2014-05-27,591749.15
512,2014-05-28,590149.07
513,2014-05-29,593549.24
514,2014-05-30,593949.26
515,2014-05-31,591549.14
