,datetime,LAKE_H_G_WEST_FOREBAY_AT_LOWER_MONUMENTAL_DAM__WA.tsv
497,2014-07-22,386.4
498,2014-07-23,385.8
499,2014-07-24,382.2
500,2014-07-25,382.4
501,2014-07-26,383.4
502,2014-07-27,383.1
503,2014-07-28,385.2
504,2014-07-29,389.3
505,2014-07-30,391.1
506,2014-07-31,394.2
507,2014-08-01,394.2
508,2014-08-02,397.4
509,2014-08-03,399.0
510,2014-08-04,399.9
511,2014-08-05,397.7
512,2014-08-06,396.6
513,2014-08-07,397.4
514,2014-08-08,393.1
515,2014-08-09,387.9
516,2014-08-10,387.8
517,2014-08-11,388.4
518,2014-08-12,390.1
519,2014-08-13,390.8
520,2014-08-14,390.9
521,2014-08-15,389.8
522,2014-08-16,389.5
523,2014-08-17,391.4
524,2014-08-18,392.4
525,2014-08-19,394.0
526,2014-08-20,390.4
527,2014-08-21,387.4
528,2014-08-22,386.2
529,2014-08-23,382.7
530,2014-08-24,379.8
531,2014-08-25,379.7
532,2014-08-26,382.2
533,2014-08-27,382.8
534,2014-08-28,382.1
535,2014-08-29,383.2
536,2014-08-30,383.6
537,2014-08-31,381.0
538,2014-09-01,380.5
539,2014-09-02,378.9
540,2014-09-03,374.2
541,2014-09-04,371.2
542,2014-09-05,371.3
543,2014-09-06,371.3
544,2014-09-07,371.1
545,2014-09-08,366.4
546,2014-09-09,363.1
547,2014-09-10,363.0
548,2014-09-11,362.5
549,2014-09-12,361.6
550,2014-09-13,359.5
551,2014-09-14,355.6
552,2014-09-15,356.4
553,2014-09-16,356.2913705583756
554,2014-09-17,356.1827411167513
555,2014-09-18,356.07411167512686
556,2014-09-19,355.9654822335025
557,2014-09-20,355.85685279187817
558,2014-09-21,355.7482233502538
559,2014-09-22,355.6395939086294
560,2014-09-23,355.5309644670051
561,2014-09-24,355.4223350253807
562,2014-09-25,355.31370558375636
563,2014-09-26,355.20507614213193
564,2014-09-27,355.0964467005076
565,2014-09-28,354.98781725888324
566,2014-09-29,354.87918781725887
567,2014-09-30,354.7705583756345
568,2014-10-01,354.6619289340102
569,2014-10-02,354.5532994923858
570,2014-10-03,354.44467005076143
571,2014-10-04,354.33604060913706
572,2014-10-05,354.22741116751274
573,2014-10-06,354.1187817258883
574,2014-10-07,354.01015228426394
575,2014-10-08,353.9015228426396
576,2014-10-09,353.79289340101525
577,2014-10-10,353.6842639593908
578,2014-10-11,353.5756345177665
579,2014-10-12,353.46700507614213
580,2014-10-13,353.35837563451776
581,2014-10-14,353.24974619289344
582,2014-10-15,353.141116751269
583,2014-10-16,353.0324873096447
584,2014-10-17,352.9238578680203
585,2014-10-18,352.81522842639595
586,2014-10-19,352.7065989847716
587,2014-10-20,352.5979695431472
588,2014-10-21,352.4893401015228
589,2014-10-22,352.38071065989845
590,2014-10-23,352.2720812182741
591,2014-10-24,352.16345177664977
592,2014-10-25,352.05482233502534
593,2014-10-26,351.946192893401
594,2014-10-27,351.83756345177665
595,2014-10-28,351.72893401015233
596,2014-10-29,351.6203045685279
597,2014-10-30,351.5116751269036
598,2014-10-31,351.40304568527915
599,2014-11-01,351.29441624365484
600,2014-11-02,351.18578680203046
601,2014-11-03,351.0771573604061
602,2014-11-04,350.9685279187817
603,2014-11-05,350.8598984771574
604,2014-11-06,350.75126903553297
605,2014-11-07,350.64263959390865
606,2014-11-08,350.5340101522843
607,2014-11-09,350.4253807106599
608,2014-11-10,350.31675126903554
609,2014-11-11,350.20812182741116
610,2014-11-12,350.0994923857868
611,2014-11-13,349.9908629441624
612,2014-11-14,349.88223350253804
613,2014-11-15,349.7736040609137
614,2014-11-16,349.6649746192893
615,2014-11-17,349.556345177665
616,2014-11-18,349.44771573604066
617,2014-11-19,349.33908629441623
618,2014-11-20,349.23045685279186
619,2014-11-21,349.12182741116754
620,2014-11-22,349.01319796954317
621,2014-11-23,348.90456852791874
622,2014-11-24,348.7959390862944
623,2014-11-25,348.68730964467005
624,2014-11-26,348.5786802030457
625,2014-11-27,348.4700507614213
626,2014-11-28,348.361421319797
627,2014-11-29,348.25279187817256
628,2014-11-30,348.1441624365482
629,2014-12-01,348.03553299492387
630,2014-12-02,347.9269035532995
631,2014-12-03,347.8182741116751
632,2014-12-04,347.7096446700508
633,2014-12-05,347.6010152284264
634,2014-12-06,347.49238578680206
635,2014-12-07,347.3837563451777
636,2014-12-08,347.2751269035533
637,2014-12-09,347.16649746192894
638,2014-12-10,347.05786802030457
639,2014-12-11,346.9492385786802
640,2014-12-12,346.8406091370558
641,2014-12-13,346.7319796954315
642,2014-12-14,346.6233502538071
643,2014-12-15,346.51472081218276
644,2014-12-16,346.4060913705584
645,2014-12-17,346.297461928934
646,2014-12-18,346.18883248730964
647,2014-12-19,346.08020304568527
648,2014-12-20,345.9715736040609
649,2014-12-21,345.8629441624365
650,2014-12-22,345.7543147208122
651,2014-12-23,345.6456852791878
652,2014-12-24,345.53705583756346
653,2014-12-25,345.4284263959391
654,2014-12-26,345.3197969543147
655,2014-12-27,345.2111675126904
656,2014-12-28,345.10253807106596
657,2014-12-29,344.99390862944165
658,2014-12-30,344.8852791878173
659,2014-12-31,344.7766497461929
660,2015-01-01,344.66802030456853
661,2015-01-02,344.55939086294416
662,2015-01-03,344.4507614213198
663,2015-01-04,344.3421319796954
664,2015-01-05,344.2335025380711
665,2015-01-06,344.12487309644666
666,2015-01-07,344.0162436548223
667,2015-01-08,343.907614213198
668,2015-01-09,343.7989847715736
669,2015-01-10,343.69035532994917
670,2015-01-11,343.58172588832485
671,2015-01-12,343.4730964467005
672,2015-01-13,343.36446700507616
673,2015-01-14,343.2558375634518
674,2015-01-15,343.1472081218274
675,2015-01-16,343.03857868020305
676,2015-01-17,342.9299492385787
677,2015-01-18,342.8213197969543
678,2015-01-19,342.71269035533
679,2015-01-20,342.60406091370555
680,2015-01-21,342.49543147208124
