,datetime,MOSES_LAKE_AT_MOSES_LAKE__WA.
1723,2015-09-20,1046.8
1724,2015-09-21,1046.78
1725,2015-09-22,1046.74
1726,2015-09-23,1046.73
1727,2015-09-24,1046.73
1728,2015-09-25,1046.74
1729,2015-09-26,1046.74
1730,2015-09-27,1046.73
1731,2015-09-28,1046.72
1732,2015-09-29,1046.71
1733,2015-09-30,1046.7
1734,2015-10-01,1046.72
1735,2015-10-02,1046.76
1736,2015-10-03,1046.8
1737,2015-10-04,1046.8
1738,2015-10-05,1046.8
1739,2015-10-06,1046.79
1740,2015-10-07,1046.76
1741,2015-10-08,1046.73
1742,2015-10-09,1046.75
1743,2015-10-10,1046.78
1744,2015-10-11,1046.76
1745,2015-10-12,1046.75
1746,2015-10-13,1046.75
1747,2015-10-14,1046.74
1748,2015-10-15,1046.73
1749,2015-10-16,1046.74
1750,2015-10-17,1046.75
1751,2015-10-18,1046.77
1752,2015-10-19,1046.78
1753,2015-10-20,1046.78
1754,2015-10-21,1046.79
1755,2015-10-22,1046.76
1756,2015-10-23,1046.72
1757,2015-10-24,1046.7
1758,2015-10-25,1046.71
1759,2015-10-26,1046.72
1760,2015-10-27,1046.74
1761,2015-10-28,1046.74
1762,2015-10-29,1046.74
1763,2015-10-30,1046.73
1764,2015-10-31,1046.73
1765,2015-11-01,1046.72
1766,2015-11-02,1046.54
1767,2015-11-03,1045.77
1768,2015-11-04,1045.09
1769,2015-11-05,1044.56
1770,2015-11-06,1044.12
1771,2015-11-07,1043.76
1772,2015-11-08,1043.47
1773,2015-11-09,1043.23
1774,2015-11-10,1043.0
1775,2015-11-11,1042.82
1776,2015-11-12,1042.66
1777,2015-11-13,1042.53
1778,2015-11-14,1042.6
1779,2015-11-15,1042.67
1780,2015-11-16,1042.7
1781,2015-11-17,1042.73
1782,2015-11-18,1042.78
1783,2015-11-19,1042.75
1784,2015-11-20,1042.72
1785,2015-11-21,1042.68
1786,2015-11-22,1042.66
1787,2015-11-23,1042.63
1788,2015-11-24,1042.64
1789,2015-11-25,1042.6
1790,2015-11-26,1042.55
1791,2015-11-27,1042.53
1792,2015-11-28,1042.51
1793,2015-11-29,1042.5
1794,2015-11-30,1042.45
1795,2015-12-01,1042.33
1796,2015-12-02,1042.23
1797,2015-12-03,1042.15
1798,2015-12-04,1042.08
1799,2015-12-05,1042.0
1800,2015-12-06,1041.96
1801,2015-12-07,1041.95
1802,2015-12-08,1041.93
1803,2015-12-09,1041.89
1804,2015-12-10,1041.86
1805,2015-12-11,1041.83
1806,2015-12-12,1041.79
1807,2015-12-13,1041.77
1808,2015-12-14,1041.74
1809,2015-12-15,1041.69
1810,2015-12-16,1041.67
1811,2015-12-17,1041.64
1812,2015-12-18,1041.63
1813,2015-12-19,1041.6
1814,2015-12-20,1041.58
1815,2015-12-21,1041.58
1816,2015-12-22,1041.56
1817,2015-12-23,1041.54
1818,2015-12-24,1041.51
1819,2015-12-25,1041.48
1820,2015-12-26,1041.46
1821,2015-12-27,1041.44
1822,2015-12-28,1041.43
1823,2015-12-29,1041.41
1824,2015-12-30,1041.39
1825,2015-12-31,1041.36
1826,2016-01-01,1041.35
1827,2016-01-02,1041.33
1828,2016-01-03,1041.32
1829,2016-01-04,1041.32
1830,2016-01-05,1041.32
1831,2016-01-06,1041.32
1832,2016-01-07,1041.31
1833,2016-01-08,1041.31
1834,2016-01-09,1041.31
1835,2016-01-10,1041.31
1836,2016-01-11,1041.31
1837,2016-01-12,1041.33
1838,2016-01-13,1041.36
1839,2016-01-14,1041.38
1840,2016-01-15,1041.39
1841,2016-01-16,1041.42
1842,2016-01-17,1041.46
1843,2016-01-18,1041.49
1844,2016-01-19,1041.53
