,datetime,BEARDSLEY_LAKE_NEAR_STRAWBERRY_CA.tsv
503,2014-05-19,29430
504,2014-05-20,30280
505,2014-05-21,30920
506,2014-05-22,31550
507,2014-05-23,31980
508,2014-05-24,32380
509,2014-05-25,32840
510,2014-05-26,33320
511,2014-05-27,34510
512,2014-05-28,36300
513,2014-05-29,37950
514,2014-05-30,39120
515,2014-05-31,39810
516,2014-06-01,40380
517,2014-06-02,40710
518,2014-06-03,41380
519,2014-06-04,42040
520,2014-06-05,42710
521,2014-06-06,43140
522,2014-06-07,43570
523,2014-06-08,44180
524,2014-06-09,44530
525,2014-06-10,45340
526,2014-06-11,45960
527,2014-06-12,46570
528,2014-06-13,46810
529,2014-06-14,47120
530,2014-06-15,46970
531,2014-06-16,47090
532,2014-06-17,46970
533,2014-06-18,47040
534,2014-06-19,46860
535,2014-06-20,46810
536,2014-06-21,46680
537,2014-06-22,46490
538,2014-06-23,46430
539,2014-06-24,46560
540,2014-06-25,46690
541,2014-06-26,46810
542,2014-06-27,46780
543,2014-06-28,46660
544,2014-06-29,46530
545,2014-06-30,46460
546,2014-07-01,46310
547,2014-07-02,46220
548,2014-07-03,46120
549,2014-07-04,45980
550,2014-07-05,45870
551,2014-07-06,45810
552,2014-07-07,45640
553,2014-07-08,45430
554,2014-07-09,45260
555,2014-07-10,45000
556,2014-07-11,44750
557,2014-07-12,44570
558,2014-07-13,44450
559,2014-07-14,44360
560,2014-07-15,44230
561,2014-07-16,44090
562,2014-07-17,43840
563,2014-07-18,43730
564,2014-07-19,43660
565,2014-07-20,43520
566,2014-07-21,43410
567,2014-07-22,43320
568,2014-07-23,43210
569,2014-07-24,43370
570,2014-07-25,43580
571,2014-07-26,43730
572,2014-07-27,43870
573,2014-07-28,44100
574,2014-07-29,44250
575,2014-07-30,44470
576,2014-07-31,44580
577,2014-08-01,44650
578,2014-08-02,44640
579,2014-08-03,44660
580,2014-08-04,44570
581,2014-08-05,44550
582,2014-08-06,44480
583,2014-08-07,44410
584,2014-08-08,44390
585,2014-08-09,44310
586,2014-08-10,44300
587,2014-08-11,44360
588,2014-08-12,44330
589,2014-08-13,44320
590,2014-08-14,44240
591,2014-08-15,44200
592,2014-08-16,44060
593,2014-08-17,44030
594,2014-08-18,44050
595,2014-08-19,44000
596,2014-08-20,43960
597,2014-08-21,43880
598,2014-08-22,43820
599,2014-08-23,43700
600,2014-08-24,43610
601,2014-08-25,43600
602,2014-08-26,43520
603,2014-08-27,43470
604,2014-08-28,43320
605,2014-08-29,43320
606,2014-08-30,43250
607,2014-08-31,43150
608,2014-09-01,43190
609,2014-09-02,43390
610,2014-09-03,43330
611,2014-09-04,43230
612,2014-09-05,43170
613,2014-09-06,43100
614,2014-09-07,43020
615,2014-09-08,42980
616,2014-09-09,42930
617,2014-09-10,42990
618,2014-09-11,42970
619,2014-09-12,42970
620,2014-09-13,42860
621,2014-09-14,42760
622,2014-09-15,42660
623,2014-09-16,42540
624,2014-09-17,42330
625,2014-09-18,42240
626,2014-09-19,42220
627,2014-09-20,42170
628,2014-09-21,42080
629,2014-09-22,42000
630,2014-09-23,42070
631,2014-09-24,42170
632,2014-09-25,42190
633,2014-09-26,42250
634,2014-09-27,42360
635,2014-09-28,42440
636,2014-09-29,42330
637,2014-09-30,42320
638,2014-10-01,42290
639,2014-10-02,42370
640,2014-10-03,42440
641,2014-10-04,42370
642,2014-10-05,42210
643,2014-10-06,42210
644,2014-10-07,41910
645,2014-10-08,41910
646,2014-10-09,41680
647,2014-10-10,41410
648,2014-10-11,41010
649,2014-10-12,40600
650,2014-10-13,40440
651,2014-10-14,40180
652,2014-10-15,39920
653,2014-10-16,39720
654,2014-10-17,39070
655,2014-10-18,38700
656,2014-10-19,38380
657,2014-10-20,38190
658,2014-10-21,38120
659,2014-10-22,38050
660,2014-10-23,37980
661,2014-10-24,37900
662,2014-10-25,37820
663,2014-10-26,37750
664,2014-10-27,37670
665,2014-10-28,37600
666,2014-10-29,37530
667,2014-10-30,37460
668,2014-10-31,37810
669,2014-11-01,38270
670,2014-11-02,38660
671,2014-11-03,39260
672,2014-11-04,39750
673,2014-11-05,40120
674,2014-11-06,40700
675,2014-11-07,41160
676,2014-11-08,41710
677,2014-11-09,42190
678,2014-11-10,42630
679,2014-11-11,43090
680,2014-11-12,43760
681,2014-11-13,44490
682,2014-11-14,44440
683,2014-11-15,44280
684,2014-11-16,44140
685,2014-11-17,44170
686,2014-11-18,44090
687,2014-11-19,44080
688,2014-11-20,44020
689,2014-11-21,43750
690,2014-11-22,43220
691,2014-11-23,42730
692,2014-11-24,42160
693,2014-11-25,41740
694,2014-11-26,41250
695,2014-11-27,40640
696,2014-11-28,40150
697,2014-11-29,39620
698,2014-11-30,39100
699,2014-12-01,38810
700,2014-12-02,38650
701,2014-12-03,38390
702,2014-12-04,37970
703,2014-12-05,37450
704,2014-12-06,37010
705,2014-12-07,36950
706,2014-12-08,36830
707,2014-12-09,36740
708,2014-12-10,36640
709,2014-12-11,36540
710,2014-12-12,36490
711,2014-12-13,36280
712,2014-12-14,36190
713,2014-12-15,36170
714,2014-12-16,36160
715,2014-12-17,36050
716,2014-12-18,35990
717,2014-12-19,35960
718,2014-12-20,35560
719,2014-12-21,35120
720,2014-12-22,35030
721,2014-12-23,34680
722,2014-12-24,34340
723,2014-12-25,33890
724,2014-12-26,33380
725,2014-12-27,32830
726,2014-12-28,32290
727,2014-12-29,32080
728,2014-12-30,31890
729,2014-12-31,31690
730,2015-01-01,31370
731,2015-01-02,30990
732,2015-01-03,30530
733,2015-01-04,30060
734,2015-01-05,29710
735,2015-01-06,29450
736,2015-01-07,29060
737,2015-01-08,28870
738,2015-01-09,28740
739,2015-01-10,28540
740,2015-01-11,28360
741,2015-01-12,27970
742,2015-01-13,27750
743,2015-01-14,27510
744,2015-01-15,27400
745,2015-01-16,27290
746,2015-01-17,26980
747,2015-01-18,26750
748,2015-01-19,26530
749,2015-01-20,26340
750,2015-01-21,26110
751,2015-01-22,25940
752,2015-01-23,25720
753,2015-01-24,25400
754,2015-01-25,25010
755,2015-01-26,24910
756,2015-01-27,24770
757,2015-01-28,24580
758,2015-01-29,24450
759,2015-01-30,24400
760,2015-01-31,24110
761,2015-02-01,23790
762,2015-02-02,23610
763,2015-02-03,23530
764,2015-02-04,23410
765,2015-02-05,23300
766,2015-02-06,23310
767,2015-02-07,23520
768,2015-02-08,23950
769,2015-02-09,24800
770,2015-02-10,25070
771,2015-02-11,25190
772,2015-02-12,25330
773,2015-02-13,25520
774,2015-02-14,25670
775,2015-02-15,25700
776,2015-02-16,25890
777,2015-02-17,25990
778,2015-02-18,26380
779,2015-02-19,26610
780,2015-02-20,26710
781,2015-02-21,27170
782,2015-02-22,27670
783,2015-02-23,28210
784,2015-02-24,28740
785,2015-02-25,28600
786,2015-02-26,28410
787,2015-02-27,28300
788,2015-02-28,28260
789,2015-03-01,28460
790,2015-03-02,28560
791,2015-03-03,28670
792,2015-03-04,28770
793,2015-03-05,28880
794,2015-03-06,29000
795,2015-03-07,29090
796,2015-03-08,29200
797,2015-03-09,29320
798,2015-03-10,29410
799,2015-03-11,29540
800,2015-03-12,29640
801,2015-03-13,29720
802,2015-03-14,29870
803,2015-03-15,29990
804,2015-03-16,30110
805,2015-03-17,30210
806,2015-03-18,30290
807,2015-03-19,30370
808,2015-03-20,30440
809,2015-03-21,30530
810,2015-03-22,30630
811,2015-03-23,30720
812,2015-03-24,30820
813,2015-03-25,30910
814,2015-03-26,30980
815,2015-03-27,31080
816,2015-03-28,31120
817,2015-03-29,31170
818,2015-03-30,31240
819,2015-03-31,31330
820,2015-04-01,31390
821,2015-04-02,31460
822,2015-04-03,31520
823,2015-04-04,31560
824,2015-04-05,31640
825,2015-04-06,31740
826,2015-04-07,31850
827,2015-04-08,32010
828,2015-04-09,32070
829,2015-04-10,32180
830,2015-04-11,32260
831,2015-04-12,32410
832,2015-04-13,32530
833,2015-04-14,32660
834,2015-04-15,32720
835,2015-04-16,32780
836,2015-04-17,32850
837,2015-04-18,32960
838,2015-04-19,33060
839,2015-04-20,33160
840,2015-04-21,33240
841,2015-04-22,33350
842,2015-04-23,33430
843,2015-04-24,33500
844,2015-04-25,33690
845,2015-04-26,33790
846,2015-04-27,33890
847,2015-04-28,34040
848,2015-04-29,34180
849,2015-04-30,34320
850,2015-05-01,34430
851,2015-05-02,34520
852,2015-05-03,34590
853,2015-05-04,34650
854,2015-05-05,34730
855,2015-05-06,34810
856,2015-05-07,34980
857,2015-05-08,35080
858,2015-05-09,35200
859,2015-05-10,35350
860,2015-05-11,35470
861,2015-05-12,35600
862,2015-05-13,35720
863,2015-05-14,35800
864,2015-05-15,36000
865,2015-05-16,36250
866,2015-05-17,36540
867,2015-05-18,36860
868,2015-05-19,37160
869,2015-05-20,37410
870,2015-05-21,37710
871,2015-05-22,37990
872,2015-05-23,39370
873,2015-05-24,40780
874,2015-05-25,42170
875,2015-05-26,43570
876,2015-05-27,44940
877,2015-05-28,46310
878,2015-05-29,47680
879,2015-05-30,49050
880,2015-05-31,50410
881,2015-06-01,51780
882,2015-06-02,53130
883,2015-06-03,54440
884,2015-06-04,55720
885,2015-06-05,56940
886,2015-06-06,57630
887,2015-06-07,58350
888,2015-06-08,58860
889,2015-06-09,59290
890,2015-06-10,59650
891,2015-06-11,59950
892,2015-06-12,60300
893,2015-06-13,60610
894,2015-06-14,60940
895,2015-06-15,61300
896,2015-06-16,61620
897,2015-06-17,61870
898,2015-06-18,61860
899,2015-06-19,62000
900,2015-06-20,62080
901,2015-06-21,62170
902,2015-06-22,62280
903,2015-06-23,62220
904,2015-06-24,62180
905,2015-06-25,62280
906,2015-06-26,62360
907,2015-06-27,62270
908,2015-06-28,62190
909,2015-06-29,62110
910,2015-06-30,62020
911,2015-07-01,61770
912,2015-07-02,61440
913,2015-07-03,61090
914,2015-07-04,61000
915,2015-07-05,60910
916,2015-07-06,60790
917,2015-07-07,60700
918,2015-07-08,60630
919,2015-07-09,60530
920,2015-07-10,60440
921,2015-07-11,60320
922,2015-07-12,60280
923,2015-07-13,60170
924,2015-07-14,60040
925,2015-07-15,59950
926,2015-07-16,59850
927,2015-07-17,59750
928,2015-07-18,59800
929,2015-07-19,59860
930,2015-07-20,59850
931,2015-07-21,59770
932,2015-07-22,59680
933,2015-07-23,59690
934,2015-07-24,60090
935,2015-07-25,60390
936,2015-07-26,60640
937,2015-07-27,60920
938,2015-07-28,61350
939,2015-07-29,61700
940,2015-07-30,62240
941,2015-07-31,62700
942,2015-08-01,63060
943,2015-08-02,63410
944,2015-08-03,63820
945,2015-08-04,63920
946,2015-08-05,64050
947,2015-08-06,64100
948,2015-08-07,64150
949,2015-08-08,64170
950,2015-08-09,64170
951,2015-08-10,64210
952,2015-08-11,64160
953,2015-08-12,64110
954,2015-08-13,64030
955,2015-08-14,64070
956,2015-08-15,64110
957,2015-08-16,64160
958,2015-08-17,64190
959,2015-08-18,64230
960,2015-08-19,64110
961,2015-08-20,63980
962,2015-08-21,63850
963,2015-08-22,63740
964,2015-08-23,63630
965,2015-08-24,63470
966,2015-08-25,63300
967,2015-08-26,63140
968,2015-08-27,63080
969,2015-08-28,62950
970,2015-08-29,62770
971,2015-08-30,62640
972,2015-08-31,62500
973,2015-09-01,62250
974,2015-09-02,62030
975,2015-09-03,61770
976,2015-09-04,61480
977,2015-09-05,61240
978,2015-09-06,61020
979,2015-09-07,60790
980,2015-09-08,60660
981,2015-09-09,60560
982,2015-09-10,60410
983,2015-09-11,60450
984,2015-09-12,60270
985,2015-09-13,60080
986,2015-09-14,59900
987,2015-09-15,59660
988,2015-09-16,59330
989,2015-09-17,59000
990,2015-09-18,58670
991,2015-09-19,58450
992,2015-09-20,58270
993,2015-09-21,58020
994,2015-09-22,57830
995,2015-09-23,57540
996,2015-09-24,57210
997,2015-09-25,56900
998,2015-09-26,56570
999,2015-09-27,56250
1000,2015-09-28,55970
1001,2015-09-29,55650
1002,2015-09-30,55420
1003,2015-10-01,54950
1004,2015-10-02,54250
1005,2015-10-03,53530
1006,2015-10-04,52800
1007,2015-10-05,52160
1008,2015-10-06,51310
1009,2015-10-07,50720
1010,2015-10-08,50080
1011,2015-10-09,49350
1012,2015-10-10,48640
1013,2015-10-11,47930
1014,2015-10-12,47260
1015,2015-10-13,46550
1016,2015-10-14,45820
1017,2015-10-15,45130
1018,2015-10-16,44450
1019,2015-10-17,43790
1020,2015-10-18,43080
1021,2015-10-19,42390
1022,2015-10-20,41680
1023,2015-10-21,41020
1024,2015-10-22,40340
1025,2015-10-23,39610
1026,2015-10-24,38950
1027,2015-10-25,38840
1028,2015-10-26,39030
1029,2015-10-27,39260
1030,2015-10-28,39650
1031,2015-10-29,39860
1032,2015-10-30,40070
1033,2015-10-31,40220
1034,2015-11-01,40380
1035,2015-11-02,40690
1036,2015-11-03,40840
1037,2015-11-04,40980
1038,2015-11-05,41100
1039,2015-11-06,41240
1040,2015-11-07,41380
1041,2015-11-08,41540
1042,2015-11-09,41720
1043,2015-11-10,41830
1044,2015-11-11,41960
1045,2015-11-12,42060
1046,2015-11-13,42100
1047,2015-11-14,42160
1048,2015-11-15,42440
1049,2015-11-16,42560
1050,2015-11-17,42690
1051,2015-11-18,42840
1052,2015-11-19,42980
1053,2015-11-20,43310
1054,2015-11-21,43560
1055,2015-11-22,43840
1056,2015-11-23,44160
1057,2015-11-24,44550
1058,2015-11-25,44960
