,datetime,N_BATTLE_C_RES_NR_MANZANITA_LAKE_CA.tsv
500,2014-05-16,1050.0
501,2014-05-17,1050.0
502,2014-05-18,1050.0
503,2014-05-19,1050.0
504,2014-05-20,1050.0
505,2014-05-21,1040.0
506,2014-05-22,1040.0
507,2014-05-23,1040.0
508,2014-05-24,1030.0
509,2014-05-25,1030.0
510,2014-05-26,1020.0
511,2014-05-27,1020.0
512,2014-05-28,1020.0
513,2014-05-29,1010.0
514,2014-05-30,1010.0
515,2014-05-31,1000.0
516,2014-06-01,998.0
517,2014-06-02,993.0
518,2014-06-03,989.0
519,2014-06-04,984.0
520,2014-06-05,979.0
521,2014-06-06,974.0
522,2014-06-07,969.0
523,2014-06-08,965.0
524,2014-06-09,959.0
525,2014-06-10,954.0
526,2014-06-11,949.0
527,2014-06-12,944.0
528,2014-06-13,940.0
529,2014-06-14,935.0
530,2014-06-15,930.0
531,2014-06-16,926.0
532,2014-06-17,924.0
533,2014-06-18,922.0
534,2014-06-19,918.0
535,2014-06-20,914.0
536,2014-06-21,909.0
537,2014-06-22,904.0
538,2014-06-23,899.0
539,2014-06-24,897.0
540,2014-06-25,896.0
541,2014-06-26,895.0
542,2014-06-27,891.0
543,2014-06-28,887.0
544,2014-06-29,883.0
545,2014-06-30,878.0
546,2014-07-01,874.0
547,2014-07-02,869.0
548,2014-07-03,864.0
549,2014-07-04,859.0
550,2014-07-05,854.0
551,2014-07-06,849.0
552,2014-07-07,845.0
553,2014-07-08,841.0
554,2014-07-09,837.0
555,2014-07-10,834.0
556,2014-07-11,830.0
557,2014-07-12,826.0
558,2014-07-13,821.0
559,2014-07-14,816.0
560,2014-07-15,811.0
561,2014-07-16,807.0
562,2014-07-17,801.0
563,2014-07-18,793.0
564,2014-07-19,785.0
565,2014-07-20,777.0
566,2014-07-21,767.0
567,2014-07-22,763.0
568,2014-07-23,759.0
569,2014-07-24,755.0
570,2014-07-25,750.0
571,2014-07-26,746.0
572,2014-07-27,742.0
573,2014-07-28,737.0
574,2014-07-29,733.0
575,2014-07-30,729.0
576,2014-07-31,724.0
577,2014-08-01,720.0
578,2014-08-02,715.0
579,2014-08-03,711.0
580,2014-08-04,708.0
581,2014-08-05,707.0
582,2014-08-06,705.0
583,2014-08-07,701.0
584,2014-08-08,698.0
585,2014-08-09,694.0
586,2014-08-10,691.0
587,2014-08-11,688.0
588,2014-08-12,684.0
589,2014-08-13,680.0
590,2014-08-14,676.0
591,2014-08-15,671.0
592,2014-08-16,667.0
593,2014-08-17,663.0
594,2014-08-18,658.0
595,2014-08-19,654.0
596,2014-08-20,650.0
597,2014-08-21,646.0
598,2014-08-22,642.0
599,2014-08-23,638.0
600,2014-08-24,633.0
601,2014-08-25,630.0
602,2014-08-26,625.0
603,2014-08-27,621.0
604,2014-08-28,617.0
605,2014-08-29,614.0
