,datetime,LAKE_MERWIN_AT_ARIEL__WA.tsv
406,2014-02-11,364537.49
407,2014-02-12,364535.81
408,2014-02-13,364535.02
409,2014-02-14,364533.79
410,2014-02-15,364533.09
411,2014-02-16,364532.43
412,2014-02-17,364532.53
413,2014-02-18,364532.33
414,2014-02-19,364531.56
415,2014-02-20,364530.63
416,2014-02-21,364529.21
417,2014-02-22,364529.65
418,2014-02-23,364531.52
419,2014-02-24,364532.29
420,2014-02-25,364533.35
421,2014-02-26,364534.18
422,2014-02-27,364534.64
423,2014-02-28,364534.76
424,2014-03-01,364534.62
425,2014-03-02,364535.12
426,2014-03-03,364535.42
427,2014-03-04,364533.25
428,2014-03-05,364531.21
429,2014-03-06,364530.78
430,2014-03-07,364528.17
431,2014-03-08,364525.82
432,2014-03-09,364525.0
433,2014-03-10,364525.88
434,2014-03-11,364528.55
435,2014-03-12,364529.94
436,2014-03-13,364530.22
437,2014-03-14,364529.99
438,2014-03-15,364529.55
439,2014-03-16,364529.31
440,2014-03-17,364529.12
441,2014-03-18,364528.82
442,2014-03-19,364529.46
443,2014-03-20,364529.66
444,2014-03-21,364530.02
445,2014-03-22,364530.03
446,2014-03-23,364531.45
447,2014-03-24,364532.43
448,2014-03-25,364533.23
449,2014-03-26,364534.17
450,2014-03-27,364534.27
451,2014-03-28,364534.46
452,2014-03-29,364534.98
453,2014-03-30,364532.91
454,2014-03-31,364532.9
455,2014-04-01,364533.52
456,2014-04-02,364533.91
457,2014-04-03,364534.33
458,2014-04-04,364534.73
459,2014-04-05,364535.59
460,2014-04-06,364535.14
461,2014-04-07,364536.55
462,2014-04-08,364536.32
463,2014-04-09,364535.21
464,2014-04-10,364533.78
465,2014-04-11,364532.23
466,2014-04-12,364530.87
467,2014-04-13,364530.87
468,2014-04-14,364531.0
469,2014-04-15,364530.81
470,2014-04-16,364532.01
471,2014-04-17,364533.43
472,2014-04-18,364534.24
473,2014-04-19,364534.35
474,2014-04-20,364534.01
475,2014-04-21,364534.12
476,2014-04-22,364533.91
477,2014-04-23,364534.57
478,2014-04-24,364535.29
479,2014-04-25,364535.23
480,2014-04-26,364534.52
481,2014-04-27,364533.69
482,2014-04-28,364534.93
483,2014-04-29,364535.6
484,2014-04-30,364536.11
485,2014-05-01,364535.86
486,2014-05-02,364534.28
487,2014-05-03,364534.07
488,2014-05-04,364534.36
489,2014-05-05,364535.08
490,2014-05-06,364535.93
491,2014-05-07,364536.29
492,2014-05-08,364536.76
493,2014-05-09,364537.56
494,2014-05-10,364538.05
495,2014-05-11,364538.43
496,2014-05-12,364536.43
497,2014-05-13,364534.17
498,2014-05-14,364533.51
499,2014-05-15,364534.17
500,2014-05-16,364533.31
501,2014-05-17,364532.38
502,2014-05-18,364532.92
503,2014-05-19,364532.19
504,2014-05-20,364532.7
505,2014-05-21,364533.69
506,2014-05-22,364535.66
507,2014-05-23,364536.48
508,2014-05-24,364537.16
509,2014-05-25,364538.6
510,2014-05-26,364538.49
511,2014-05-27,364538.56
512,2014-05-28,364537.18
513,2014-05-29,364537.21
514,2014-05-30,364536.39
515,2014-05-31,364534.65
516,2014-06-01,364535.1
517,2014-06-02,364534.87
518,2014-06-03,364534.28
519,2014-06-04,364534.09
520,2014-06-05,364534.14
521,2014-06-06,364534.22
522,2014-06-07,364533.8
523,2014-06-08,364533.49
524,2014-06-09,364533.49
525,2014-06-10,364533.8
526,2014-06-11,364533.43
527,2014-06-12,364532.98
528,2014-06-13,364532.68
529,2014-06-14,364532.09
530,2014-06-15,364531.75
531,2014-06-16,364530.99
532,2014-06-17,364530.52
533,2014-06-18,364530.67
534,2014-06-19,364530.84
535,2014-06-20,364530.66
536,2014-06-21,364531.87
537,2014-06-22,364532.65
538,2014-06-23,364533.18
539,2014-06-24,364533.42
540,2014-06-25,364534.1
541,2014-06-26,364533.75
542,2014-06-27,364533.48
543,2014-06-28,364532.33
544,2014-06-29,364531.32
545,2014-06-30,364530.5
546,2014-07-01,364529.51
547,2014-07-02,364528.86
548,2014-07-03,364529.1
549,2014-07-04,364530.06
550,2014-07-05,364530.63
551,2014-07-06,364531.21
552,2014-07-07,364532.13
553,2014-07-08,364532.23
554,2014-07-09,364531.79
555,2014-07-10,364532.32
556,2014-07-11,364532.64
557,2014-07-12,364533.59
558,2014-07-13,364534.29
559,2014-07-14,364535.23
560,2014-07-15,364534.93
561,2014-07-16,364534.55
562,2014-07-17,364534.17
563,2014-07-18,364533.79
564,2014-07-19,364533.39
565,2014-07-20,364533.0
566,2014-07-21,364533.12
567,2014-07-22,364533.31
568,2014-07-23,364533.21
569,2014-07-24,364533.17
570,2014-07-25,364532.62
571,2014-07-26,364532.05
572,2014-07-27,364532.24
573,2014-07-28,364532.32
574,2014-07-29,364532.36
575,2014-07-30,364532.28
576,2014-07-31,364531.83
577,2014-08-01,364531.76
578,2014-08-02,364531.99
579,2014-08-03,364531.89
580,2014-08-04,364531.72
581,2014-08-05,364531.64
582,2014-08-06,364531.59
583,2014-08-07,364531.97
584,2014-08-08,364532.12
585,2014-08-09,364532.22
586,2014-08-10,364532.52
587,2014-08-11,364532.94
588,2014-08-12,364533.17
589,2014-08-13,364533.62
590,2014-08-14,364533.68
591,2014-08-15,364533.76
592,2014-08-16,364533.7
593,2014-08-17,364533.83
594,2014-08-18,364533.99
595,2014-08-19,364534.0
596,2014-08-20,364533.91
597,2014-08-21,364533.5
598,2014-08-22,364533.34
599,2014-08-23,364533.63
600,2014-08-24,364533.65
601,2014-08-25,364533.48
602,2014-08-26,364533.75
603,2014-08-27,364534.2
604,2014-08-28,364534.8
605,2014-08-29,364534.77
606,2014-08-30,364534.81
607,2014-08-31,364535.02
608,2014-09-01,364534.95
609,2014-09-02,364534.35
610,2014-09-03,364533.81
611,2014-09-04,364533.49
612,2014-09-05,364533.34
613,2014-09-06,364533.2
614,2014-09-07,364532.66
615,2014-09-08,364532.07
616,2014-09-09,364531.69
617,2014-09-10,364531.42
618,2014-09-11,364531.15
619,2014-09-12,364531.19
620,2014-09-13,364531.34
621,2014-09-14,364531.52
622,2014-09-15,364531.45
623,2014-09-16,364531.46
624,2014-09-17,364531.23
625,2014-09-18,364531.05
626,2014-09-19,364531.07
627,2014-09-20,364530.76
628,2014-09-21,364530.41
629,2014-09-22,364530.17
630,2014-09-23,364529.91
631,2014-09-24,364529.78
632,2014-09-25,364529.51
633,2014-09-26,364529.29
634,2014-09-27,364529.03
635,2014-09-28,364528.88
636,2014-09-29,364528.71
637,2014-09-30,364528.84
638,2014-10-01,364528.56
639,2014-10-02,365728.87
640,2014-10-03,366529.08
641,2014-10-04,367329.3
642,2014-10-05,368029.48
643,2014-10-06,367829.43
644,2014-10-07,368229.53
645,2014-10-08,368529.6
646,2014-10-09,368229.52
647,2014-10-10,368129.5
648,2014-10-11,368729.67
649,2014-10-12,370030.01
650,2014-10-13,368529.62
651,2014-10-14,369329.81
652,2014-10-15,370730.18
653,2014-10-16,369629.89
654,2014-10-17,368829.69
655,2014-10-18,366329.03
656,2014-10-19,365628.84
657,2014-10-20,366028.94
658,2014-10-21,366729.13
659,2014-10-22,370130.04
660,2014-10-23,374231.1
661,2014-10-24,371730.45
662,2014-10-25,369529.87
663,2014-10-26,364728.6
664,2014-10-27,363328.23
665,2014-10-28,364428.53
666,2014-10-29,367129.25
667,2014-10-30,367929.45
668,2014-10-31,366329.04
669,2014-11-01,363328.23
670,2014-11-02,363528.29
671,2014-11-03,363128.19
672,2014-11-04,359227.16
673,2014-11-05,364928.65
674,2014-11-06,366329.03
675,2014-11-07,367129.23
676,2014-11-08,368129.49
677,2014-11-09,369029.74
678,2014-11-10,369829.96
679,2014-11-11,363428.26
680,2014-11-12,362227.94
681,2014-11-13,363328.25
682,2014-11-14,363528.3
683,2014-11-15,362427.99
684,2014-11-16,361627.8
685,2014-11-17,363628.32
686,2014-11-18,361727.81
687,2014-11-19,365128.72
688,2014-11-20,361327.71
689,2014-11-21,355726.24
690,2014-11-22,352325.32
691,2014-11-23,348524.3
692,2014-11-24,346323.71
693,2014-11-25,354725.95
694,2014-11-26,367829.43
695,2014-11-27,365428.8
696,2014-11-28,367429.31
697,2014-11-29,367329.29
698,2014-11-30,366929.19
699,2014-12-01,368029.48
700,2014-12-02,365328.77
701,2014-12-03,365228.74
702,2014-12-04,362427.99
703,2014-12-05,359927.33
704,2014-12-06,358526.97
705,2014-12-07,357226.63
706,2014-12-08,355626.19
707,2014-12-09,353825.73
708,2014-12-10,354525.9
709,2014-12-11,355726.24
710,2014-12-12,353225.56
711,2014-12-13,349424.56
712,2014-12-14,348224.23
713,2014-12-15,347223.97
714,2014-12-16,347824.12
715,2014-12-17,354525.92
716,2014-12-18,356126.34
717,2014-12-19,353525.65
718,2014-12-20,354825.98
719,2014-12-21,359127.12
720,2014-12-22,360027.38
721,2014-12-23,361027.63
722,2014-12-24,363128.18
723,2014-12-25,364928.66
724,2014-12-26,366429.06
725,2014-12-27,367729.4
726,2014-12-28,372630.68
727,2014-12-29,377031.83
728,2014-12-30,374931.28
729,2014-12-31,373530.92
730,2015-01-01,371530.4
731,2015-01-02,371730.45
732,2015-01-03,370630.15
733,2015-01-04,372930.75
734,2015-01-05,380432.71
735,2015-01-06,380632.75
