,datetime,LAKE_VALLEY_RES_NR_CISCO_CA.tsv
831,2015-04-12,6370
832,2015-04-13,6360
833,2015-04-14,6360
834,2015-04-15,6370
835,2015-04-16,6350
836,2015-04-17,6350
837,2015-04-18,6340
838,2015-04-19,6340
839,2015-04-20,6330
840,2015-04-21,6330
841,2015-04-22,6320
842,2015-04-23,6330
843,2015-04-24,6340
844,2015-04-25,6370
845,2015-04-26,6380
846,2015-04-27,6380
847,2015-04-28,6390
848,2015-04-29,6390
849,2015-04-30,6380
850,2015-05-01,6390
851,2015-05-02,6390
852,2015-05-03,6390
853,2015-05-04,6390
854,2015-05-05,6380
855,2015-05-06,6370
856,2015-05-07,6370
857,2015-05-08,6370
858,2015-05-09,6370
859,2015-05-10,6360
860,2015-05-11,6350
861,2015-05-12,6340
862,2015-05-13,6330
863,2015-05-14,6320
864,2015-05-15,6340
865,2015-05-16,6310
866,2015-05-17,6310
867,2015-05-18,6330
868,2015-05-19,6330
869,2015-05-20,6340
870,2015-05-21,6340
871,2015-05-22,6370
872,2015-05-23,6380
873,2015-05-24,6460
874,2015-05-25,6450
875,2015-05-26,6460
876,2015-05-27,6450
877,2015-05-28,6430
878,2015-05-29,6430
879,2015-05-30,6410
880,2015-05-31,6410
881,2015-06-01,6390
882,2015-06-02,6380
883,2015-06-03,6390
884,2015-06-04,6390
885,2015-06-05,6380
886,2015-06-06,6380
887,2015-06-07,6370
888,2015-06-08,6350
889,2015-06-09,6350
890,2015-06-10,6370
891,2015-06-11,6370
892,2015-06-12,6360
893,2015-06-13,6350
894,2015-06-14,6340
895,2015-06-15,6330
896,2015-06-16,6310
897,2015-06-17,6300
898,2015-06-18,6290
899,2015-06-19,6270
900,2015-06-20,6260
901,2015-06-21,6250
902,2015-06-22,6240
903,2015-06-23,6220
904,2015-06-24,6210
905,2015-06-25,6200
906,2015-06-26,6190
907,2015-06-27,6180
908,2015-06-28,6170
909,2015-06-29,6160
910,2015-06-30,6140
911,2015-07-01,6130
912,2015-07-02,6120
913,2015-07-03,6110
914,2015-07-04,6100
915,2015-07-05,6090
916,2015-07-06,6070
917,2015-07-07,6060
918,2015-07-08,6040
919,2015-07-09,6040
920,2015-07-10,6040
921,2015-07-11,6020
922,2015-07-12,6020
923,2015-07-13,6000
924,2015-07-14,5990
925,2015-07-15,5980
926,2015-07-16,5970
927,2015-07-17,5950
928,2015-07-18,5940
929,2015-07-19,5930
930,2015-07-20,5920
931,2015-07-21,5910
932,2015-07-22,5890
933,2015-07-23,5870
934,2015-07-24,5860
935,2015-07-25,5840
936,2015-07-26,5830
937,2015-07-27,5820
938,2015-07-28,5800
939,2015-07-29,5790
940,2015-07-30,5770
941,2015-07-31,5760
942,2015-08-01,5750
943,2015-08-02,5740
944,2015-08-03,5730
945,2015-08-04,5710
946,2015-08-05,5700
947,2015-08-06,5690
948,2015-08-07,5670
949,2015-08-08,5660
950,2015-08-09,5650
951,2015-08-10,5630
952,2015-08-11,5610
953,2015-08-12,5600
954,2015-08-13,5590
955,2015-08-14,5570
956,2015-08-15,5560
957,2015-08-16,5550
958,2015-08-17,5540
959,2015-08-18,5530
960,2015-08-19,5510
961,2015-08-20,5490
962,2015-08-21,5480
963,2015-08-22,5460
964,2015-08-23,5450
965,2015-08-24,5440
966,2015-08-25,5430
967,2015-08-26,5410
968,2015-08-27,5400
969,2015-08-28,5380
970,2015-08-29,5370
971,2015-08-30,5360
972,2015-08-31,5350
973,2015-09-01,5330
974,2015-09-02,5320
975,2015-09-03,5300
976,2015-09-04,5290
977,2015-09-05,5280
978,2015-09-06,5270
979,2015-09-07,5250
980,2015-09-08,5190
981,2015-09-09,5110
982,2015-09-10,5100
983,2015-09-11,5090
984,2015-09-12,5070
985,2015-09-13,5060
986,2015-09-14,5050
987,2015-09-15,5030
988,2015-09-16,5000
989,2015-09-17,5000
990,2015-09-18,4990
991,2015-09-19,4980
992,2015-09-20,4970
993,2015-09-21,4950
994,2015-09-22,4940
995,2015-09-23,4930
996,2015-09-24,4920
997,2015-09-25,4900
998,2015-09-26,4890
999,2015-09-27,4880
1000,2015-09-28,4870
1001,2015-09-29,4820
1002,2015-09-30,4700
1003,2015-10-01,4620
1004,2015-10-02,4520
1005,2015-10-03,4420
1006,2015-10-04,4330
1007,2015-10-05,4240
1008,2015-10-06,4170
1009,2015-10-07,4110
1010,2015-10-08,4040
1011,2015-10-09,3980
1012,2015-10-10,3910
1013,2015-10-11,3850
1014,2015-10-12,3780
1015,2015-10-13,3720
1016,2015-10-14,3660
1017,2015-10-15,3590
1018,2015-10-16,3530
1019,2015-10-17,3480
1020,2015-10-18,3420
1021,2015-10-19,3350
1022,2015-10-20,3290
1023,2015-10-21,3230
1024,2015-10-22,3170
1025,2015-10-23,3110
1026,2015-10-24,3040
1027,2015-10-25,2980
1028,2015-10-26,2920
1029,2015-10-27,2860
1030,2015-10-28,2800
1031,2015-10-29,2740
1032,2015-10-30,2690
1033,2015-10-31,2630
1034,2015-11-01,2580
1035,2015-11-02,2540
1036,2015-11-03,2510
1037,2015-11-04,2440
1038,2015-11-05,2390
1039,2015-11-06,2330
1040,2015-11-07,2280
1041,2015-11-08,2230
1042,2015-11-09,2210
1043,2015-11-10,2210
1044,2015-11-11,2200
1045,2015-11-12,2200
1046,2015-11-13,2190
1047,2015-11-14,2180
1048,2015-11-15,2190
1049,2015-11-16,2180
1050,2015-11-17,2170
1051,2015-11-18,2170
1052,2015-11-19,2160
1053,2015-11-20,2160
1054,2015-11-21,2150
1055,2015-11-22,2140
1056,2015-11-23,2130
1057,2015-11-24,2140
1058,2015-11-25,2130
1059,2015-11-26,2110
1060,2015-11-27,2090
1061,2015-11-28,2090
1062,2015-11-29,2090
1063,2015-11-30,2090
1064,2015-12-01,2090
1065,2015-12-02,2090
1066,2015-12-03,2100
1067,2015-12-04,2100
1068,2015-12-05,2090
1069,2015-12-06,2090
1070,2015-12-07,2090
1071,2015-12-08,2090
1072,2015-12-09,2090
1073,2015-12-10,2160
1074,2015-12-11,2160
1075,2015-12-12,2160
1076,2015-12-13,2180
1077,2015-12-14,2180
1078,2015-12-15,2150
1079,2015-12-16,2160
1080,2015-12-17,2160
1081,2015-12-18,2170
1082,2015-12-19,2180
1083,2015-12-20,2180
1084,2015-12-21,2270
1085,2015-12-22,2440
1086,2015-12-23,2490
1087,2015-12-24,2530
1088,2015-12-25,2540
1089,2015-12-26,2550
1090,2015-12-27,2560
1091,2015-12-28,2570
1092,2015-12-29,2570
1093,2015-12-30,2570
1094,2015-12-31,2570
1095,2016-01-01,2570
1096,2016-01-02,2570
1097,2016-01-03,2570
1098,2016-01-04,2580
1099,2016-01-05,2600
1100,2016-01-06,2610
1101,2016-01-07,2610
1102,2016-01-08,2610
1103,2016-01-09,2620
1104,2016-01-10,2610
1105,2016-01-11,2610
1106,2016-01-12,2620
1107,2016-01-13,2640
1108,2016-01-14,2660
1109,2016-01-15,2670
1110,2016-01-16,2700
1111,2016-01-17,2780
1112,2016-01-18,2860
1113,2016-01-19,2990
1114,2016-01-20,3060
1115,2016-01-21,3100
1116,2016-01-22,3170
1117,2016-01-23,3290
1118,2016-01-24,3340
1119,2016-01-25,3370
1120,2016-01-26,3400
1121,2016-01-27,3410
1122,2016-01-28,3430
1123,2016-01-29,4140
1124,2016-01-30,4590
1125,2016-01-31,4700
1126,2016-02-01,4760
1127,2016-02-02,4810
1128,2016-02-03,4850
1129,2016-02-04,4890
1130,2016-02-05,4920
1131,2016-02-06,4940
1132,2016-02-07,4970
1133,2016-02-08,5000
1134,2016-02-09,5030
1135,2016-02-10,5060
1136,2016-02-11,5110
1137,2016-02-12,5140
1138,2016-02-13,5170
1139,2016-02-14,5200
1140,2016-02-15,5250
1141,2016-02-16,5280
1142,2016-02-17,5320
