,datetime,WILLOW_CREEK_LAKE_AT_HEPPNER__OR.
835,2013-04-15,2075.95
836,2013-04-16,2076.0
837,2013-04-17,2076.04
838,2013-04-18,2076.12
839,2013-04-19,2076.4
840,2013-04-20,2077.23
841,2013-04-21,2077.96
842,2013-04-22,2078.33
843,2013-04-23,2078.25
844,2013-04-24,2078.03
845,2013-04-25,2077.7
846,2013-04-26,2077.28
847,2013-04-27,2076.8
848,2013-04-28,2076.32
849,2013-04-29,2076.04
850,2013-04-30,2076.1
851,2013-05-01,2076.26
852,2013-05-02,2076.35
853,2013-05-03,2076.41
854,2013-05-04,2076.46
855,2013-05-05,2076.46
856,2013-05-06,2076.41
857,2013-05-07,2076.36
858,2013-05-08,2076.34
859,2013-05-09,2076.35
860,2013-05-10,2076.36
861,2013-05-11,2076.36
862,2013-05-12,2076.34
863,2013-05-13,2076.32
864,2013-05-14,2076.31
865,2013-05-15,2076.27
866,2013-05-16,2076.22
867,2013-05-17,2076.12
868,2013-05-18,2076.02
869,2013-05-19,2075.93
870,2013-05-20,2075.84
871,2013-05-21,2075.78
872,2013-05-22,2075.74
873,2013-05-23,2075.68
874,2013-05-24,2075.7
875,2013-05-25,2075.75
876,2013-05-26,2075.82
877,2013-05-27,2075.91
878,2013-05-28,2076.06
879,2013-05-29,2076.23
880,2013-05-30,2076.47
881,2013-05-31,2076.63
882,2013-06-01,2076.7
883,2013-06-02,2076.74
884,2013-06-03,2076.76
885,2013-06-04,2076.75
886,2013-06-05,2076.71
887,2013-06-06,2076.63
888,2013-06-07,2076.52
889,2013-06-08,2076.45
890,2013-06-09,2076.4
891,2013-06-10,2076.39
892,2013-06-11,2076.39
893,2013-06-12,2076.4
894,2013-06-13,2076.4
895,2013-06-14,2076.42
896,2013-06-15,2076.39
897,2013-06-16,2076.33
898,2013-06-17,2076.24
899,2013-06-18,2076.13
900,2013-06-19,2076.03
901,2013-06-20,2075.93
902,2013-06-21,2075.87
903,2013-06-22,2075.81
904,2013-06-23,2075.77
905,2013-06-24,2075.78
906,2013-06-25,2075.8
907,2013-06-26,2075.79
908,2013-06-27,2075.76
909,2013-06-28,2075.71
910,2013-06-29,2075.63
911,2013-06-30,2075.54
912,2013-07-01,2075.44
913,2013-07-02,2075.33
914,2013-07-03,2075.19
915,2013-07-04,2075.04
916,2013-07-05,2074.9
917,2013-07-06,2074.76
918,2013-07-07,2074.61
919,2013-07-08,2074.48
920,2013-07-09,2074.38
921,2013-07-10,2074.26
922,2013-07-11,2074.14
923,2013-07-12,2074.02
924,2013-07-13,2073.91
925,2013-07-14,2073.81
926,2013-07-15,2073.69
927,2013-07-16,2073.59
928,2013-07-17,2073.47
929,2013-07-18,2073.34
930,2013-07-19,2073.2
931,2013-07-20,2073.06
932,2013-07-21,2072.9
933,2013-07-22,2072.72
934,2013-07-23,2072.51
935,2013-07-24,2072.3
936,2013-07-25,2072.07
937,2013-07-26,2071.84
