,datetime,LOST_CREEK_LAKE_NEAR_MCLEOD__OR.tsv
848,2015-04-29,1871.37
849,2015-04-30,1871.23
850,2015-05-01,1871.09
851,2015-05-02,1870.95
852,2015-05-03,1870.8
853,2015-05-04,1870.62
854,2015-05-05,1870.45
855,2015-05-06,1870.16
856,2015-05-07,1869.75
857,2015-05-08,1869.33
858,2015-05-09,1868.9
859,2015-05-10,1868.45
860,2015-05-11,1868.04
861,2015-05-12,1867.68
862,2015-05-13,1867.34
863,2015-05-14,1866.98
864,2015-05-15,1866.64
865,2015-05-16,1866.28
866,2015-05-17,1865.84
867,2015-05-18,1865.37
868,2015-05-19,1864.97
869,2015-05-20,1864.56
870,2015-05-21,1864.22
871,2015-05-22,1863.93
872,2015-05-23,1863.58
873,2015-05-24,1863.18
874,2015-05-25,1862.75
875,2015-05-26,1862.23
876,2015-05-27,1861.56
877,2015-05-28,1860.77
878,2015-05-29,1859.91
879,2015-05-30,1859.04
880,2015-05-31,1858.17
881,2015-06-01,1857.45
882,2015-06-02,1856.82
883,2015-06-03,1856.14
884,2015-06-04,1855.28
885,2015-06-05,1854.2
886,2015-06-06,1853.03
887,2015-06-07,1851.85
888,2015-06-08,1850.64
889,2015-06-09,1849.43
890,2015-06-10,1848.19
891,2015-06-11,1846.94
892,2015-06-12,1845.81
893,2015-06-13,1844.78
894,2015-06-14,1843.76
895,2015-06-15,1842.73
896,2015-06-16,1841.68
897,2015-06-17,1840.62
898,2015-06-18,1839.54
899,2015-06-19,1838.46
900,2015-06-20,1837.38
901,2015-06-21,1836.29
902,2015-06-22,1835.33
903,2015-06-23,1834.37
904,2015-06-24,1833.65
905,2015-06-25,1832.93
906,2015-06-26,1832.2
907,2015-06-27,1831.48
908,2015-06-28,1830.76
909,2015-06-29,1830.04
910,2015-06-30,1829.48
911,2015-07-01,1829.06
912,2015-07-02,1828.64
913,2015-07-03,1828.22
914,2015-07-04,1827.79
915,2015-07-05,1827.36
916,2015-07-06,1826.92
917,2015-07-07,1826.48
918,2015-07-08,1826.06
919,2015-07-09,1825.65
920,2015-07-10,1825.25
921,2015-07-11,1824.87
922,2015-07-12,1824.45
923,2015-07-13,1824.03
924,2015-07-14,1823.59
925,2015-07-15,1823.16
926,2015-07-16,1822.7
927,2015-07-17,1822.23
928,2015-07-18,1821.77
929,2015-07-19,1821.29
930,2015-07-20,1820.82
931,2015-07-21,1820.34
932,2015-07-22,1819.85
933,2015-07-23,1819.36
934,2015-07-24,1818.87
935,2015-07-25,1818.38
936,2015-07-26,1817.9
937,2015-07-27,1817.4
938,2015-07-28,1816.9
939,2015-07-29,1816.41
940,2015-07-30,1815.92
941,2015-07-31,1815.41
942,2015-08-01,1814.91
943,2015-08-02,1814.42
944,2015-08-03,1813.93
945,2015-08-04,1813.41
946,2015-08-05,1812.9
947,2015-08-06,1812.37
948,2015-08-07,1811.85
949,2015-08-08,1811.32
950,2015-08-09,1810.79
951,2015-08-10,1810.27
952,2015-08-11,1809.73
953,2015-08-12,1809.17
954,2015-08-13,1808.45
955,2015-08-14,1807.72
956,2015-08-15,1806.99
957,2015-08-16,1806.23
958,2015-08-17,1805.41
959,2015-08-18,1804.58
960,2015-08-19,1803.74
961,2015-08-20,1802.95
962,2015-08-21,1802.18
963,2015-08-22,1801.41
964,2015-08-23,1800.64
965,2015-08-24,1799.85
966,2015-08-25,1799.07
967,2015-08-26,1798.29
968,2015-08-27,1797.49
969,2015-08-28,1796.69
970,2015-08-29,1795.94
971,2015-08-30,1795.15
972,2015-08-31,1794.34
973,2015-09-01,1793.53
974,2015-09-02,1792.72
975,2015-09-03,1791.89
976,2015-09-04,1791.06
977,2015-09-05,1790.27
978,2015-09-06,1789.56
979,2015-09-07,1788.86
980,2015-09-08,1788.33
981,2015-09-09,1787.88
982,2015-09-10,1787.4
983,2015-09-11,1786.93
984,2015-09-12,1786.49
985,2015-09-13,1786.22
986,2015-09-14,1786.07
987,2015-09-15,1785.93
988,2015-09-16,1785.83
