,datetime,BLUE_RIVER_LAKE_NEAR_BLUE_RIVER__OR.tsv
487,2015-01-30,1191.41
488,2015-01-31,1191.59
489,2015-02-01,1192.53
490,2015-02-02,1195.97
491,2015-02-03,1199.93
492,2015-02-04,1203.99
493,2015-02-05,1205.91
494,2015-02-06,1208.25
495,2015-02-07,1220.78
496,2015-02-08,1224.7
497,2015-02-09,1227.04
498,2015-02-10,1236.57
499,2015-02-11,1240.35
500,2015-02-12,1243.1
501,2015-02-13,1245.33
502,2015-02-14,1247.34
503,2015-02-15,1249.11
504,2015-02-16,1250.7
505,2015-02-17,1252.04
506,2015-02-18,1253.18
507,2015-02-19,1254.19
508,2015-02-20,1255.06
509,2015-02-21,1255.84
510,2015-02-22,1256.52
511,2015-02-23,1257.12
512,2015-02-24,1257.68
513,2015-02-25,1258.18
514,2015-02-26,1258.7
515,2015-02-27,1259.53
516,2015-02-28,1260.18
517,2015-03-01,1260.67
518,2015-03-02,1261.14
519,2015-03-03,1261.55
520,2015-03-04,1261.91
521,2015-03-05,1262.26
522,2015-03-06,1262.6
523,2015-03-07,1262.91
524,2015-03-08,1263.19
525,2015-03-09,1263.45
526,2015-03-10,1263.7
527,2015-03-11,1264.04
528,2015-03-12,1264.41
529,2015-03-13,1264.67
530,2015-03-14,1265.11
531,2015-03-15,1266.91
532,2015-03-16,1268.61
533,2015-03-17,1269.68
534,2015-03-18,1270.47
535,2015-03-19,1271.12
536,2015-03-20,1271.69
537,2015-03-21,1272.3
538,2015-03-22,1272.91
539,2015-03-23,1273.86
540,2015-03-24,1276.66
541,2015-03-25,1279.04
542,2015-03-26,1280.99
543,2015-03-27,1282.45
544,2015-03-28,1283.95
545,2015-03-29,1285.16
546,2015-03-30,1286.14
547,2015-03-31,1287.25
548,2015-04-01,1288.42
549,2015-04-02,1289.5
550,2015-04-03,1290.47
551,2015-04-04,1291.37
552,2015-04-05,1292.2
553,2015-04-06,1292.99
554,2015-04-07,1293.77
555,2015-04-08,1294.58
556,2015-04-09,1295.37
557,2015-04-10,1296.06
558,2015-04-11,1296.94
559,2015-04-12,1297.9
560,2015-04-13,1298.78
561,2015-04-14,1299.66
562,2015-04-15,1300.51
563,2015-04-16,1301.36
564,2015-04-17,1302.15
565,2015-04-18,1302.84
566,2015-04-19,1303.43
567,2015-04-20,1303.94
568,2015-04-21,1304.39
569,2015-04-22,1304.78
570,2015-04-23,1305.17
571,2015-04-24,1305.58
572,2015-04-25,1306.09
573,2015-04-26,1306.58
574,2015-04-27,1306.99
575,2015-04-28,1307.36
576,2015-04-29,1307.69
577,2015-04-30,1307.98
578,2015-05-01,1308.14
