,datetime,LAKE_BRYAN_FOREBAY_AT_LITTLE_GOOSE_DAM__WA.tsv
720,2015-03-09,331.42988505747127
721,2015-03-10,331.30114942528735
722,2015-03-11,331.17241379310343
723,2015-03-12,331.0436781609195
724,2015-03-13,330.91494252873565
725,2015-03-14,330.78620689655173
726,2015-03-15,330.6574712643678
727,2015-03-16,330.5287356321839
728,2015-03-17,330.4
729,2015-03-18,329.6
730,2015-03-19,330.8
731,2015-03-20,332.7
732,2015-03-21,334.8
733,2015-03-22,334.2
734,2015-03-23,334.1
735,2015-03-24,331.6
736,2015-03-25,326.7
737,2015-03-26,326.6
738,2015-03-27,330.6
739,2015-03-28,330.6
740,2015-03-29,332.9
741,2015-03-30,331.4
742,2015-03-31,336.2
743,2015-04-01,330.7
744,2015-04-02,330.4
745,2015-04-03,333.6
746,2015-04-04,335.5
747,2015-04-05,336.1
748,2015-04-06,336.2
749,2015-04-07,342.0
750,2015-04-08,349.6
751,2015-04-09,349.9
752,2015-04-10,354.8
753,2015-04-11,354.3
754,2015-04-12,350.0
755,2015-04-13,354.3
756,2015-04-14,352.0
757,2015-04-15,345.4
758,2015-04-16,345.4
759,2015-04-17,348.3
760,2015-04-18,349.4
761,2015-04-19,357.9
762,2015-04-20,371.7
763,2015-04-21,380.1
764,2015-04-22,372.9
765,2015-04-23,372.3
766,2015-04-24,369.4
767,2015-04-25,366.0
768,2015-04-26,363.1
769,2015-04-27,361.4
770,2015-04-28,368.0
771,2015-04-29,365.0
772,2015-04-30,362.8
773,2015-05-01,365.1
774,2015-05-02,366.5
775,2015-05-03,365.5
776,2015-05-04,370.4
777,2015-05-05,370.2
778,2015-05-06,368.1
779,2015-05-07,367.5
780,2015-05-08,366.5
781,2015-05-09,368.6
782,2015-05-10,372.2
783,2015-05-11,373.3
784,2015-05-12,370.2
785,2015-05-13,366.3
786,2015-05-14,365.8
787,2015-05-15,369.9
788,2015-05-16,366.9
789,2015-05-17,366.3
790,2015-05-18,369.0
791,2015-05-19,369.2
792,2015-05-20,372.9
793,2015-05-21,374.2
794,2015-05-22,370.0
795,2015-05-23,368.1
796,2015-05-24,371.8
797,2015-05-25,376.3
798,2015-05-26,376.1
799,2015-05-27,374.8
800,2015-05-28,375.8
801,2015-05-29,380.9
802,2015-05-30,382.4
803,2015-05-31,383.7
804,2015-06-01,384.5
805,2015-06-02,380.4
806,2015-06-03,379.1
807,2015-06-04,377.1
808,2015-06-05,379.0
809,2015-06-06,386.0
