,datetime,FRANKLIN_ROOSEVELT_LAKE_AT_GRAND_COULEE_DAM__WA.tsv
694,2014-11-26,1283.97
695,2014-11-27,1284.6
696,2014-11-28,1284.98
697,2014-11-29,1284.78
698,2014-11-30,1284.27
699,2014-12-01,1284.96
700,2014-12-02,1285.62
701,2014-12-03,1285.89
702,2014-12-04,1286.14
703,2014-12-05,1286.42
704,2014-12-06,1286.45
705,2014-12-07,1286.01
706,2014-12-08,1285.59
707,2014-12-09,1285.3
708,2014-12-10,1285.4
709,2014-12-11,1285.86
710,2014-12-12,1286.07
711,2014-12-13,1286.4
712,2014-12-14,1286.79
713,2014-12-15,1286.9
714,2014-12-16,1287.07
715,2014-12-17,1286.99
716,2014-12-18,1287.06
717,2014-12-19,1287.0
718,2014-12-20,1286.98
719,2014-12-21,1287.13
720,2014-12-22,1287.32
721,2014-12-23,1287.2
722,2014-12-24,1287.29
723,2014-12-25,1288.08
724,2014-12-26,1287.93
725,2014-12-27,1287.96
726,2014-12-28,1288.16
727,2014-12-29,1288.16
728,2014-12-30,1288.05
729,2014-12-31,1287.52
730,2015-01-01,1286.7
731,2015-01-02,1285.98
732,2015-01-03,1285.2
733,2015-01-04,1284.88
734,2015-01-05,1285.1
735,2015-01-06,1284.96
736,2015-01-07,1285.03
737,2015-01-08,1284.82
738,2015-01-09,1284.58
739,2015-01-10,1284.04
740,2015-01-11,1283.78
741,2015-01-12,1283.18
742,2015-01-13,1282.74
743,2015-01-14,1282.19
744,2015-01-15,1281.62
745,2015-01-16,1281.28
746,2015-01-17,1280.7
747,2015-01-18,1280.48
748,2015-01-19,1280.09
749,2015-01-20,1279.56
750,2015-01-21,1279.12
751,2015-01-22,1278.64
752,2015-01-23,1278.28
753,2015-01-24,1278.06
754,2015-01-25,1277.61
755,2015-01-26,1277.46
756,2015-01-27,1277.24
757,2015-01-28,1276.81
758,2015-01-29,1276.45
759,2015-01-30,1275.77
760,2015-01-31,1274.61
761,2015-02-01,1274.02
762,2015-02-02,1273.48
763,2015-02-03,1272.47
764,2015-02-04,1271.68
765,2015-02-05,1270.81
766,2015-02-06,1269.75
767,2015-02-07,1269.45
768,2015-02-08,1268.96
769,2015-02-09,1268.78
770,2015-02-10,1269.58
771,2015-02-11,1270.49
772,2015-02-12,1271.15
773,2015-02-13,1271.09
774,2015-02-14,1271.44
775,2015-02-15,1271.4
776,2015-02-16,1271.33
777,2015-02-17,1271.04
778,2015-02-18,1270.67
779,2015-02-19,1270.42
780,2015-02-20,1269.75
781,2015-02-21,1269.19
782,2015-02-22,1268.19
783,2015-02-23,1267.19
784,2015-02-24,1266.77
785,2015-02-25,1266.61
786,2015-02-26,1265.87
