,datetime,CASTLE_LAKE_NEAR_MOUNT_ST._HELENS__WA.tsv
950,2015-08-09,2577.63
951,2015-08-10,2577.63
952,2015-08-11,2577.63
953,2015-08-12,2577.62
954,2015-08-13,2577.62
955,2015-08-14,2577.69
956,2015-08-15,2577.68
957,2015-08-16,2577.66
958,2015-08-17,2577.66
959,2015-08-18,2577.66
960,2015-08-19,2577.65
961,2015-08-20,2577.63
962,2015-08-21,2577.63
963,2015-08-22,2577.64
964,2015-08-23,2577.62
965,2015-08-24,2577.61
966,2015-08-25,2577.6
967,2015-08-26,2577.6
968,2015-08-27,2577.59
969,2015-08-28,2577.62
970,2015-08-29,2577.69
971,2015-08-30,2577.81
972,2015-08-31,2577.8
973,2015-09-01,2577.82
974,2015-09-02,2577.85
975,2015-09-03,2577.85
976,2015-09-04,2577.85
977,2015-09-05,2577.85
978,2015-09-06,2577.86
979,2015-09-07,2577.86
980,2015-09-08,2577.85
981,2015-09-09,2577.85
982,2015-09-10,2577.85
983,2015-09-11,2577.85
984,2015-09-12,2577.84
985,2015-09-13,2577.83
986,2015-09-14,2577.82
