,datetime,SPADA_LAKE_NEAR_STARTUP__WA.
945,2013-08-03,1433.7
946,2013-08-04,1433.4
947,2013-08-05,1432.9
948,2013-08-06,1432.6
949,2013-08-07,1432.2
950,2013-08-08,1431.9
951,2013-08-09,1431.6
952,2013-08-10,1431.3
953,2013-08-11,1430.9
954,2013-08-12,1430.5
955,2013-08-13,1430.0
956,2013-08-14,1429.6
957,2013-08-15,1429.2
958,2013-08-16,1428.8
959,2013-08-17,1428.4
960,2013-08-18,1427.7
961,2013-08-19,1426.8
962,2013-08-20,1426.3
963,2013-08-21,1425.7
964,2013-08-22,1425.3
965,2013-08-23,1424.8
966,2013-08-24,1424.4
967,2013-08-25,1424.0
968,2013-08-26,1423.4
969,2013-08-27,1423.2
970,2013-08-28,1423.0
971,2013-08-29,1423.3
972,2013-08-30,1423.1
973,2013-08-31,1422.8
974,2013-09-01,1422.5
975,2013-09-02,1422.2
976,2013-09-03,1421.8
977,2013-09-04,1421.6
978,2013-09-05,1421.6
979,2013-09-06,1421.4
980,2013-09-07,1421.3
981,2013-09-08,1421.0
982,2013-09-09,1420.8
983,2013-09-10,1420.4
984,2013-09-11,1420.1
985,2013-09-12,1419.8
986,2013-09-13,1419.3
987,2013-09-14,1419.0
988,2013-09-15,1418.1
989,2013-09-16,1417.5
990,2013-09-17,1417.2
