,datetime,LEMOLO_LAKE_NEAR_TOKETEE_FALLS__OR.tsv
424,2014-03-01,4135.34
425,2014-03-02,4135.3
426,2014-03-03,4135.94
427,2014-03-04,4136.41
428,2014-03-05,4137.07
429,2014-03-06,4137.99
430,2014-03-07,4138.82
431,2014-03-08,4139.66
432,2014-03-09,4140.88
433,2014-03-10,4141.62
434,2014-03-11,4142.52
435,2014-03-12,4143.32
436,2014-03-13,4143.94
437,2014-03-14,4144.28
438,2014-03-15,4144.61
439,2014-03-16,4144.77
440,2014-03-17,4145.03
441,2014-03-18,4145.19
442,2014-03-19,4145.19
443,2014-03-20,4145.41
444,2014-03-21,4145.56
445,2014-03-22,4145.74
446,2014-03-23,4145.86
447,2014-03-24,4145.99
448,2014-03-25,4146.16
449,2014-03-26,4146.4
450,2014-03-27,4146.54
451,2014-03-28,4146.74
452,2014-03-29,4146.9
453,2014-03-30,4146.84
454,2014-03-31,4146.81
455,2014-04-01,4146.9
456,2014-04-02,4146.95
457,2014-04-03,4147.09
458,2014-04-04,4147.21
459,2014-04-05,4147.27
460,2014-04-06,4147.43
461,2014-04-07,4147.49
462,2014-04-08,4147.59
463,2014-04-09,4147.61
464,2014-04-10,4147.73
465,2014-04-11,4147.91
466,2014-04-12,4147.92
467,2014-04-13,4147.87
468,2014-04-14,4147.86
469,2014-04-15,4147.87
470,2014-04-16,4147.92
471,2014-04-17,4147.87
472,2014-04-18,4147.81
473,2014-04-19,4147.8
474,2014-04-20,4147.78
475,2014-04-21,4147.79
476,2014-04-22,4147.89
477,2014-04-23,4147.97
478,2014-04-24,4148.01
479,2014-04-25,4147.93
480,2014-04-26,4147.91
481,2014-04-27,4147.94
482,2014-04-28,4147.96
483,2014-04-29,4147.9
484,2014-04-30,4147.91
485,2014-05-01,4147.87
486,2014-05-02,4148.01
487,2014-05-03,4148.0
488,2014-05-04,4147.94
489,2014-05-05,4148.01
490,2014-05-06,4148.04
491,2014-05-07,4147.92
492,2014-05-08,4147.98
493,2014-05-09,4147.93
494,2014-05-10,4147.83
495,2014-05-11,4147.79
496,2014-05-12,4147.87
497,2014-05-13,4147.96
498,2014-05-14,4148.0
499,2014-05-15,4148.0
500,2014-05-16,4148.0
501,2014-05-17,4147.95
502,2014-05-18,4147.98
503,2014-05-19,4147.99
504,2014-05-20,4147.93
505,2014-05-21,4147.77
506,2014-05-22,4147.7
507,2014-05-23,4147.71
508,2014-05-24,4147.7
509,2014-05-25,4147.76
510,2014-05-26,4147.79
511,2014-05-27,4147.76
512,2014-05-28,4147.76
513,2014-05-29,4147.7
514,2014-05-30,4147.65
515,2014-05-31,4147.64
516,2014-06-01,4147.62
517,2014-06-02,4147.66
518,2014-06-03,4147.8
519,2014-06-04,4147.82
520,2014-06-05,4147.79
521,2014-06-06,4147.76
522,2014-06-07,4147.77
523,2014-06-08,4147.77
524,2014-06-09,4147.79
525,2014-06-10,4147.8
526,2014-06-11,4147.8
527,2014-06-12,4147.78
528,2014-06-13,4147.79
529,2014-06-14,4147.77
530,2014-06-15,4147.78
531,2014-06-16,4147.81
532,2014-06-17,4147.85
533,2014-06-18,4147.67
534,2014-06-19,4147.66
535,2014-06-20,4147.59
536,2014-06-21,4147.6
537,2014-06-22,4147.61
538,2014-06-23,4147.59
539,2014-06-24,4147.65
540,2014-06-25,4147.74
541,2014-06-26,4147.8
542,2014-06-27,4147.89
543,2014-06-28,4147.8
544,2014-06-29,4147.68
545,2014-06-30,4147.67
546,2014-07-01,4147.72
547,2014-07-02,4147.72
548,2014-07-03,4147.77
549,2014-07-04,4147.72
550,2014-07-05,4147.76
551,2014-07-06,4147.74
552,2014-07-07,4147.78
553,2014-07-08,4147.75
554,2014-07-09,4147.76
555,2014-07-10,4147.77
556,2014-07-11,4147.79
557,2014-07-12,4147.74
558,2014-07-13,4147.76
559,2014-07-14,4147.76
560,2014-07-15,4147.74
561,2014-07-16,4147.72
562,2014-07-17,4147.76
563,2014-07-18,4147.72
564,2014-07-19,4147.72
565,2014-07-20,4147.7
566,2014-07-21,4147.65
567,2014-07-22,4147.73
568,2014-07-23,4147.74
569,2014-07-24,4147.77
570,2014-07-25,4147.69
571,2014-07-26,4147.68
572,2014-07-27,4147.68
573,2014-07-28,4147.77
574,2014-07-29,4147.79
575,2014-07-30,4147.77
576,2014-07-31,4147.78
577,2014-08-01,4147.73
578,2014-08-02,4147.7
579,2014-08-03,4147.67
580,2014-08-04,4147.66
581,2014-08-05,4147.69
582,2014-08-06,4147.7
583,2014-08-07,4147.7
584,2014-08-08,4147.69
585,2014-08-09,4147.69
586,2014-08-10,4147.7
587,2014-08-11,4147.73
588,2014-08-12,4147.82
589,2014-08-13,4147.79
590,2014-08-14,4147.81
591,2014-08-15,4147.74
592,2014-08-16,4147.7
593,2014-08-17,4147.67
594,2014-08-18,4147.63
595,2014-08-19,4147.64
596,2014-08-20,4147.62
597,2014-08-21,4147.64
598,2014-08-22,4147.63
599,2014-08-23,4147.58
600,2014-08-24,4147.64
601,2014-08-25,4147.62
602,2014-08-26,4147.63
603,2014-08-27,4147.62
604,2014-08-28,4147.62
605,2014-08-29,4147.59
606,2014-08-30,4147.5
607,2014-08-31,4147.43
608,2014-09-01,4147.29
609,2014-09-02,4147.17
610,2014-09-03,4146.99
611,2014-09-04,4146.71
612,2014-09-05,4146.38
613,2014-09-06,4146.06
614,2014-09-07,4145.67
615,2014-09-08,4145.2
616,2014-09-09,4144.8
617,2014-09-10,4144.48
618,2014-09-11,4144.08
619,2014-09-12,4143.74
620,2014-09-13,4143.38
621,2014-09-14,4142.97
622,2014-09-15,4142.63
623,2014-09-16,4142.3
624,2014-09-17,4141.99
625,2014-09-18,4141.69
626,2014-09-19,4141.32
627,2014-09-20,4141.0
628,2014-09-21,4140.6
629,2014-09-22,4140.12
630,2014-09-23,4139.76
631,2014-09-24,4139.51
632,2014-09-25,4139.38
633,2014-09-26,4138.99
634,2014-09-27,4138.58
635,2014-09-28,4138.2
636,2014-09-29,4137.81
637,2014-09-30,4137.45
638,2014-10-01,4137.05
639,2014-10-02,4136.72
640,2014-10-03,4136.3
641,2014-10-04,4135.85
642,2014-10-05,4135.35
643,2014-10-06,4134.96
644,2014-10-07,4134.45
645,2014-10-08,4134.16
646,2014-10-09,4133.72
647,2014-10-10,4133.33
648,2014-10-11,4132.86
649,2014-10-12,4132.46
650,2014-10-13,4132.03
651,2014-10-14,4131.6
652,2014-10-15,4131.25
653,2014-10-16,4130.89
654,2014-10-17,4130.5
655,2014-10-18,4129.93
656,2014-10-19,4129.57
657,2014-10-20,4129.22
658,2014-10-21,4128.71
659,2014-10-22,4128.31
660,2014-10-23,4127.89
661,2014-10-24,4127.54
662,2014-10-25,4127.2
663,2014-10-26,4126.87
664,2014-10-27,4126.47
665,2014-10-28,4126.38
666,2014-10-29,4126.1
667,2014-10-30,4125.58
668,2014-10-31,4125.29
669,2014-11-01,4124.91
670,2014-11-02,4124.85
671,2014-11-03,4124.78
672,2014-11-04,4124.85
673,2014-11-05,4124.875
674,2014-11-06,4124.9
675,2014-11-07,4124.79
676,2014-11-08,4124.83
677,2014-11-09,4124.7
678,2014-11-10,4124.6
679,2014-11-11,4124.54
680,2014-11-12,4124.54
681,2014-11-13,4124.97
682,2014-11-14,4125.89
683,2014-11-15,4125.87
684,2014-11-16,4125.72
685,2014-11-17,4125.47
686,2014-11-18,4125.19
687,2014-11-19,4124.96
688,2014-11-20,4124.84
689,2014-11-21,4124.9
690,2014-11-22,4125.6
691,2014-11-23,4125.35
692,2014-11-24,4125.23
693,2014-11-25,4125.29
694,2014-11-26,4125.05
695,2014-11-27,4124.97
696,2014-11-28,4125.04
697,2014-11-29,4125.31
698,2014-11-30,4125.15
699,2014-12-01,4125.0
700,2014-12-02,4124.79
701,2014-12-03,4124.85
702,2014-12-04,4124.88
703,2014-12-05,4124.85
704,2014-12-06,4125.06
705,2014-12-07,4125.07
706,2014-12-08,4125.06
707,2014-12-09,4125.06
708,2014-12-10,4125.17
709,2014-12-11,4125.3
710,2014-12-12,4125.49
711,2014-12-13,4125.6
712,2014-12-14,4125.5
713,2014-12-15,4125.53
714,2014-12-16,4125.54
715,2014-12-17,4125.49
716,2014-12-18,4125.4
717,2014-12-19,4125.41
718,2014-12-20,4125.96
719,2014-12-21,4128.93
720,2014-12-22,4132.34
721,2014-12-23,4134.03
722,2014-12-24,4135.04
723,2014-12-25,4135.33
724,2014-12-26,4135.31
725,2014-12-27,4135.13
726,2014-12-28,4134.92
727,2014-12-29,4134.36
728,2014-12-30,4134.32
729,2014-12-31,4134.3
