,datetime,149696_62614_00003,149697_00010_00001,149698_00010_00002,149699_00010_00003
420,2014-02-25,909.72,1.5,1.2,1.3
421,2014-02-26,909.72,1.3,1.1,1.2
422,2014-02-27,909.71,1.3,1.1,1.2
423,2014-02-28,909.71,1.2,1.0,1.1
424,2014-03-01,909.7,1.1,0.9,1.0
425,2014-03-02,909.7,1.1,0.9,1.0
426,2014-03-03,909.71,1.1,0.9,1.0
427,2014-03-04,909.71,1.1,0.9,1.0
428,2014-03-05,909.72,1.1,0.8,1.0
429,2014-03-06,909.75,2.3,0.9,1.5
430,2014-03-07,909.75,2.8,1.5,2.0
431,2014-03-08,909.74,3.1,1.7,2.3
432,2014-03-09,909.73,6.0,2.1,3.7
433,2014-03-10,909.73,6.2,3.4,4.4
434,2014-03-11,909.76,6.8,3.7,5.3
435,2014-03-12,909.81,6.4,4.8,5.4
436,2014-03-13,909.85,6.0,4.0,4.9
437,2014-03-14,909.88,5.8,4.1,4.8
438,2014-03-15,909.9,5.8,3.8,4.7
439,2014-03-16,909.93,6.9,4.0,5.2
440,2014-03-17,909.95,8.0,4.7,5.9
441,2014-03-18,909.96,7.4,3.9,5.2
442,2014-03-19,910.01,6.8,4.6,5.2
443,2014-03-20,910.05,6.4,4.3,5.2
444,2014-03-21,910.06,8.0,4.1,5.5
445,2014-03-22,910.08,6.1,4.9,5.4
446,2014-03-23,910.09,7.9,4.3,5.9
447,2014-03-24,910.09,7.3,5.0,6.0
448,2014-03-25,910.08,6.0,5.0,5.5
449,2014-03-26,910.08,6.9,4.7,5.5
450,2014-03-27,910.09,7.7,5.5,6.3
451,2014-03-28,910.08,5.8,5.0,5.4
452,2014-03-29,910.08,6.9,5.2,5.8
453,2014-03-30,910.09,8.2,5.2,6.1
454,2014-03-31,910.09,9.0,5.2,6.6
455,2014-04-01,910.09,11.0,6.0,7.6
456,2014-04-02,910.08,10.4,6.6,8.2
457,2014-04-03,910.07,8.8,6.2,7.7
458,2014-04-04,910.06,10.6,5.8,7.3
459,2014-04-05,910.07,8.4,6.2,7.1
460,2014-04-06,910.07,10.1,5.8,7.5
461,2014-04-07,910.07,9.4,6.5,7.9
462,2014-04-08,910.09,9.1,6.6,7.7
463,2014-04-09,910.19,8.8,6.5,7.6
464,2014-04-10,910.21,10.1,7.1,8.2
465,2014-04-11,910.25,13.1,8.1,9.8
466,2014-04-12,910.3,11.6,8.7,9.8
467,2014-04-13,910.3,12.4,8.0,9.8
468,2014-04-14,910.32,9.9,8.1,8.9
469,2014-04-15,910.38,11.4,7.9,9.3
470,2014-04-16,910.4,10.7,8.4,9.3
471,2014-04-17,910.42,10.2,8.8,9.4
472,2014-04-18,910.45,13.1,8.6,10.3
473,2014-04-19,910.46,10.5,9.0,9.6
474,2014-04-20,910.47,11.1,8.7,9.5
475,2014-04-21,910.47,9.7,8.5,9.2
476,2014-04-22,910.51,9.9,9.0,9.4
477,2014-04-23,910.55,12.5,8.5,10.1
478,2014-04-24,910.53,10.6,9.8,10.4
479,2014-04-25,910.56,12.3,9.6,10.6
480,2014-04-26,910.62,12.9,9.9,11.1
481,2014-04-27,910.66,11.6,10.5,11.0
482,2014-04-28,910.69,12.7,10.1,10.8
483,2014-04-29,910.73,11.8,10.1,10.8
484,2014-04-30,910.78,13.8,9.7,11.0
485,2014-05-01,910.83,17.0,10.5,12.3
486,2014-05-02,910.85,13.6,11.6,12.2
487,2014-05-03,910.88,14.7,11.9,13.2
488,2014-05-04,910.89,15.4,13.2,14.3
489,2014-05-05,910.9,15.5,13.5,14.2
490,2014-05-06,910.93,16.3,12.8,14.4
491,2014-05-07,911.01,17.5,13.4,15.1
492,2014-05-08,911.14,15.4,12.0,13.9
493,2014-05-09,911.31,14.8,12.0,13.3
494,2014-05-10,911.5,16.6,13.5,14.7
495,2014-05-11,911.64,16.4,13.9,15.0
496,2014-05-12,911.71,15.0,13.3,14.0
497,2014-05-13,911.76,18.3,13.4,15.4
498,2014-05-14,911.81,19.4,14.9,16.1
499,2014-05-15,911.88,18.2,15.1,16.5
500,2014-05-16,912.04,18.9,17.3,17.9
501,2014-05-17,912.27,18.1,15.2,16.9
502,2014-05-18,912.6,17.1,14.7,15.9
503,2014-05-19,912.84,18.7,15.5,16.7
504,2014-05-20,912.9,21.4,15.5,17.6
505,2014-05-21,912.88,21.4,17.0,18.4
506,2014-05-22,912.86,22.0,18.4,19.7
