,datetime,150401_62614_32400,150402_00054_32400,150402_00054_32400_cd
418,2014-02-23,231.52,364300.0,
419,2014-02-24,232.29,364300.0,
420,2014-02-25,233.35,364300.0,
421,2014-02-26,234.18,364300.0,
422,2014-02-27,234.64,364300.0,
423,2014-02-28,234.76,364300.0,
424,2014-03-01,234.62,364300.0,
425,2014-03-02,235.12,364300.0,
426,2014-03-03,235.42,364300.0,
427,2014-03-04,233.25,364300.0,
428,2014-03-05,231.21,364300.0,
429,2014-03-06,230.78,364300.0,
430,2014-03-07,228.17,364300.0,
431,2014-03-08,225.82,364300.0,
432,2014-03-09,225.0,364300.0,
433,2014-03-10,225.88,364300.0,
434,2014-03-11,228.55,364300.0,
435,2014-03-12,229.94,364300.0,
436,2014-03-13,230.22,364300.0,
437,2014-03-14,229.99,364300.0,
438,2014-03-15,229.55,364300.0,
439,2014-03-16,229.31,364300.0,
440,2014-03-17,229.12,364300.0,
441,2014-03-18,228.82,364300.0,
442,2014-03-19,229.46,364300.0,
443,2014-03-20,229.66,364300.0,
444,2014-03-21,230.02,364300.0,
445,2014-03-22,230.03,364300.0,
446,2014-03-23,231.45,364300.0,
447,2014-03-24,232.43,364300.0,
448,2014-03-25,233.23,364300.0,
449,2014-03-26,234.17,364300.0,
450,2014-03-27,234.27,364300.0,
451,2014-03-28,234.46,364300.0,
452,2014-03-29,234.98,364300.0,
453,2014-03-30,232.91,364300.0,
454,2014-03-31,232.9,364300.0,
455,2014-04-01,233.52,364300.0,
456,2014-04-02,233.91,364300.0,
457,2014-04-03,234.33,364300.0,
458,2014-04-04,234.73,364300.0,
459,2014-04-05,235.59,364300.0,
460,2014-04-06,235.14,364300.0,
461,2014-04-07,236.55,364300.0,
462,2014-04-08,236.32,364300.0,
463,2014-04-09,235.21,364300.0,
464,2014-04-10,233.78,364300.0,
465,2014-04-11,232.23,364300.0,
466,2014-04-12,230.87,364300.0,
467,2014-04-13,230.87,364300.0,
468,2014-04-14,231.0,364300.0,
469,2014-04-15,230.81,364300.0,
470,2014-04-16,232.01,364300.0,
471,2014-04-17,233.43,364300.0,
472,2014-04-18,234.24,364300.0,
473,2014-04-19,234.35,364300.0,
474,2014-04-20,234.01,364300.0,
475,2014-04-21,234.12,364300.0,
476,2014-04-22,233.91,364300.0,
477,2014-04-23,234.57,364300.0,
478,2014-04-24,235.29,364300.0,
479,2014-04-25,235.23,364300.0,
480,2014-04-26,234.52,364300.0,
481,2014-04-27,233.69,364300.0,
482,2014-04-28,234.93,364300.0,
483,2014-04-29,235.6,364300.0,
484,2014-04-30,236.11,364300.0,
485,2014-05-01,235.86,364300.0,
486,2014-05-02,234.28,364300.0,
487,2014-05-03,234.07,364300.0,
488,2014-05-04,234.36,364300.0,
489,2014-05-05,235.08,364300.0,
490,2014-05-06,235.93,364300.0,
491,2014-05-07,236.29,364300.0,
492,2014-05-08,236.76,364300.0,
493,2014-05-09,237.56,364300.0,
494,2014-05-10,238.05,364300.0,
495,2014-05-11,238.43,364300.0,
496,2014-05-12,236.43,364300.0,
497,2014-05-13,234.17,364300.0,
498,2014-05-14,233.51,364300.0,
499,2014-05-15,234.17,364300.0,
500,2014-05-16,233.31,364300.0,
501,2014-05-17,232.38,364300.0,
502,2014-05-18,232.92,364300.0,
503,2014-05-19,232.19,364300.0,
504,2014-05-20,232.7,364300.0,
505,2014-05-21,233.69,364300.0,
506,2014-05-22,235.66,364300.0,
507,2014-05-23,236.48,364300.0,
508,2014-05-24,237.16,364300.0,
509,2014-05-25,238.6,364300.0,
510,2014-05-26,238.49,364300.0,
511,2014-05-27,238.56,364300.0,
512,2014-05-28,237.18,364300.0,
513,2014-05-29,237.21,364300.0,
514,2014-05-30,236.39,364300.0,
515,2014-05-31,234.65,364300.0,
516,2014-06-01,235.1,364300.0,
517,2014-06-02,234.87,364300.0,
518,2014-06-03,234.28,364300.0,
519,2014-06-04,234.09,364300.0,
520,2014-06-05,234.14,364300.0,
521,2014-06-06,234.22,364300.0,
522,2014-06-07,233.8,364300.0,
523,2014-06-08,233.49,364300.0,
524,2014-06-09,233.49,364300.0,
525,2014-06-10,233.8,364300.0,
526,2014-06-11,233.43,364300.0,
527,2014-06-12,232.98,364300.0,
528,2014-06-13,232.68,364300.0,
529,2014-06-14,232.09,364300.0,
530,2014-06-15,231.75,364300.0,
531,2014-06-16,230.99,364300.0,
532,2014-06-17,230.52,364300.0,
533,2014-06-18,230.67,364300.0,
534,2014-06-19,230.84,364300.0,
535,2014-06-20,230.66,364300.0,
536,2014-06-21,231.87,364300.0,
537,2014-06-22,232.65,364300.0,
538,2014-06-23,233.18,364300.0,
539,2014-06-24,233.42,364300.0,
540,2014-06-25,234.1,364300.0,
541,2014-06-26,233.75,364300.0,
542,2014-06-27,233.48,364300.0,
543,2014-06-28,232.33,364300.0,
544,2014-06-29,231.32,364300.0,
545,2014-06-30,230.5,364300.0,
546,2014-07-01,229.51,364300.0,
547,2014-07-02,228.86,364300.0,
548,2014-07-03,229.1,364300.0,
549,2014-07-04,230.06,364300.0,
550,2014-07-05,230.63,364300.0,
551,2014-07-06,231.21,364300.0,
552,2014-07-07,232.13,364300.0,
553,2014-07-08,232.23,364300.0,
554,2014-07-09,231.79,364300.0,
555,2014-07-10,232.32,364300.0,
556,2014-07-11,232.64,364300.0,
557,2014-07-12,233.59,364300.0,
558,2014-07-13,234.29,364300.0,
559,2014-07-14,235.23,364300.0,
560,2014-07-15,234.93,364300.0,
561,2014-07-16,234.55,364300.0,
562,2014-07-17,234.17,364300.0,
563,2014-07-18,233.79,364300.0,
564,2014-07-19,233.39,364300.0,
565,2014-07-20,233.0,364300.0,
566,2014-07-21,233.12,364300.0,
567,2014-07-22,233.31,364300.0,
568,2014-07-23,233.21,364300.0,
569,2014-07-24,233.17,364300.0,
570,2014-07-25,232.62,364300.0,
571,2014-07-26,232.05,364300.0,
572,2014-07-27,232.24,364300.0,
573,2014-07-28,232.32,364300.0,
574,2014-07-29,232.36,364300.0,
575,2014-07-30,232.28,364300.0,
576,2014-07-31,231.83,364300.0,
577,2014-08-01,231.76,364300.0,
578,2014-08-02,231.99,364300.0,
579,2014-08-03,231.89,364300.0,
580,2014-08-04,231.72,364300.0,
581,2014-08-05,231.64,364300.0,
582,2014-08-06,231.59,364300.0,
583,2014-08-07,231.97,364300.0,
584,2014-08-08,232.12,364300.0,
585,2014-08-09,232.22,364300.0,
586,2014-08-10,232.52,364300.0,
587,2014-08-11,232.94,364300.0,
588,2014-08-12,233.17,364300.0,
589,2014-08-13,233.62,364300.0,
590,2014-08-14,233.68,364300.0,
591,2014-08-15,233.76,364300.0,
592,2014-08-16,233.7,364300.0,
593,2014-08-17,233.83,364300.0,
594,2014-08-18,233.99,364300.0,
595,2014-08-19,234.0,364300.0,
596,2014-08-20,233.91,364300.0,
597,2014-08-21,233.5,364300.0,
598,2014-08-22,233.34,364300.0,
599,2014-08-23,233.63,364300.0,
600,2014-08-24,233.65,364300.0,
601,2014-08-25,233.48,364300.0,
602,2014-08-26,233.75,364300.0,
603,2014-08-27,234.2,364300.0,
604,2014-08-28,234.8,364300.0,
605,2014-08-29,234.77,364300.0,
606,2014-08-30,234.81,364300.0,
607,2014-08-31,235.02,364300.0,
608,2014-09-01,234.95,364300.0,
609,2014-09-02,234.35,364300.0,
610,2014-09-03,233.81,364300.0,
611,2014-09-04,233.49,364300.0,
612,2014-09-05,233.34,364300.0,
613,2014-09-06,233.2,364300.0,
614,2014-09-07,232.66,364300.0,
615,2014-09-08,232.07,364300.0,
