,datetime,GREEN_PETER_LAKE_NEAR_FOSTER__OR.
793,2015-12-03,940.78
794,2015-12-04,940.13
795,2015-12-05,938.57
796,2015-12-06,937.25
797,2015-12-07,945.23
798,2015-12-08,949.02
799,2015-12-09,951.84
800,2015-12-10,952.42
801,2015-12-11,951.92
802,2015-12-12,953.23
803,2015-12-13,956.73
804,2015-12-14,956.01
805,2015-12-15,954.07
806,2015-12-16,951.13
807,2015-12-17,955.92
808,2015-12-18,963.35
809,2015-12-19,964.16
810,2015-12-20,964.06
811,2015-12-21,965.3
812,2015-12-22,965.78
813,2015-12-23,963.8
814,2015-12-24,960.75
815,2015-12-25,957.1
816,2015-12-26,952.91
817,2015-12-27,947.63
818,2015-12-28,942.85
819,2015-12-29,940.26
820,2015-12-30,938.06
821,2015-12-31,936.8
822,2016-01-01,935.48
823,2016-01-02,934.04
824,2016-01-03,932.59
825,2016-01-04,931.16
826,2016-01-05,929.81
827,2016-01-06,928.61
828,2016-01-07,927.92
829,2016-01-08,927.1
830,2016-01-09,926.36
831,2016-01-10,925.58
832,2016-01-11,924.91
833,2016-01-12,924.94
834,2016-01-13,926.35
835,2016-01-14,926.8
836,2016-01-15,926.64
837,2016-01-16,927.36
838,2016-01-17,929.42
839,2016-01-18,931.31
840,2016-01-19,933.08
841,2016-01-20,935.21
842,2016-01-21,936.1
843,2016-01-22,936.15
844,2016-01-23,935.88
845,2016-01-24,935.3
846,2016-01-25,934.38
847,2016-01-26,933.16
848,2016-01-27,931.8
849,2016-01-28,932.3
850,2016-01-29,933.45
851,2016-01-30,934.02
852,2016-01-31,933.5
853,2016-02-01,932.36
854,2016-02-02,931.32
855,2016-02-03,931.77
856,2016-02-04,934.11
857,2016-02-05,935.73
858,2016-02-06,937.9
859,2016-02-07,939.64
860,2016-02-08,941.67
861,2016-02-09,943.44
862,2016-02-10,945.2
863,2016-02-11,946.79
864,2016-02-12,948.42
865,2016-02-13,950.21
866,2016-02-14,954.97
867,2016-02-15,958.77
868,2016-02-16,961.29
869,2016-02-17,962.87
870,2016-02-18,963.78
871,2016-02-19,964.99
872,2016-02-20,965.82
873,2016-02-21,966.79
874,2016-02-22,967.78
875,2016-02-23,968.53
876,2016-02-24,969.11
877,2016-02-25,969.51
878,2016-02-26,969.65
879,2016-02-27,970.61
880,2016-02-28,971.42
881,2016-02-29,972.07
882,2016-03-01,972.84
883,2016-03-02,973.57
884,2016-03-03,973.74
885,2016-03-04,972.92
886,2016-03-05,972.1
887,2016-03-06,971.6
888,2016-03-07,970.93
889,2016-03-08,970.87
890,2016-03-09,971.09
891,2016-03-10,972.28
892,2016-03-11,973.51
893,2016-03-12,974.91
894,2016-03-13,977.12
895,2016-03-14,979.44
896,2016-03-15,981.4
897,2016-03-16,983.35
898,2016-03-17,984.76
899,2016-03-18,984.48
900,2016-03-19,983.83
901,2016-03-20,983.31
902,2016-03-21,983.05
903,2016-03-22,984.05
904,2016-03-23,985.06
905,2016-03-24,986.44
906,2016-03-25,987.43
907,2016-03-26,988.09
908,2016-03-27,988.84
909,2016-03-28,989.5
910,2016-03-29,990.07
911,2016-03-30,990.47
912,2016-03-31,990.73
913,2016-04-01,991.31
914,2016-04-02,991.84
915,2016-04-03,992.34
916,2016-04-04,993.08
917,2016-04-05,993.65
918,2016-04-06,994.07
919,2016-04-07,994.44
920,2016-04-08,994.82
921,2016-04-09,994.7
922,2016-04-10,994.55
923,2016-04-11,994.31
924,2016-04-12,994.2
925,2016-04-13,994.2
926,2016-04-14,994.92
927,2016-04-15,996.1
928,2016-04-16,996.97
929,2016-04-17,997.6
930,2016-04-18,997.98
931,2016-04-19,998.27
932,2016-04-20,998.5
933,2016-04-21,998.72
934,2016-04-22,997.97
935,2016-04-23,997.34
936,2016-04-24,997.12
937,2016-04-25,996.5
938,2016-04-26,996.01
939,2016-04-27,995.82
940,2016-04-28,995.94
941,2016-04-29,996.0
942,2016-04-30,996.16
943,2016-05-01,996.23
944,2016-05-02,996.29
945,2016-05-03,996.2
946,2016-05-04,996.13
947,2016-05-05,995.99
948,2016-05-06,995.77
949,2016-05-07,995.51
950,2016-05-08,995.24
951,2016-05-09,994.93
952,2016-05-10,994.6
953,2016-05-11,994.22
954,2016-05-12,993.81
955,2016-05-13,993.34
956,2016-05-14,992.92
957,2016-05-15,992.49
958,2016-05-16,992.22
959,2016-05-17,991.91
960,2016-05-18,991.55
961,2016-05-19,991.28
962,2016-05-20,991.08
963,2016-05-21,990.93
964,2016-05-22,990.81
965,2016-05-23,990.75
966,2016-05-24,990.74
967,2016-05-25,990.59
968,2016-05-26,990.47
969,2016-05-27,990.25
970,2016-05-28,990.02
971,2016-05-29,989.77
972,2016-05-30,989.51
973,2016-05-31,989.23
974,2016-06-01,988.93
975,2016-06-02,988.64
976,2016-06-03,988.28
977,2016-06-04,987.92
978,2016-06-05,987.54
979,2016-06-06,987.14
980,2016-06-07,986.71
981,2016-06-08,986.26
982,2016-06-09,985.82
983,2016-06-10,985.46
984,2016-06-11,985.03
985,2016-06-12,984.6
986,2016-06-13,984.22
987,2016-06-14,983.9
988,2016-06-15,983.6
989,2016-06-16,983.18
990,2016-06-17,982.71
991,2016-06-18,982.45
992,2016-06-19,982.17
993,2016-06-20,981.79
994,2016-06-21,981.43
995,2016-06-22,981.05
996,2016-06-23,980.64
997,2016-06-24,980.28
998,2016-06-25,979.88
999,2016-06-26,979.46
1000,2016-06-27,979.01
1001,2016-06-28,978.54
1002,2016-06-29,978.07
1003,2016-06-30,977.54
1004,2016-07-01,977.16
1005,2016-07-02,976.74
1006,2016-07-03,976.33
1007,2016-07-04,975.97
1008,2016-07-05,975.56
1009,2016-07-06,975.15
1010,2016-07-07,974.73
1011,2016-07-08,974.44
1012,2016-07-09,974.23
1013,2016-07-10,974.03
1014,2016-07-11,973.84
1015,2016-07-12,973.59
1016,2016-07-13,973.31
1017,2016-07-14,972.96
1018,2016-07-15,972.62
1019,2016-07-16,972.24
1020,2016-07-17,971.81
1021,2016-07-18,971.47
1022,2016-07-19,971.14
1023,2016-07-20,970.77
1024,2016-07-21,970.4
1025,2016-07-22,970.01
1026,2016-07-23,969.62
1027,2016-07-24,969.19
1028,2016-07-25,968.78
1029,2016-07-26,968.36
1030,2016-07-27,967.93
1031,2016-07-28,967.5
1032,2016-07-29,967.07
1033,2016-07-30,966.63
1034,2016-07-31,966.21
1035,2016-08-01,965.76
1036,2016-08-02,965.35
1037,2016-08-03,964.7
1038,2016-08-04,964.26
1039,2016-08-05,963.85
1040,2016-08-06,963.39
1041,2016-08-07,962.91
1042,2016-08-08,962.44
1043,2016-08-09,961.98
1044,2016-08-10,961.52
