,datetime,FERN_RIDGE_LAKE_NEAR_ELMIRA__OR.
668,2015-05-31,371.68
669,2015-06-01,371.7
670,2015-06-02,371.7
671,2015-06-03,371.69
672,2015-06-04,371.69
673,2015-06-05,371.67
674,2015-06-06,371.67
675,2015-06-07,371.66
676,2015-06-08,371.65
677,2015-06-09,371.63
678,2015-06-10,371.61
679,2015-06-11,371.58
680,2015-06-12,371.54
681,2015-06-13,371.51
682,2015-06-14,371.49
683,2015-06-15,371.46
684,2015-06-16,371.44
685,2015-06-17,371.42
686,2015-06-18,371.38
687,2015-06-19,371.34
688,2015-06-20,371.31
689,2015-06-21,371.28
690,2015-06-22,371.25
691,2015-06-23,371.23
692,2015-06-24,371.2
693,2015-06-25,371.17
694,2015-06-26,371.15
695,2015-06-27,371.13
696,2015-06-28,371.1
697,2015-06-29,371.07
698,2015-06-30,371.04
699,2015-07-01,371.0
700,2015-07-02,370.97
701,2015-07-03,370.94
702,2015-07-04,370.92
703,2015-07-05,370.88
704,2015-07-06,370.85
705,2015-07-07,370.83
706,2015-07-08,370.79
707,2015-07-09,370.74
708,2015-07-10,370.72
709,2015-07-11,370.7
710,2015-07-12,370.68
711,2015-07-13,370.65
712,2015-07-14,370.62
713,2015-07-15,370.58
714,2015-07-16,370.54
715,2015-07-17,370.48
716,2015-07-18,370.48
717,2015-07-19,370.44
718,2015-07-20,370.4
719,2015-07-21,370.37
720,2015-07-22,370.33
721,2015-07-23,370.3
722,2015-07-24,370.27
723,2015-07-25,370.23
724,2015-07-26,370.2
725,2015-07-27,370.16
726,2015-07-28,370.12
727,2015-07-29,370.08
728,2015-07-30,370.07
729,2015-07-31,370.03
730,2015-08-01,370.01
731,2015-08-02,369.96
732,2015-08-03,369.94
733,2015-08-04,369.9
734,2015-08-05,369.86
735,2015-08-06,369.82
736,2015-08-07,369.8
737,2015-08-08,369.76
738,2015-08-09,369.73
739,2015-08-10,369.69
740,2015-08-11,369.67
741,2015-08-12,369.63
742,2015-08-13,369.6
743,2015-08-14,369.56
744,2015-08-15,369.52
745,2015-08-16,369.48
746,2015-08-17,369.46
747,2015-08-18,369.43
748,2015-08-19,369.4
749,2015-08-20,369.36
750,2015-08-21,369.31
751,2015-08-22,369.29
752,2015-08-23,369.26
753,2015-08-24,369.22
754,2015-08-25,369.2
755,2015-08-26,369.16
756,2015-08-27,369.13
757,2015-08-28,369.1
758,2015-08-29,369.08
759,2015-08-30,369.06
760,2015-08-31,369.03
761,2015-09-01,369.0
762,2015-09-02,368.97
763,2015-09-03,368.94
764,2015-09-04,368.93
765,2015-09-05,368.89
766,2015-09-06,368.86
767,2015-09-07,368.85
768,2015-09-08,368.82
769,2015-09-09,368.78
770,2015-09-10,368.77
771,2015-09-11,368.74
772,2015-09-12,368.71
773,2015-09-13,368.68
774,2015-09-14,368.64
775,2015-09-15,368.62
776,2015-09-16,368.59
777,2015-09-17,368.62
778,2015-09-18,368.61
779,2015-09-19,368.58
780,2015-09-20,368.56
781,2015-09-21,368.54
782,2015-09-22,368.52
783,2015-09-23,368.49
784,2015-09-24,368.47
785,2015-09-25,368.45
786,2015-09-26,368.41
787,2015-09-27,368.4
788,2015-09-28,368.38
789,2015-09-29,368.36
790,2015-09-30,368.34
791,2015-10-01,368.32
792,2015-10-02,368.3
793,2015-10-03,368.24
794,2015-10-04,368.25
795,2015-10-05,368.24
796,2015-10-06,368.21
797,2015-10-07,368.19
798,2015-10-08,368.16
799,2015-10-09,368.12
800,2015-10-10,368.11
801,2015-10-11,368.07
802,2015-10-12,368.03
803,2015-10-13,367.99
804,2015-10-14,367.96
805,2015-10-15,367.87
806,2015-10-16,367.61
807,2015-10-17,367.33
808,2015-10-18,367.03
809,2015-10-19,366.76
810,2015-10-20,366.44
811,2015-10-21,366.13
812,2015-10-22,365.81
813,2015-10-23,365.47
814,2015-10-24,365.14
815,2015-10-25,364.85
816,2015-10-26,364.48
817,2015-10-27,364.12
818,2015-10-28,363.79
819,2015-10-29,363.42
820,2015-10-30,363.06
821,2015-10-31,362.8
822,2015-11-01,362.45
823,2015-11-02,362.08
824,2015-11-03,361.65
825,2015-11-04,361.19
826,2015-11-05,360.71
827,2015-11-06,360.21
828,2015-11-07,359.72
829,2015-11-08,359.24
830,2015-11-09,358.73
831,2015-11-10,358.18
832,2015-11-11,357.62
833,2015-11-12,356.96
834,2015-11-13,356.27
835,2015-11-14,355.46
836,2015-11-15,354.92
837,2015-11-16,354.32
838,2015-11-17,353.87
839,2015-11-18,353.66
840,2015-11-19,353.84
841,2015-11-20,353.89
842,2015-11-21,353.84
843,2015-11-22,353.75
844,2015-11-23,353.75
845,2015-11-24,353.86
846,2015-11-25,353.89
847,2015-11-26,353.89
848,2015-11-27,353.88
849,2015-11-28,353.86
850,2015-11-29,353.84
851,2015-11-30,353.81
852,2015-12-01,353.89
853,2015-12-02,354.04
854,2015-12-03,354.13
855,2015-12-04,354.09
856,2015-12-05,354.05
857,2015-12-06,354.15
858,2015-12-07,355.2
859,2015-12-08,356.1
860,2015-12-09,357.0
861,2015-12-10,358.0
862,2015-12-11,358.62
863,2015-12-12,359.32
864,2015-12-13,360.65
865,2015-12-14,361.75
866,2015-12-15,362.23
867,2015-12-16,362.3
868,2015-12-17,363.12
869,2015-12-18,364.52
870,2015-12-19,365.42
871,2015-12-20,365.99
872,2015-12-21,366.6
873,2015-12-22,366.84
874,2015-12-23,366.63
875,2015-12-24,366.29
876,2015-12-25,365.79
877,2015-12-26,365.11
878,2015-12-27,364.24
879,2015-12-28,363.77
880,2015-12-29,364.46
881,2015-12-30,365.08
882,2015-12-31,365.26
883,2016-01-01,364.29
884,2016-01-02,362.97
885,2016-01-03,361.45
886,2016-01-04,360.07
887,2016-01-05,358.73
888,2016-01-06,357.09
889,2016-01-07,355.27
890,2016-01-08,352.96
891,2016-01-09,351.36
892,2016-01-10,351.6933333333333
893,2016-01-11,352.0266666666667
894,2016-01-12,352.36
895,2016-01-13,354.04
896,2016-01-14,354.55
897,2016-01-15,354.55
898,2016-01-16,354.24
899,2016-01-17,354.72
900,2016-01-18,355.68
901,2016-01-19,357.01
902,2016-01-20,358.01
903,2016-01-21,358.07
904,2016-01-22,357.77
905,2016-01-23,357.08
906,2016-01-24,356.01
907,2016-01-25,355.42
908,2016-01-26,354.86
909,2016-01-27,354.53
910,2016-01-28,354.94
911,2016-01-29,355.7
912,2016-01-30,356.58
913,2016-01-31,357.18
914,2016-02-01,357.52
915,2016-02-02,357.6
916,2016-02-03,357.58
917,2016-02-04,357.81
918,2016-02-05,358.14
919,2016-02-06,358.56
920,2016-02-07,359.01
921,2016-02-08,359.4
922,2016-02-09,359.8
923,2016-02-10,360.17
924,2016-02-11,360.53
925,2016-02-12,360.92
926,2016-02-13,361.28
927,2016-02-14,361.64
928,2016-02-15,361.97
929,2016-02-16,362.25
930,2016-02-17,362.47
931,2016-02-18,362.65
932,2016-02-19,362.99
933,2016-02-20,363.36
934,2016-02-21,363.69
935,2016-02-22,363.97
936,2016-02-23,364.23
937,2016-02-24,364.46
938,2016-02-25,364.67
939,2016-02-26,364.92
940,2016-02-27,365.13
941,2016-02-28,365.33
942,2016-02-29,365.5
943,2016-03-01,365.71
944,2016-03-02,365.91
945,2016-03-03,366.12
946,2016-03-04,366.31
947,2016-03-05,366.55
948,2016-03-06,366.9
949,2016-03-07,367.15
950,2016-03-08,367.37
951,2016-03-09,367.7
952,2016-03-10,368.08
953,2016-03-11,368.44
954,2016-03-12,368.9
955,2016-03-13,369.48
956,2016-03-14,370.17
957,2016-03-15,370.71
958,2016-03-16,371.0
959,2016-03-17,371.1
960,2016-03-18,370.98
961,2016-03-19,370.78
962,2016-03-20,370.64
963,2016-03-21,370.57
964,2016-03-22,370.51
965,2016-03-23,370.49
966,2016-03-24,370.5
967,2016-03-25,370.59
968,2016-03-26,370.74
969,2016-03-27,370.87
970,2016-03-28,370.99
971,2016-03-29,371.1
972,2016-03-30,371.21
973,2016-03-31,371.34
974,2016-04-01,371.45
975,2016-04-02,371.55
976,2016-04-03,371.67
977,2016-04-04,371.76
978,2016-04-05,371.85
979,2016-04-06,371.93
980,2016-04-07,372.0
981,2016-04-08,372.07
982,2016-04-09,372.14
983,2016-04-10,372.18
984,2016-04-11,372.24
985,2016-04-12,372.3
986,2016-04-13,372.37
987,2016-04-14,372.59
988,2016-04-15,372.79
989,2016-04-16,372.9
990,2016-04-17,373.0
991,2016-04-18,373.07
992,2016-04-19,373.13
993,2016-04-20,373.18
994,2016-04-21,373.26
995,2016-04-22,373.34
996,2016-04-23,373.35
997,2016-04-24,373.4
998,2016-04-25,373.46
999,2016-04-26,373.49
1000,2016-04-27,373.53
1001,2016-04-28,373.55
1002,2016-04-29,373.57
1003,2016-04-30,373.58
1004,2016-05-01,373.58
1005,2016-05-02,373.58
1006,2016-05-03,373.57
1007,2016-05-04,373.56
1008,2016-05-05,373.54
1009,2016-05-06,373.52
1010,2016-05-07,373.49
1011,2016-05-08,373.46
1012,2016-05-09,373.46
1013,2016-05-10,373.44
1014,2016-05-11,373.45
1015,2016-05-12,373.44
1016,2016-05-13,373.42
1017,2016-05-14,373.47
1018,2016-05-15,373.5
1019,2016-05-16,373.48
1020,2016-05-17,373.46
1021,2016-05-18,373.44
1022,2016-05-19,373.43
1023,2016-05-20,373.42
1024,2016-05-21,373.42
1025,2016-05-22,373.42
1026,2016-05-23,373.42
1027,2016-05-24,373.41
1028,2016-05-25,373.41
1029,2016-05-26,373.4
1030,2016-05-27,373.39
1031,2016-05-28,373.38
1032,2016-05-29,373.37
1033,2016-05-30,373.36
1034,2016-05-31,373.35
1035,2016-06-01,373.34
1036,2016-06-02,373.33
1037,2016-06-03,373.33
1038,2016-06-04,373.32
1039,2016-06-05,373.31
1040,2016-06-06,373.3
1041,2016-06-07,373.29
1042,2016-06-08,373.26
1043,2016-06-09,373.25
1044,2016-06-10,373.24
1045,2016-06-11,373.21
1046,2016-06-12,373.21
1047,2016-06-13,373.2
1048,2016-06-14,373.2
1049,2016-06-15,373.2
1050,2016-06-16,373.19
1051,2016-06-17,373.19
1052,2016-06-18,373.18
1053,2016-06-19,373.17
1054,2016-06-20,373.16
1055,2016-06-21,373.14
1056,2016-06-22,373.14
1057,2016-06-23,373.11
1058,2016-06-24,373.09
1059,2016-06-25,373.08
