,datetime,N_BATTLE_C_RES_NR_MANZANITA_LAKE_CA.
932,2013-07-21,922.0
933,2013-07-22,917.0
934,2013-07-23,913.0
935,2013-07-24,909.0
936,2013-07-25,905.0
937,2013-07-26,901.0
938,2013-07-27,897.0
939,2013-07-28,893.0
940,2013-07-29,888.0
941,2013-07-30,884.0
942,2013-07-31,880.0
943,2013-08-01,876.0
944,2013-08-02,871.0
945,2013-08-03,867.0
946,2013-08-04,863.0
947,2013-08-05,859.0
948,2013-08-06,855.0
949,2013-08-07,851.0
950,2013-08-08,847.0
951,2013-08-09,843.0
952,2013-08-10,840.0
953,2013-08-11,836.0
954,2013-08-12,832.0
955,2013-08-13,828.0
956,2013-08-14,823.0
957,2013-08-15,819.0
958,2013-08-16,814.0
959,2013-08-17,811.0
960,2013-08-18,806.0
961,2013-08-19,802.0
962,2013-08-20,798.0
963,2013-08-21,796.0
964,2013-08-22,792.0
965,2013-08-23,787.0
966,2013-08-24,783.0
967,2013-08-25,778.0
968,2013-08-26,773.0
969,2013-08-27,768.0
970,2013-08-28,764.0
971,2013-08-29,759.0
972,2013-08-30,754.0
973,2013-08-31,750.0
974,2013-09-01,746.0
975,2013-09-02,741.0
976,2013-09-03,737.0
977,2013-09-04,733.0
978,2013-09-05,729.0
979,2013-09-06,724.0
980,2013-09-07,722.0
981,2013-09-08,718.0
982,2013-09-09,714.0
983,2013-09-10,710.0
984,2013-09-11,700.0
985,2013-09-12,687.0
986,2013-09-13,676.0
987,2013-09-14,664.0
988,2013-09-15,652.0
989,2013-09-16,637.0
990,2013-09-17,620.0
991,2013-09-18,602.0
992,2013-09-19,586.0
993,2013-09-20,569.0
994,2013-09-21,560.0
995,2013-09-22,544.0
996,2013-09-23,529.0
997,2013-09-24,513.0
998,2013-09-25,499.0
999,2013-09-26,483.0
1000,2013-09-27,468.0
1001,2013-09-28,453.0
1002,2013-09-29,441.0
1003,2013-09-30,435.0
1004,2013-10-01,424.0
1005,2013-10-02,410.0
1006,2013-10-03,396.0
1007,2013-10-04,384.0
1008,2013-10-05,373.0
1009,2013-10-06,363.0
1010,2013-10-07,353.0
1011,2013-10-08,343.0
1012,2013-10-09,333.0
1013,2013-10-10,323.0
1014,2013-10-11,313.0
1015,2013-10-12,305.0
1016,2013-10-13,295.0
1017,2013-10-14,285.0
1018,2013-10-15,275.0
1019,2013-10-16,267.0
1020,2013-10-17,257.0
1021,2013-10-18,248.0
1022,2013-10-19,239.0
1023,2013-10-20,231.0
1024,2013-10-21,222.0
1025,2013-10-22,214.0
1026,2013-10-23,205.0
1027,2013-10-24,197.0
1028,2013-10-25,189.0
1029,2013-10-26,181.0
1030,2013-10-27,173.0
1031,2013-10-28,167.0
1032,2013-10-29,161.0
1033,2013-10-30,154.0
1034,2013-10-31,146.0
1035,2013-11-01,143.0
1036,2013-11-02,144.0
1037,2013-11-03,144.0
1038,2013-11-04,143.0
1039,2013-11-05,144.0
1040,2013-11-06,144.0
1041,2013-11-07,144.0
1042,2013-11-08,144.0
1043,2013-11-09,144.0
