,datetime,SAMMAMISH_LAKE_NEAR_REDMOND__WA.
505,2012-05-20,26.79
506,2012-05-21,26.8
507,2012-05-22,26.83
508,2012-05-23,26.83
509,2012-05-24,26.84
510,2012-05-25,26.82
511,2012-05-26,26.8
512,2012-05-27,26.77
513,2012-05-28,26.74
514,2012-05-29,26.72
515,2012-05-30,26.69
516,2012-05-31,26.68
517,2012-06-01,26.69
518,2012-06-02,26.68
519,2012-06-03,26.66
520,2012-06-04,26.65
521,2012-06-05,26.7
522,2012-06-06,26.78
523,2012-06-07,26.82
524,2012-06-08,26.86
525,2012-06-09,26.88
526,2012-06-10,26.88
527,2012-06-11,26.86
528,2012-06-12,26.85
529,2012-06-13,26.83
530,2012-06-14,26.81
531,2012-06-15,26.78
532,2012-06-16,26.75
533,2012-06-17,26.73
534,2012-06-18,26.73
535,2012-06-19,26.74
536,2012-06-20,26.72
537,2012-06-21,26.7
538,2012-06-22,26.71
539,2012-06-23,26.8
540,2012-06-24,26.86
541,2012-06-25,26.87
542,2012-06-26,26.88
543,2012-06-27,26.86
544,2012-06-28,26.84
545,2012-06-29,26.81
546,2012-06-30,26.8
547,2012-07-01,26.79
548,2012-07-02,26.76
549,2012-07-03,26.76
550,2012-07-04,26.75
551,2012-07-05,26.73
552,2012-07-06,26.7
553,2012-07-07,26.68
554,2012-07-08,26.65
555,2012-07-09,26.62
556,2012-07-10,26.6
557,2012-07-11,26.56
558,2012-07-12,26.54
559,2012-07-13,26.51
560,2012-07-14,26.49
561,2012-07-15,26.46
562,2012-07-16,26.44
563,2012-07-17,26.42
564,2012-07-18,26.4
565,2012-07-19,26.38
566,2012-07-20,26.39
567,2012-07-21,26.39
568,2012-07-22,26.37
569,2012-07-23,26.35
570,2012-07-24,26.33
571,2012-07-25,26.32
572,2012-07-26,26.3
573,2012-07-27,26.28
574,2012-07-28,26.27
575,2012-07-29,26.26
576,2012-07-30,26.25
577,2012-07-31,26.24
578,2012-08-01,26.23
579,2012-08-02,26.21
580,2012-08-03,26.21
581,2012-08-04,26.2
582,2012-08-05,26.19
583,2012-08-06,26.18
584,2012-08-07,26.18
585,2012-08-08,26.16
586,2012-08-09,26.16
587,2012-08-10,26.15
588,2012-08-11,26.14
589,2012-08-12,26.14
590,2012-08-13,26.13
591,2012-08-14,26.12
592,2012-08-15,26.11
593,2012-08-16,26.1
594,2012-08-17,26.1
595,2012-08-18,26.1
596,2012-08-19,26.09
597,2012-08-20,26.08
598,2012-08-21,26.07
599,2012-08-22,26.06
600,2012-08-23,26.05
601,2012-08-24,26.04
602,2012-08-25,26.03
603,2012-08-26,26.02
604,2012-08-27,26.01
605,2012-08-28,26.01
606,2012-08-29,25.99
607,2012-08-30,25.99
608,2012-08-31,25.98
609,2012-09-01,25.98
610,2012-09-02,25.97
611,2012-09-03,25.97
612,2012-09-04,25.95
613,2012-09-05,25.95
614,2012-09-06,25.94
615,2012-09-07,25.94
616,2012-09-08,25.94
617,2012-09-09,25.93
618,2012-09-10,25.94
619,2012-09-11,25.94
620,2012-09-12,25.93
621,2012-09-13,25.92
622,2012-09-14,25.91
623,2012-09-15,25.91
624,2012-09-16,25.91
625,2012-09-17,25.91
626,2012-09-18,25.91
627,2012-09-19,25.92
628,2012-09-20,25.92
629,2012-09-21,25.9
630,2012-09-22,25.9
631,2012-09-23,25.89
632,2012-09-24,25.89
633,2012-09-25,25.89
634,2012-09-26,25.89
635,2012-09-27,25.88
636,2012-09-28,25.88
637,2012-09-29,25.88
638,2012-09-30,25.88
639,2012-10-01,25.87
640,2012-10-02,25.87
641,2012-10-03,25.86
642,2012-10-04,25.85
643,2012-10-05,25.84
644,2012-10-06,25.83
645,2012-10-07,25.83
646,2012-10-08,25.82
647,2012-10-09,25.82
648,2012-10-10,25.83
649,2012-10-11,25.82
650,2012-10-12,25.82
651,2012-10-13,25.85
652,2012-10-14,25.88
653,2012-10-15,25.93
654,2012-10-16,25.96
655,2012-10-17,25.97
656,2012-10-18,25.98
657,2012-10-19,26.08
658,2012-10-20,26.13
659,2012-10-21,26.15
660,2012-10-22,26.18
661,2012-10-23,26.21
662,2012-10-24,26.22
663,2012-10-25,26.26
664,2012-10-26,26.27
665,2012-10-27,26.3
666,2012-10-28,26.37
667,2012-10-29,26.48
668,2012-10-30,26.59
669,2012-10-31,26.78
670,2012-11-01,26.89
671,2012-11-02,26.93
672,2012-11-03,26.95
673,2012-11-04,26.94
674,2012-11-05,26.98
675,2012-11-06,26.97
676,2012-11-07,26.93
677,2012-11-08,26.89
678,2012-11-09,26.85
679,2012-11-10,26.8
680,2012-11-11,26.76
681,2012-11-12,26.78
682,2012-11-13,26.78
683,2012-11-14,26.79
684,2012-11-15,26.78
685,2012-11-16,26.76
686,2012-11-17,26.76
687,2012-11-18,26.79
688,2012-11-19,27.01
689,2012-11-20,27.32
690,2012-11-21,27.44
691,2012-11-22,27.49
692,2012-11-23,27.55
693,2012-11-24,27.75
694,2012-11-25,27.77
695,2012-11-26,27.72
696,2012-11-27,27.64
697,2012-11-28,27.56
698,2012-11-29,27.49
699,2012-11-30,27.47
700,2012-12-01,27.58
701,2012-12-02,27.62
702,2012-12-03,27.75
703,2012-12-04,27.89
704,2012-12-05,27.94
705,2012-12-06,27.9
706,2012-12-07,27.84
707,2012-12-08,27.78
