,datetime,BEARDSLEY_LAKE_NEAR_STRAWBERRY_CA.
655,2012-10-17,42750
656,2012-10-18,43370
657,2012-10-19,43930
658,2012-10-20,44520
659,2012-10-21,45080
660,2012-10-22,45690
661,2012-10-23,46010
662,2012-10-24,46350
663,2012-10-25,46750
664,2012-10-26,47260
665,2012-10-27,47580
666,2012-10-28,47990
667,2012-10-29,48410
668,2012-10-30,48770
669,2012-10-31,49110
670,2012-11-01,49530
671,2012-11-02,49910
672,2012-11-03,50370
673,2012-11-04,50650
674,2012-11-05,51130
675,2012-11-06,51550
676,2012-11-07,51690
677,2012-11-08,51890
678,2012-11-09,51890
679,2012-11-10,51610
680,2012-11-11,51330
681,2012-11-12,51200
682,2012-11-13,50970
683,2012-11-14,50780
684,2012-11-15,50200
685,2012-11-16,49630
686,2012-11-17,49020
687,2012-11-18,48360
688,2012-11-19,47650
689,2012-11-20,46910
690,2012-11-21,46190
691,2012-11-22,45450
692,2012-11-23,44700
693,2012-11-24,43950
694,2012-11-25,43190
695,2012-11-26,42440
696,2012-11-27,41690
697,2012-11-28,40990
698,2012-11-29,40280
699,2012-11-30,40210
700,2012-12-01,40180
701,2012-12-02,41790
702,2012-12-03,41980
703,2012-12-04,41750
704,2012-12-05,41640
705,2012-12-06,41520
706,2012-12-07,41180
707,2012-12-08,40910
708,2012-12-09,40470
709,2012-12-10,40190
710,2012-12-11,39920
711,2012-12-12,39630
712,2012-12-13,39330
713,2012-12-14,39030
714,2012-12-15,38780
715,2012-12-16,38500
716,2012-12-17,38330
717,2012-12-18,38340
718,2012-12-19,37900
719,2012-12-20,37490
720,2012-12-21,37480
721,2012-12-22,37470
722,2012-12-23,37490
723,2012-12-24,37630
724,2012-12-25,37640
725,2012-12-26,37750
726,2012-12-27,37840
727,2012-12-28,37850
728,2012-12-29,37700
729,2012-12-30,37470
730,2012-12-31,37320
731,2013-01-01,37310
732,2013-01-02,37330
733,2013-01-03,37370
734,2013-01-04,37370
735,2013-01-05,37390
736,2013-01-06,37320
737,2013-01-07,37230
738,2013-01-08,37130
739,2013-01-09,37070
740,2013-01-10,37020
741,2013-01-11,36950
742,2013-01-12,36670
743,2013-01-13,36620
744,2013-01-14,36540
745,2013-01-15,36430
746,2013-01-16,36440
747,2013-01-17,36480
748,2013-01-18,36480
749,2013-01-19,36540
750,2013-01-20,36480
751,2013-01-21,36440
752,2013-01-22,36430
753,2013-01-23,36060
754,2013-01-24,35460
755,2013-01-25,34970
756,2013-01-26,34680
757,2013-01-27,34580
758,2013-01-28,34340
759,2013-01-29,34100
760,2013-01-30,33530
761,2013-01-31,32980
762,2013-02-01,32630
763,2013-02-02,32430
764,2013-02-03,32090
765,2013-02-04,31830
766,2013-02-05,31530
767,2013-02-06,31360
768,2013-02-07,30950
769,2013-02-08,30700
770,2013-02-09,30480
771,2013-02-10,30210
772,2013-02-11,29830
773,2013-02-12,29270
774,2013-02-13,28910
775,2013-02-14,28650
776,2013-02-15,28460
777,2013-02-16,28310
778,2013-02-17,28090
779,2013-02-18,27790
780,2013-02-19,27820
781,2013-02-20,28120
782,2013-02-21,28000
783,2013-02-22,27730
784,2013-02-23,27320
785,2013-02-24,27110
786,2013-02-25,26940
787,2013-02-26,26530
788,2013-02-27,26300
789,2013-02-28,26080
790,2013-03-01,25830
791,2013-03-02,25560
792,2013-03-03,25420
793,2013-03-04,25280
794,2013-03-05,25410
795,2013-03-06,25580
796,2013-03-07,25690
797,2013-03-08,25520
798,2013-03-09,25270
799,2013-03-10,25280
800,2013-03-11,25360
801,2013-03-12,25430
802,2013-03-13,25580
803,2013-03-14,25770
804,2013-03-15,26090
805,2013-03-16,26560
806,2013-03-17,26870
807,2013-03-18,27200
808,2013-03-19,27910
809,2013-03-20,28610
810,2013-03-21,29260
811,2013-03-22,29760
812,2013-03-23,30430
813,2013-03-24,31020
814,2013-03-25,31640
815,2013-03-26,32220
816,2013-03-27,32970
817,2013-03-28,33650
818,2013-03-29,34230
819,2013-03-30,34960
820,2013-03-31,35630
821,2013-04-01,36200
822,2013-04-02,36910
823,2013-04-03,37660
824,2013-04-04,38320
825,2013-04-05,38940
826,2013-04-06,39550
827,2013-04-07,40290
828,2013-04-08,40740
829,2013-04-09,41330
830,2013-04-10,41760
831,2013-04-11,42460
832,2013-04-12,43200
833,2013-04-13,44010
834,2013-04-14,44740
835,2013-04-15,45510
836,2013-04-16,46100
837,2013-04-17,46750
838,2013-04-18,47190
839,2013-04-19,47830
840,2013-04-20,48380
841,2013-04-21,49110
842,2013-04-22,49830
843,2013-04-23,50490
844,2013-04-24,51000
845,2013-04-25,51520
846,2013-04-26,52490
847,2013-04-27,53490
848,2013-04-28,54450
849,2013-04-29,55410
850,2013-04-30,56000
851,2013-05-01,56490
852,2013-05-02,56970
853,2013-05-03,57330
854,2013-05-04,57620
855,2013-05-05,57820
856,2013-05-06,58090
857,2013-05-07,58260
858,2013-05-08,58590
859,2013-05-09,59130
860,2013-05-10,59520
861,2013-05-11,60050
862,2013-05-12,60470
863,2013-05-13,60910
864,2013-05-14,61080
865,2013-05-15,61240
866,2013-05-16,61530
867,2013-05-17,61570
868,2013-05-18,61620
869,2013-05-19,61850
870,2013-05-20,62060
871,2013-05-21,62160
872,2013-05-22,62350
873,2013-05-23,62480
874,2013-05-24,62630
875,2013-05-25,62740
876,2013-05-26,62860
877,2013-05-27,62930
878,2013-05-28,63100
879,2013-05-29,63250
