,datetime,DIABLO_RESERVOIR_NEAR_NEWHALEM__WA.
365,2012-01-01,1200.69
366,2012-01-02,1200.31
367,2012-01-03,1200.83
368,2012-01-04,1200.86
369,2012-01-05,1200.86
370,2012-01-06,1201.48
371,2012-01-07,1200.71
372,2012-01-08,1200.56
373,2012-01-09,1201.08
374,2012-01-10,1200.49
375,2012-01-11,1201.66
376,2012-01-12,1201.47
377,2012-01-13,1201.94
378,2012-01-14,1202.11
379,2012-01-15,1201.07
380,2012-01-16,1200.29
381,2012-01-17,1201.13
382,2012-01-18,1200.93
383,2012-01-19,1200.93
384,2012-01-20,1201.15
385,2012-01-21,1200.91
386,2012-01-22,1200.94
387,2012-01-23,1200.42
388,2012-01-24,1200.67
389,2012-01-25,1201.43
390,2012-01-26,1201.44
391,2012-01-27,1201.0
392,2012-01-28,1201.47
393,2012-01-29,1200.83
394,2012-01-30,1201.13
395,2012-01-31,1200.38
396,2012-02-01,1200.73
397,2012-02-02,1200.9
398,2012-02-03,1200.85
399,2012-02-04,1200.47
400,2012-02-05,1200.83
401,2012-02-06,1201.3
402,2012-02-07,1200.28
403,2012-02-08,1200.71
404,2012-02-09,1200.93
405,2012-02-10,1200.11
406,2012-02-11,1201.17
407,2012-02-12,1201.0
408,2012-02-13,1200.72
409,2012-02-14,1201.22
410,2012-02-15,1201.45
411,2012-02-16,1201.97
412,2012-02-17,1200.48
413,2012-02-18,1200.83
414,2012-02-19,1200.94
415,2012-02-20,1200.69
416,2012-02-21,1200.66
417,2012-02-22,1200.49
418,2012-02-23,1201.35
419,2012-02-24,1201.21
420,2012-02-25,1201.76
421,2012-02-26,1201.07
422,2012-02-27,1201.17
423,2012-02-28,1200.28
424,2012-02-29,1200.91
425,2012-03-01,1201.04
426,2012-03-02,1202.33
427,2012-03-03,1200.53
428,2012-03-04,1200.09
429,2012-03-05,1199.7
430,2012-03-06,1199.94
431,2012-03-07,1200.16
432,2012-03-08,1200.84
433,2012-03-09,1200.68
434,2012-03-10,1200.16
435,2012-03-11,1199.92
436,2012-03-12,1200.37
437,2012-03-13,1200.47
438,2012-03-14,1200.26
439,2012-03-15,1201.36
440,2012-03-16,1201.38
441,2012-03-17,1201.32
442,2012-03-18,1200.17
443,2012-03-19,1202.23
444,2012-03-20,1201.6
445,2012-03-21,1202.51
446,2012-03-22,1200.85
447,2012-03-23,1200.6
448,2012-03-24,1200.25
449,2012-03-25,1200.56
450,2012-03-26,1200.47
451,2012-03-27,1200.39
452,2012-03-28,1200.99
453,2012-03-29,1200.67
454,2012-03-30,1200.85
455,2012-03-31,1200.66
456,2012-04-01,1201.97
457,2012-04-02,1201.49
458,2012-04-03,1201.45
459,2012-04-04,1200.86
460,2012-04-05,1201.49
461,2012-04-06,1201.01
462,2012-04-07,1200.88
463,2012-04-08,1200.68
464,2012-04-09,1201.32
465,2012-04-10,1201.65
466,2012-04-11,1201.03
467,2012-04-12,1201.67
468,2012-04-13,1200.55
469,2012-04-14,1201.42
470,2012-04-15,1201.3
471,2012-04-16,1199.57
472,2012-04-17,1203.54
473,2012-04-18,1200.7
474,2012-04-19,1202.47
475,2012-04-20,1203.35
476,2012-04-21,1202.48
477,2012-04-22,1202.4
478,2012-04-23,1202.93
479,2012-04-24,1203.66
480,2012-04-25,1203.25
481,2012-04-26,1203.02
482,2012-04-27,1202.14
483,2012-04-28,1201.2
484,2012-04-29,1200.75
485,2012-04-30,1200.42
486,2012-05-01,1200.76
487,2012-05-02,1200.88
488,2012-05-03,1201.24
489,2012-05-04,1200.59
490,2012-05-05,1200.67
491,2012-05-06,1201.44
492,2012-05-07,1201.71
493,2012-05-08,1201.05
494,2012-05-09,1200.85
495,2012-05-10,1200.56
496,2012-05-11,1200.86
497,2012-05-12,1200.65
498,2012-05-13,1201.05
499,2012-05-14,1201.71
500,2012-05-15,1201.16
501,2012-05-16,1201.45
502,2012-05-17,1199.89
503,2012-05-18,1201.61
504,2012-05-19,1201.38
505,2012-05-20,1201.27
506,2012-05-21,1201.63
507,2012-05-22,1200.73
508,2012-05-23,1199.63
509,2012-05-24,1199.85
510,2012-05-25,1200.28
