,datetime,GORGE_RESERVOIR_NEAR_NEWHALEM__WA.
489,2012-05-04,871.22
490,2012-05-05,871.82
491,2012-05-06,872.24
492,2012-05-07,871.49
493,2012-05-08,870.99
494,2012-05-09,868.94
495,2012-05-10,871.0
496,2012-05-11,871.83
497,2012-05-12,871.41
498,2012-05-13,872.33
499,2012-05-14,872.86
500,2012-05-15,872.59
501,2012-05-16,871.96
502,2012-05-17,873.15
503,2012-05-18,872.37
504,2012-05-19,872.86
505,2012-05-20,872.82
506,2012-05-21,872.61
507,2012-05-22,874.17
508,2012-05-23,874.24
509,2012-05-24,874.15
510,2012-05-25,872.23
511,2012-05-26,872.18
512,2012-05-27,873.54
513,2012-05-28,872.0
514,2012-05-29,870.64
515,2012-05-30,872.34
516,2012-05-31,872.75
517,2012-06-01,874.59
518,2012-06-02,873.37
519,2012-06-03,872.5
520,2012-06-04,873.44
521,2012-06-05,871.92
522,2012-06-06,872.26
523,2012-06-07,872.37
524,2012-06-08,869.67
525,2012-06-09,871.09
526,2012-06-10,872.54
527,2012-06-11,870.33
528,2012-06-12,872.48
529,2012-06-13,872.79
530,2012-06-14,872.49
531,2012-06-15,872.95
532,2012-06-16,873.42
533,2012-06-17,870.12
534,2012-06-18,870.06
535,2012-06-19,872.34
536,2012-06-20,872.41
537,2012-06-21,872.58
538,2012-06-22,871.56
539,2012-06-23,870.64
540,2012-06-24,870.44
541,2012-06-25,870.07
542,2012-06-26,871.96
543,2012-06-27,871.38
544,2012-06-28,872.44
545,2012-06-29,871.07
546,2012-06-30,871.15
547,2012-07-01,870.79
548,2012-07-02,873.46
549,2012-07-03,873.04
550,2012-07-04,872.82
551,2012-07-05,873.47
552,2012-07-06,869.34
553,2012-07-07,870.78
554,2012-07-08,870.81
555,2012-07-09,871.69
556,2012-07-10,873.1
557,2012-07-11,872.91
558,2012-07-12,872.78
559,2012-07-13,873.09
560,2012-07-14,871.62
561,2012-07-15,873.19
562,2012-07-16,871.62
563,2012-07-17,872.88
564,2012-07-18,872.8
565,2012-07-19,871.23
566,2012-07-20,870.88
567,2012-07-21,871.99
568,2012-07-22,871.86
569,2012-07-23,872.0
570,2012-07-24,873.02
571,2012-07-25,872.64
572,2012-07-26,873.16
573,2012-07-27,870.63
574,2012-07-28,871.83
575,2012-07-29,872.4
576,2012-07-30,873.06
577,2012-07-31,873.02
578,2012-08-01,871.18
579,2012-08-02,872.21
580,2012-08-03,873.87
581,2012-08-04,873.13
582,2012-08-05,873.71
583,2012-08-06,872.96
584,2012-08-07,871.56
585,2012-08-08,871.01
586,2012-08-09,870.65
587,2012-08-10,871.2
588,2012-08-11,871.32
589,2012-08-12,871.71
590,2012-08-13,872.43
591,2012-08-14,871.63
592,2012-08-15,871.59
593,2012-08-16,871.05
594,2012-08-17,872.1
595,2012-08-18,872.4
596,2012-08-19,872.72
597,2012-08-20,871.44
598,2012-08-21,871.41
599,2012-08-22,870.94
600,2012-08-23,871.1
601,2012-08-24,871.65
602,2012-08-25,870.91
603,2012-08-26,870.33
604,2012-08-27,872.64
605,2012-08-28,871.42
606,2012-08-29,870.55
607,2012-08-30,871.82
608,2012-08-31,871.08
609,2012-09-01,871.56
610,2012-09-02,871.65
611,2012-09-03,871.9
612,2012-09-04,872.22
613,2012-09-05,872.1
614,2012-09-06,872.07
615,2012-09-07,872.61
616,2012-09-08,871.89
617,2012-09-09,872.7
618,2012-09-10,871.53
619,2012-09-11,871.75
620,2012-09-12,871.77
621,2012-09-13,871.34
622,2012-09-14,871.84
623,2012-09-15,871.31
624,2012-09-16,872.84
625,2012-09-17,872.6
626,2012-09-18,871.53
627,2012-09-19,871.22
628,2012-09-20,871.64
629,2012-09-21,872.04
630,2012-09-22,871.35
631,2012-09-23,871.84
632,2012-09-24,872.53
633,2012-09-25,872.47
634,2012-09-26,872.6
635,2012-09-27,872.89
636,2012-09-28,871.4
637,2012-09-29,871.64
638,2012-09-30,872.36
639,2012-10-01,871.7
640,2012-10-02,871.9
641,2012-10-03,871.72
