,datetime,TRINITY_LAKE_NR_LEWISTON_CA.
489,2012-05-04,2350000
490,2012-05-05,2349000
491,2012-05-06,2346000
492,2012-05-07,2342000
493,2012-05-08,2341000
494,2012-05-09,2340000
495,2012-05-10,2340000
496,2012-05-11,2340000
497,2012-05-12,2341000
498,2012-05-13,2342000
499,2012-05-14,2344000
500,2012-05-15,2348000
501,2012-05-16,2349000
502,2012-05-17,2350000
503,2012-05-18,2349000
504,2012-05-19,2348000
505,2012-05-20,2348000
506,2012-05-21,2348000
507,2012-05-22,2346000
508,2012-05-23,2344000
509,2012-05-24,2341000
510,2012-05-25,2337000
511,2012-05-26,2334000
512,2012-05-27,2332000
513,2012-05-28,2330000
514,2012-05-29,2328000
515,2012-05-30,2326000
516,2012-05-31,2324000
517,2012-06-01,2323000
518,2012-06-02,2321000
519,2012-06-03,2319000
520,2012-06-04,2317000
521,2012-06-05,2316000
522,2012-06-06,2312000
523,2012-06-07,2308000
524,2012-06-08,2303000
525,2012-06-09,2300000
526,2012-06-10,2296000
527,2012-06-11,2292000
528,2012-06-12,2287000
529,2012-06-13,2283000
530,2012-06-14,2279000
531,2012-06-15,2275000
532,2012-06-16,2271000
533,2012-06-17,2267000
534,2012-06-18,2262000
535,2012-06-19,2256000
536,2012-06-20,2251000
537,2012-06-21,2247000
538,2012-06-22,2242000
539,2012-06-23,2238000
540,2012-06-24,2234000
541,2012-06-25,2229000
542,2012-06-26,2225000
543,2012-06-27,2221000
544,2012-06-28,2217000
545,2012-06-29,2213000
546,2012-06-30,2209000
547,2012-07-01,2206000
548,2012-07-02,2200000
549,2012-07-03,2196000
550,2012-07-04,2191000
551,2012-07-05,2186000
552,2012-07-06,2182000
553,2012-07-07,2177000
554,2012-07-08,2172000
555,2012-07-09,2168000
556,2012-07-10,2163000
557,2012-07-11,2159000
558,2012-07-12,2155000
559,2012-07-13,2150000
560,2012-07-14,2146000
561,2012-07-15,2141000
562,2012-07-16,2136000
563,2012-07-17,2131000
564,2012-07-18,2126000
565,2012-07-19,2122000
566,2012-07-20,2118000
567,2012-07-21,2115000
568,2012-07-22,2112000
569,2012-07-23,2108000
570,2012-07-24,2105000
571,2012-07-25,2101000
572,2012-07-26,2097000
573,2012-07-27,2094000
574,2012-07-28,2090000
575,2012-07-29,2086000
576,2012-07-30,2082000
577,2012-07-31,2079000
578,2012-08-01,2076000
579,2012-08-02,2072000
580,2012-08-03,2068000
581,2012-08-04,2065000
582,2012-08-05,2061000
583,2012-08-06,2056000
584,2012-08-07,2052000
585,2012-08-08,2049000
586,2012-08-09,2045000
587,2012-08-10,2040000
588,2012-08-11,2036000
589,2012-08-12,2033000
590,2012-08-13,2028000
591,2012-08-14,2024000
592,2012-08-15,2018000
593,2012-08-16,2013000
594,2012-08-17,2008000
595,2012-08-18,2002000
596,2012-08-19,1997000
597,2012-08-20,1992000
598,2012-08-21,1986000
599,2012-08-22,1981000
600,2012-08-23,1976000
601,2012-08-24,1971000
602,2012-08-25,1965000
603,2012-08-26,1960000
604,2012-08-27,1955000
605,2012-08-28,1949000
606,2012-08-29,1944000
607,2012-08-30,1939000
608,2012-08-31,1934000
609,2012-09-01,1928000
610,2012-09-02,1923000
611,2012-09-03,1918000
612,2012-09-04,1913000
613,2012-09-05,1908000
614,2012-09-06,1903000
615,2012-09-07,1898000
616,2012-09-08,1894000
617,2012-09-09,1889000
618,2012-09-10,1884000
619,2012-09-11,1879000
620,2012-09-12,1875000
621,2012-09-13,1870000
622,2012-09-14,1866000
623,2012-09-15,1861000
624,2012-09-16,1856000
625,2012-09-17,1851000
626,2012-09-18,1846000
627,2012-09-19,1842000
628,2012-09-20,1838000
629,2012-09-21,1834000
630,2012-09-22,1830000
631,2012-09-23,1826000
632,2012-09-24,1822000
633,2012-09-25,1818000
634,2012-09-26,1814000
635,2012-09-27,1810000
636,2012-09-28,1807000
637,2012-09-29,1803000
638,2012-09-30,1800000
639,2012-10-01,1796000
640,2012-10-02,1793000
641,2012-10-03,1789000
642,2012-10-04,1786000
643,2012-10-05,1782000
644,2012-10-06,1778000
645,2012-10-07,1774000
646,2012-10-08,1772000
647,2012-10-09,1769000
648,2012-10-10,1767000
649,2012-10-11,1765000
650,2012-10-12,1763000
651,2012-10-13,1761000
652,2012-10-14,1760000
653,2012-10-15,1758000
654,2012-10-16,1756000
655,2012-10-17,1754000
656,2012-10-18,1752000
657,2012-10-19,1750000
658,2012-10-20,1748000
659,2012-10-21,1747000
660,2012-10-22,1745000
661,2012-10-23,1744000
662,2012-10-24,1743000
663,2012-10-25,1741000
664,2012-10-26,1739000
665,2012-10-27,1738000
666,2012-10-28,1737000
667,2012-10-29,1736000
668,2012-10-30,1735000
669,2012-10-31,1734000
670,2012-11-01,1733000
671,2012-11-02,1732000
672,2012-11-03,1731000
673,2012-11-04,1729000
674,2012-11-05,1728000
675,2012-11-06,1727000
676,2012-11-07,1726000
677,2012-11-08,1724000
678,2012-11-09,1723000
679,2012-11-10,1722000
680,2012-11-11,1721000
681,2012-11-12,1721000
682,2012-11-13,1720000
683,2012-11-14,1719000
684,2012-11-15,1719000
685,2012-11-16,1718000
686,2012-11-17,1719000
687,2012-11-18,1719000
688,2012-11-19,1721000
689,2012-11-20,1728000
690,2012-11-21,1732000
691,2012-11-22,1734000
692,2012-11-23,1734000
693,2012-11-24,1734000
694,2012-11-25,1734000
695,2012-11-26,1734000
696,2012-11-27,1734000
697,2012-11-28,1736000
698,2012-11-29,1747000
699,2012-11-30,1776000
700,2012-12-01,1790000
701,2012-12-02,1835000
702,2012-12-03,1847000
703,2012-12-04,1862000
704,2012-12-05,1878000
705,2012-12-06,1887000
706,2012-12-07,1892000
707,2012-12-08,1897000
708,2012-12-09,1900000
709,2012-12-10,1903000
710,2012-12-11,1905000
711,2012-12-12,1907000
712,2012-12-13,1909000
713,2012-12-14,1911000
714,2012-12-15,1913000
715,2012-12-16,1915000
716,2012-12-17,1917000
717,2012-12-18,1918000
718,2012-12-19,1917000
719,2012-12-20,1918000
720,2012-12-21,1919000
721,2012-12-22,1918000
722,2012-12-23,1919000
723,2012-12-24,1918000
724,2012-12-25,1919000
725,2012-12-26,1917000
726,2012-12-27,1916000
727,2012-12-28,1915000
728,2012-12-29,1914000
729,2012-12-30,1912000
730,2012-12-31,1910000
731,2013-01-01,1908000
732,2013-01-02,1906000
733,2013-01-03,1904000
734,2013-01-04,1902000
735,2013-01-05,1901000
736,2013-01-06,1901000
737,2013-01-07,1900000
738,2013-01-08,1900000
739,2013-01-09,1900000
740,2013-01-10,1901000
741,2013-01-11,1901000
742,2013-01-12,1902000
743,2013-01-13,1904000
744,2013-01-14,1904000
745,2013-01-15,1905000
746,2013-01-16,1906000
747,2013-01-17,1906000
748,2013-01-18,1907000
749,2013-01-19,1909000
750,2013-01-20,1911000
751,2013-01-21,1912000
752,2013-01-22,1913000
753,2013-01-23,1916000
754,2013-01-24,1919000
755,2013-01-25,1924000
756,2013-01-26,1928000
757,2013-01-27,1931000
758,2013-01-28,1934000
759,2013-01-29,1937000
760,2013-01-30,1940000
761,2013-01-31,1943000
762,2013-02-01,1945000
763,2013-02-02,1947000
764,2013-02-03,1949000
765,2013-02-04,1951000
766,2013-02-05,1953000
767,2013-02-06,1956000
768,2013-02-07,1958000
769,2013-02-08,1960000
770,2013-02-09,1962000
771,2013-02-10,1964000
772,2013-02-11,1965000
773,2013-02-12,1966000
774,2013-02-13,1967000
775,2013-02-14,1968000
776,2013-02-15,1970000
777,2013-02-16,1971000
778,2013-02-17,1973000
779,2013-02-18,1974000
780,2013-02-19,1976000
781,2013-02-20,1978000
782,2013-02-21,1979000
783,2013-02-22,1979000
784,2013-02-23,1981000
785,2013-02-24,1983000
786,2013-02-25,1984000
787,2013-02-26,1984000
788,2013-02-27,1985000
789,2013-02-28,1986000
790,2013-03-01,1987000
791,2013-03-02,1988000
792,2013-03-03,1990000
793,2013-03-04,1992000
794,2013-03-05,1996000
795,2013-03-06,1999000
796,2013-03-07,2000000
797,2013-03-08,2002000
798,2013-03-09,2004000
799,2013-03-10,2006000
800,2013-03-11,2008000
801,2013-03-12,2011000
802,2013-03-13,2013000
803,2013-03-14,2016000
804,2013-03-15,2020000
805,2013-03-16,2023000
806,2013-03-17,2027000
807,2013-03-18,2028000
808,2013-03-19,2030000
809,2013-03-20,2035000
810,2013-03-21,2039000
811,2013-03-22,2042000
812,2013-03-23,2046000
813,2013-03-24,2048000
814,2013-03-25,2051000
815,2013-03-26,2052000
816,2013-03-27,2056000
817,2013-03-28,2059000
818,2013-03-29,2063000
819,2013-03-30,2067000
820,2013-03-31,2077000
821,2013-04-01,2085000
822,2013-04-02,2091000
823,2013-04-03,2096000
824,2013-04-04,2105000
825,2013-04-05,2115000
826,2013-04-06,2122000
827,2013-04-07,2130000
828,2013-04-08,2133000
829,2013-04-09,2136000
830,2013-04-10,2138000
831,2013-04-11,2140000
832,2013-04-12,2142000
833,2013-04-13,2143000
834,2013-04-14,2144000
835,2013-04-15,2145000
836,2013-04-16,2146000
837,2013-04-17,2147000
838,2013-04-18,2147000
839,2013-04-19,2147000
840,2013-04-20,2147000
841,2013-04-21,2148000
842,2013-04-22,2148000
843,2013-04-23,2148000
844,2013-04-24,2148000
845,2013-04-25,2148000
846,2013-04-26,2146000
847,2013-04-27,2144000
848,2013-04-28,2145000
849,2013-04-29,2144000
850,2013-04-30,2142000
851,2013-05-01,2140000
852,2013-05-02,2136000
853,2013-05-03,2131000
854,2013-05-04,2125000
855,2013-05-05,2120000
856,2013-05-06,2115000
857,2013-05-07,2113000
858,2013-05-08,2110000
859,2013-05-09,2108000
860,2013-05-10,2106000
861,2013-05-11,2104000
862,2013-05-12,2101000
863,2013-05-13,2098000
864,2013-05-14,2094000
865,2013-05-15,2090000
866,2013-05-16,2085000
867,2013-05-17,2081000
868,2013-05-18,2076000
869,2013-05-19,2071000
870,2013-05-20,2066000
871,2013-05-21,2060000
872,2013-05-22,2055000
873,2013-05-23,2049000
874,2013-05-24,2044000
875,2013-05-25,2039000
876,2013-05-26,2032000
877,2013-05-27,2027000
878,2013-05-28,2023000
879,2013-05-29,2017000
880,2013-05-30,2010000
881,2013-05-31,2004000
882,2013-06-01,1998000
883,2013-06-02,1992000
884,2013-06-03,1987000
885,2013-06-04,1981000
886,2013-06-05,1975000
887,2013-06-06,1969000
888,2013-06-07,1963000
889,2013-06-08,1957000
890,2013-06-09,1952000
891,2013-06-10,1945000
892,2013-06-11,1937000
893,2013-06-12,1929000
894,2013-06-13,1922000
895,2013-06-14,1915000
896,2013-06-15,1908000
897,2013-06-16,1901000
898,2013-06-17,1894000
