,datetime,SWIFT_RESERVOIR_NEAR_COUGAR__WA.
784,2013-02-23,642720.11
785,2013-02-24,642719.47
786,2013-02-25,642719.39
787,2013-02-26,642718.71
788,2013-02-27,642718.99
789,2013-02-28,642720.84
790,2013-03-01,642723.71
791,2013-03-02,642726.47
792,2013-03-03,642726.91
793,2013-03-04,642728.32
794,2013-03-05,642729.32
795,2013-03-06,642730.63
796,2013-03-07,642732.03
797,2013-03-08,642731.93
798,2013-03-09,642732.98
799,2013-03-10,642733.37
800,2013-03-11,642734.34
801,2013-03-12,642735.73
802,2013-03-13,642736.96
803,2013-03-14,642738.55
804,2013-03-15,642740.08
805,2013-03-16,642742.21
806,2013-03-17,642744.22
807,2013-03-18,642745.88
808,2013-03-19,642747.1
809,2013-03-20,642749.22
810,2013-03-21,642750.74
811,2013-03-22,642753.0
812,2013-03-23,642754.77
813,2013-03-24,642755.95
814,2013-03-25,642756.96
815,2013-03-26,642757.88
816,2013-03-27,642758.78
817,2013-03-28,642759.72
818,2013-03-29,642761.16
819,2013-03-30,642762.33
820,2013-03-31,642763.93
821,2013-04-01,642765.93
822,2013-04-02,642768.0
823,2013-04-03,642769.92
824,2013-04-04,642771.87
825,2013-04-05,642775.66
826,2013-04-06,642781.07
827,2013-04-07,642786.0
828,2013-04-08,642788.95
829,2013-04-09,642791.27
830,2013-04-10,642793.06
831,2013-04-11,642794.43
832,2013-04-12,642795.55
833,2013-04-13,642795.8
834,2013-04-14,642795.05
835,2013-04-15,642794.42
836,2013-04-16,642795.04
837,2013-04-17,642795.2
838,2013-04-18,642796.03
839,2013-04-19,642796.55
840,2013-04-20,642797.09
841,2013-04-21,642796.99
842,2013-04-22,642796.24
843,2013-04-23,642795.64
844,2013-04-24,642795.1
845,2013-04-25,642794.78
846,2013-04-26,642794.81
847,2013-04-27,642795.34
848,2013-04-28,642796.86
849,2013-04-29,642797.55
850,2013-04-30,642797.48
851,2013-05-01,642796.91
852,2013-05-02,642796.43
853,2013-05-03,642796.07
854,2013-05-04,642795.9
855,2013-05-05,642795.63
856,2013-05-06,642795.54
857,2013-05-07,642796.45
858,2013-05-08,642797.04
859,2013-05-09,642797.98
860,2013-05-10,642798.67
861,2013-05-11,642799.36
862,2013-05-12,642799.18
863,2013-05-13,642799.23
