,datetime,ROSS_RESERVOIR_NEAR_NEWHALEM__WA.
502,2012-05-17,1544.99
503,2012-05-18,1546.35
504,2012-05-19,1547.37
505,2012-05-20,1548.43
506,2012-05-21,1549.8
507,2012-05-22,1552.0
508,2012-05-23,1553.88
509,2012-05-24,1555.09
510,2012-05-25,1556.09
511,2012-05-26,1557.13
512,2012-05-27,1558.3
513,2012-05-28,1559.56
514,2012-05-29,1560.89
515,2012-05-30,1561.78
516,2012-05-31,1562.91
517,2012-06-01,1564.62
518,2012-06-02,1567.27
519,2012-06-03,1569.24
520,2012-06-04,1570.63
521,2012-06-05,1572.04
522,2012-06-06,1573.32
523,2012-06-07,1574.2
524,2012-06-08,1574.93
525,2012-06-09,1575.42
526,2012-06-10,1575.72
527,2012-06-11,1576.16
528,2012-06-12,1576.86
529,2012-06-13,1577.98
530,2012-06-14,1579.19
531,2012-06-15,1580.18
532,2012-06-16,1580.69
533,2012-06-17,1582.45
534,2012-06-18,1583.94
535,2012-06-19,1584.48
536,2012-06-20,1584.52
537,2012-06-21,1584.85
538,2012-06-22,1585.78
539,2012-06-23,1587.02
540,2012-06-24,1587.98
541,2012-06-25,1588.48
542,2012-06-26,1588.63
543,2012-06-27,1588.59
544,2012-06-28,1588.54
545,2012-06-29,1588.78
546,2012-06-30,1589.49
547,2012-07-01,1590.79
548,2012-07-02,1591.45
549,2012-07-03,1591.98
550,2012-07-04,1592.33
551,2012-07-05,1592.5
552,2012-07-06,1593.39
553,2012-07-07,1594.27
554,2012-07-08,1595.71
555,2012-07-09,1597.31
556,2012-07-10,1598.57
557,2012-07-11,1599.17
558,2012-07-12,1599.54
559,2012-07-13,1599.85
560,2012-07-14,1600.28
561,2012-07-15,1600.43
562,2012-07-16,1600.61
563,2012-07-17,1600.77
564,2012-07-18,1600.84
565,2012-07-19,1600.63
566,2012-07-20,1600.51
567,2012-07-21,1600.41
568,2012-07-22,1600.36
569,2012-07-23,1600.37
570,2012-07-24,1600.54
571,2012-07-25,1600.92
572,2012-07-26,1601.14
573,2012-07-27,1601.4
574,2012-07-28,1601.58
575,2012-07-29,1601.67
576,2012-07-30,1601.59
577,2012-07-31,1601.49
578,2012-08-01,1601.45
579,2012-08-02,1601.39
580,2012-08-03,1601.22
581,2012-08-04,1601.2
582,2012-08-05,1601.25
583,2012-08-06,1601.45
584,2012-08-07,1601.55
585,2012-08-08,1601.5
586,2012-08-09,1601.27
587,2012-08-10,1600.98
588,2012-08-11,1600.64
589,2012-08-12,1600.37
590,2012-08-13,1600.36
591,2012-08-14,1600.51
592,2012-08-15,1600.66
593,2012-08-16,1600.77
594,2012-08-17,1600.76
595,2012-08-18,1600.87
596,2012-08-19,1601.1
597,2012-08-20,1601.08
598,2012-08-21,1601.1
599,2012-08-22,1601.05
600,2012-08-23,1600.98
601,2012-08-24,1600.88
602,2012-08-25,1600.73
603,2012-08-26,1600.54
604,2012-08-27,1600.33
605,2012-08-28,1600.3
606,2012-08-29,1600.22
607,2012-08-30,1600.15
608,2012-08-31,1600.01
609,2012-09-01,1599.88
610,2012-09-02,1599.81
611,2012-09-03,1599.72
612,2012-09-04,1599.55
613,2012-09-05,1599.47
614,2012-09-06,1599.37
615,2012-09-07,1599.13
616,2012-09-08,1598.94
617,2012-09-09,1598.68
618,2012-09-10,1598.62
619,2012-09-11,1598.46
620,2012-09-12,1598.23
621,2012-09-13,1598.06
622,2012-09-14,1597.76
623,2012-09-15,1597.49
624,2012-09-16,1597.07
625,2012-09-17,1596.89
626,2012-09-18,1596.65
627,2012-09-19,1596.5
628,2012-09-20,1596.23
629,2012-09-21,1595.99
630,2012-09-22,1595.7
631,2012-09-23,1595.46
632,2012-09-24,1595.23
633,2012-09-25,1595.0
634,2012-09-26,1594.76
635,2012-09-27,1594.56
636,2012-09-28,1594.31
637,2012-09-29,1594.09
638,2012-09-30,1593.78
639,2012-10-01,1593.43
640,2012-10-02,1593.18
641,2012-10-03,1592.87
642,2012-10-04,1592.52
643,2012-10-05,1592.19
644,2012-10-06,1591.85
645,2012-10-07,1591.56
646,2012-10-08,1591.21
647,2012-10-09,1590.78
648,2012-10-10,1590.43
649,2012-10-11,1590.1
650,2012-10-12,1589.8
651,2012-10-13,1589.62
652,2012-10-14,1589.96
653,2012-10-15,1590.48
654,2012-10-16,1590.96
655,2012-10-17,1591.09
656,2012-10-18,1591.16
657,2012-10-19,1592.55
658,2012-10-20,1593.3
659,2012-10-21,1593.63
660,2012-10-22,1593.57
661,2012-10-23,1593.43
662,2012-10-24,1593.21
663,2012-10-25,1592.94
664,2012-10-26,1592.7
665,2012-10-27,1592.45
666,2012-10-28,1592.69
667,2012-10-29,1593.41
668,2012-10-30,1594.49
669,2012-10-31,1595.81
670,2012-11-01,1596.44
671,2012-11-02,1596.23
672,2012-11-03,1595.85
673,2012-11-04,1595.98
674,2012-11-05,1596.19
675,2012-11-06,1595.94
676,2012-11-07,1595.55
677,2012-11-08,1594.73
678,2012-11-09,1593.8
679,2012-11-10,1592.71
680,2012-11-11,1591.66
681,2012-11-12,1590.57
682,2012-11-13,1589.54
683,2012-11-14,1588.83
684,2012-11-15,1588.62
685,2012-11-16,1588.22
686,2012-11-17,1587.94
687,2012-11-18,1587.69
688,2012-11-19,1587.81
689,2012-11-20,1587.9
690,2012-11-21,1588.05
691,2012-11-22,1587.93
692,2012-11-23,1588.03
693,2012-11-24,1588.16
694,2012-11-25,1588.04
695,2012-11-26,1587.78
696,2012-11-27,1587.57
697,2012-11-28,1587.24
698,2012-11-29,1587.02
699,2012-11-30,1586.79
700,2012-12-01,1586.66
701,2012-12-02,1586.51
702,2012-12-03,1586.48
703,2012-12-04,1586.44
704,2012-12-05,1586.47
705,2012-12-06,1586.31
706,2012-12-07,1586.2
707,2012-12-08,1585.94
708,2012-12-09,1585.63
709,2012-12-10,1585.27
710,2012-12-11,1584.95
711,2012-12-12,1584.54
712,2012-12-13,1584.06
713,2012-12-14,1583.61
714,2012-12-15,1583.15
715,2012-12-16,1582.7
716,2012-12-17,1582.33
717,2012-12-18,1581.78
718,2012-12-19,1581.4
719,2012-12-20,1580.95
720,2012-12-21,1580.42
721,2012-12-22,1579.91
722,2012-12-23,1579.31
723,2012-12-24,1578.84
724,2012-12-25,1578.14
725,2012-12-26,1577.56
726,2012-12-27,1576.98
727,2012-12-28,1576.33
728,2012-12-29,1575.64
729,2012-12-30,1575.01
730,2012-12-31,1574.38
731,2013-01-01,1573.49
732,2013-01-02,1572.55
733,2013-01-03,1571.62
734,2013-01-04,1570.7
735,2013-01-05,1569.83
736,2013-01-06,1568.91
737,2013-01-07,1568.31
738,2013-01-08,1567.72
739,2013-01-09,1567.39
740,2013-01-10,1566.57
741,2013-01-11,1565.83
742,2013-01-12,1564.87
743,2013-01-13,1563.92
744,2013-01-14,1563.1
745,2013-01-15,1562.25
746,2013-01-16,1561.17
747,2013-01-17,1560.12
748,2013-01-18,1559.06
749,2013-01-19,1557.87
750,2013-01-20,1556.73
751,2013-01-21,1555.46
752,2013-01-22,1554.22
753,2013-01-23,1553.14
754,2013-01-24,1552.25
755,2013-01-25,1551.33
756,2013-01-26,1550.37
757,2013-01-27,1549.55
758,2013-01-28,1548.76
759,2013-01-29,1547.93
760,2013-01-30,1547.16
761,2013-01-31,1546.44
762,2013-02-01,1545.59
763,2013-02-02,1544.5
764,2013-02-03,1543.72
765,2013-02-04,1542.92
766,2013-02-05,1542.03
767,2013-02-06,1541.14
768,2013-02-07,1539.97
769,2013-02-08,1538.84
770,2013-02-09,1537.74
771,2013-02-10,1536.75
772,2013-02-11,1535.9
773,2013-02-12,1534.9
774,2013-02-13,1534.16
775,2013-02-14,1533.18
776,2013-02-15,1532.45
777,2013-02-16,1531.48
778,2013-02-17,1530.65
779,2013-02-18,1529.77
780,2013-02-19,1528.93
781,2013-02-20,1527.88
782,2013-02-21,1526.9
783,2013-02-22,1526.15
784,2013-02-23,1525.33
785,2013-02-24,1524.44
786,2013-02-25,1523.54
787,2013-02-26,1522.59
788,2013-02-27,1521.63
789,2013-02-28,1520.71
790,2013-03-01,1520.27
791,2013-03-02,1520.08
792,2013-03-03,1519.95
793,2013-03-04,1519.73
794,2013-03-05,1519.37
795,2013-03-06,1519.08
796,2013-03-07,1518.71
797,2013-03-08,1518.24
798,2013-03-09,1517.67
799,2013-03-10,1517.23
800,2013-03-11,1516.67
801,2013-03-12,1516.3
802,2013-03-13,1516.19
803,2013-03-14,1516.39
804,2013-03-15,1516.64
805,2013-03-16,1517.02
806,2013-03-17,1517.34
807,2013-03-18,1517.38
808,2013-03-19,1517.29
809,2013-03-20,1517.3
810,2013-03-21,1517.23
811,2013-03-22,1516.97
812,2013-03-23,1516.57
813,2013-03-24,1516.12
814,2013-03-25,1515.78
815,2013-03-26,1515.25
816,2013-03-27,1514.56
817,2013-03-28,1513.91
818,2013-03-29,1513.31
819,2013-03-30,1512.68
820,2013-03-31,1512.3
821,2013-04-01,1512.43
822,2013-04-02,1512.89
823,2013-04-03,1513.46
824,2013-04-04,1514.19
825,2013-04-05,1515.46
826,2013-04-06,1516.93
827,2013-04-07,1518.01
828,2013-04-08,1518.78
829,2013-04-09,1519.19
830,2013-04-10,1519.8
831,2013-04-11,1520.29
832,2013-04-12,1520.52
833,2013-04-13,1520.92
834,2013-04-14,1520.93
835,2013-04-15,1520.84
836,2013-04-16,1520.77
837,2013-04-17,1520.43
838,2013-04-18,1520.16
839,2013-04-19,1519.97
840,2013-04-20,1519.71
841,2013-04-21,1519.59
842,2013-04-22,1519.24
843,2013-04-23,1518.93
844,2013-04-24,1518.6
845,2013-04-25,1518.47
846,2013-04-26,1518.12
847,2013-04-27,1518.33
848,2013-04-28,1518.64
849,2013-04-29,1519.16
850,2013-04-30,1519.5
851,2013-05-01,1519.79
852,2013-05-02,1519.93
853,2013-05-03,1520.08
854,2013-05-04,1520.64
855,2013-05-05,1521.9
856,2013-05-06,1524.13
857,2013-05-07,1527.31
858,2013-05-08,1531.05
859,2013-05-09,1534.78
860,2013-05-10,1538.3
861,2013-05-11,1541.89
862,2013-05-12,1546.12
863,2013-05-13,1550.65
864,2013-05-14,1554.07
865,2013-05-15,1556.22
866,2013-05-16,1557.81
867,2013-05-17,1559.34
868,2013-05-18,1560.67
869,2013-05-19,1561.91
870,2013-05-20,1563.07
871,2013-05-21,1564.53
872,2013-05-22,1565.73
873,2013-05-23,1566.67
874,2013-05-24,1567.38
875,2013-05-25,1567.94
876,2013-05-26,1568.5
877,2013-05-27,1568.94
878,2013-05-28,1569.65
879,2013-05-29,1570.31
880,2013-05-30,1570.93
881,2013-05-31,1571.45
882,2013-06-01,1572.03
883,2013-06-02,1572.69
884,2013-06-03,1573.42
885,2013-06-04,1574.38
886,2013-06-05,1575.69
887,2013-06-06,1577.15
888,2013-06-07,1578.75
889,2013-06-08,1580.17
890,2013-06-09,1581.23
891,2013-06-10,1582.15
