agency_cd	site_no	datetime	115575_00010_00001	115575_00010_00001_cd	115576_00010_00002	115576_00010_00002_cd	115577_00010_00003	115577_00010_00003_cd	115578_00400_00001	115578_00400_00001_cd	115579_00400_00002	115579_00400_00002_cd	115581_00400_00008	115581_00400_00008_cd	115582_00095_00001	115582_00095_00001_cd	115583_00095_00002	115583_00095_00002_cd	115584_00095_00003	115584_00095_00003_cd	115585_00300_00001	115585_00300_00001_cd	115586_00300_00002	115586_00300_00002_cd	115587_00300_00003	115587_00300_00003_cd	115588_62625_00001	115588_62625_00001_cd	115589_62625_00002	115589_62625_00002_cd	115590_62625_00003	115590_62625_00003_cd	115591_00036_00003	115591_00036_00003_cd	115592_00052_00001	115592_00052_00001_cd	115593_00052_00002	115593_00052_00002_cd	115594_00052_00003	115594_00052_00003_cd	115595_00020_00001	115595_00020_00001_cd	115596_00020_00002	115596_00020_00002_cd	115597_00020_00003	115597_00020_00003_cd
5s	15s	20d	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s
USGS	422622122004000	2013-09-12	20.3	A	19.6	A	19.8	A	7.7	A	7.4	A	7.4	A	127	A	126	A	126	A																										
USGS	422622122004000	2013-09-13	20.1	A	19.7	A	19.8	A	7.7	A	7.3	A	7.5	A	127	A	126	A	126	A																										
USGS	422622122004000	2013-09-14	20.5	A	19.6	A	19.9	A	7.6	A	7.4	A	7.5	A	127	A	126	A	127	A																										
USGS	422622122004000	2013-09-15	20.9	A	19.9	A	20.4	A	7.8	A	7.4	A	7.6	A	127	A	127	A	127	A																										
USGS	422622122004000	2013-09-16	19.9	A	19.2	A	19.5	A	7.8	A	7.4	A	7.5	A	127	A	127	A	127	A																										
USGS	422622122004000	2013-09-17	19.5	A	17.9	A	18.7	A	7.8	A	7.5	A	7.7	A	127	A	126	A	127	A																										
USGS	422622122004000	2013-09-18	18.5	A	17.1	A	17.6	A	8.0	A	7.4	A	7.6	A	127	A	126	A	126	A																										
USGS	422622122004000	2013-09-19	18.0	A	17.0	A	17.3	A	7.8	A	7.5	A	7.6	A	127	A	126	A	126	A																										
USGS	422622122004000	2013-09-20	18.0	A	17.0	A	17.5	A	7.9	A	7.5	A	7.6	A	128	A	126	A	127	A																										
USGS	422622122004000	2013-09-21	17.0	A	16.1	A	16.6	A	7.6	A	7.4	A	7.5	A	127	A	127	A	127	A																										
USGS	422622122004000	2013-09-22	16.1	A	15.2	A	15.6	A	7.7	A	7.5	A	7.6	A	128	A	127	A	127	A																										
USGS	422622122004000	2013-09-23	15.7	A	14.8	A	15.2	A	8.0	A	7.5	A	7.6	A	128	A	127	A	127	A																										
USGS	422622122004000	2013-09-24	15.6	A	13.6	A	14.5	A	7.8	A	7.6	A	7.8	A	128	A	124	A	126	A																										
USGS	422622122004000	2013-09-25	13.6	A	12.7	A	13.2	A	7.9	A	7.7	A	7.8	A	127	A	124	A	126	A																										
USGS	422622122004000	2013-09-26	12.8	A	11.8	A	12.3	A	7.9	A	7.7	A	7.8	A	127	A	126	A	126	A																										
USGS	422622122004000	2013-09-27	13.1	A	11.7	A	12.3	A	8.3	A	7.8	A	7.9	A	127	A	126	A	126	A																										
USGS	422622122004000	2013-09-28	12.7	A	11.9	A	12.4	A	7.8	A	7.6	A	7.7	A	127	A	126	A	127	A																										
USGS	422622122004000	2013-09-29	12.3	A	11.5	A	12.0	A	7.8	A	7.5	A	7.7	A	127	A	125	A	126	A																										
USGS	422622122004000	2013-09-30	12.4	A	11.7	A	12.0	A	7.9	A	7.7	A	7.8	A	126	A	126	A	126	A																										
USGS	422622122004000	2013-10-01	11.8	A	10.8	A	11.2	A	8.0	A	7.8	A	7.9	A	126	A	125	A	126	A																										
USGS	422622122004000	2013-10-02	11.0	A	10.4	A	10.6	A	8.0	A	7.8	A	7.9	A	126	A	125	A	126	A																										
USGS	422622122004000	2013-10-03	10.6	A	9.9	A	10.2	A	8.0	A	7.8	A	7.8	A	127	A	125	A	126	A																										
USGS	422622122004000	2013-10-04	10.1	A	9.5	A	9.7	A	8.0	A	7.8	A	7.9	A	127	A	126	A	126	A																										
