agency_cd	site_no	datetime	164396_00010_00001	164396_00010_00001_cd	164397_00010_00002	164397_00010_00002_cd	164398_00010_00003	164398_00010_00003_cd	164399_00010_00001	164399_00010_00001_cd	164400_00010_00002	164400_00010_00002_cd	164401_00010_00003	164401_00010_00003_cd	164402_00010_00001	164402_00010_00001_cd	164403_00010_00002	164403_00010_00002_cd	164404_00010_00003	164404_00010_00003_cd	164405_00095_00001	164405_00095_00001_cd	164406_00095_00002	164406_00095_00002_cd	164407_00095_00003	164407_00095_00003_cd	164408_00095_00001	164408_00095_00001_cd	164409_00095_00002	164409_00095_00002_cd	164410_00095_00003	164410_00095_00003_cd	164411_00095_00001	164411_00095_00001_cd	164412_00095_00002	164412_00095_00002_cd	164413_00095_00003	164413_00095_00003_cd	164414_00300_00001	164414_00300_00001_cd	164415_00300_00002	164415_00300_00002_cd	164416_00300_00003	164416_00300_00003_cd	164417_00300_00001	164417_00300_00001_cd	164418_00300_00002	164418_00300_00002_cd	164419_00300_00003	164419_00300_00003_cd	164420_00300_00001	164420_00300_00001_cd	164421_00300_00002	164421_00300_00002_cd	164422_00300_00003	164422_00300_00003_cd	164423_00400_00001	164423_00400_00001_cd	164424_00400_00002	164424_00400_00002_cd	164425_00400_00008	164425_00400_00008_cd	164426_00400_00001	164426_00400_00001_cd	164427_00400_00002	164427_00400_00002_cd	164428_00400_00008	164428_00400_00008_cd	164429_00400_00001	164429_00400_00001_cd	164430_00400_00002	164430_00400_00002_cd	164431_00400_00008	164431_00400_00008_cd
5s	15s	20d	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s
USGS	422820122032100	2014-08-13	21.6	A	18.9	A	20.2	A							21.1	A	18.8	A	20.1	A	117	A	109	A	112	A							117	A	108	A	112	A	10.8	A	4.4	A	8.0	A							10.9	A	2.7	A	7.4	A	9.0	A	7.3	A	8.6	A							9.1	A	7.5	A	8.6	A
USGS	422820122032100	2014-08-14	22.0	A	18.0	A	20.0	A							22.0	A	17.8	A	19.9	A	112	A	110	A	111	A							111	A	109	A	110	A	12.8	A	7.6	A	10.0	A							12.8	A	7.6	A	9.9	A	9.3	A	8.8	A	9.0	A							9.2	A	8.8	A	9.0	A
USGS	422820122032100	2014-08-15	24.0	A	18.5	A	21.0	A							23.3	A	18.4	A	20.8	A	114	A	110	A	112	A							115	A	111	A	113	A	15.9	A	9.0	A	11.7	A							15.1	A	8.8	A	11.7	A	9.5	A	8.9	A	9.2	A							9.5	A	9.0	A	9.2	A
USGS	422820122032100	2014-08-16	24.2	A	19.5	A	21.9	A							24.1	A	19.5	A	21.7	A	111	A	102	A	107	A							115	A	112	A	113	A	13.1	A	9.1	A	11.3	A							13.5	A	9.0	A	11.2	A	9.2	A	8.6	A	9.0	A							9.4	A	9.0	A	9.2	A
USGS	422820122032100	2014-08-17	24.5	A	20.5	A	22.3	A							23.5	A	20.4	A	22.0	A	104	A	98	A	101	A							115	A	112	A	114	A	13.0	A	9.2	A	10.9	A							12.8	A	8.8	A	10.7	A	9.2	A	8.5	A	9.0	A							9.3	A	8.8	A	9.1	A
USGS	422820122032100	2014-08-18	26.0	A	19.7	A	22.1	A							24.2	A	19.9	A	21.8	A	118	A	100	A	107	A							116	A	108	A	113	A	15.4	A	7.1	A	10.4	A							14.4	A	5.7	A	10.2	A	9.4	A	7.8	A	9.0	A							9.4	A	8.0	A	9.1	A
USGS	422820122032100	2014-08-19			20.2	A									24.3	A	20.1	A	22.1	A													113	A	109	A	111	A	11.6	A	8.5	A	9.9	A							12.8	A	8.2	A	10.3	A	9.2	A	8.5	A	9.0	A							9.4	A	8.6	A	9.2	A
USGS	422820122032100	2014-08-20	23.9	A	20.0	A	21.8	A							23.8	A	20.0	A	21.6	A	113	A	104	A	109	A													12.8	A	6.8	A	9.7	A							13.2	A	5.7	A	9.6	A	9.6	A	8.5	A	9.2	A							9.5	A	8.7	A	9.1	A
USGS	422820122032100	2014-08-21	23.2	A	19.2	A	21.3	A							23.1	A	19.1	A	21.2	A	111	A	105	A	109	A													11.2	A	6.8	A	8.9	A							11.5	A	7.3	A	9.2	A	9.4	A	9.1	A	9.2	A							9.3	A	9.0	A	9.2	A
USGS	422820122032100	2014-08-22	22.6	A	19.0	A	20.8	A							22.6	A	18.9	A	20.7	A	113	A	108	A	111	A							117	A	110	A	114	A	11.8	A	6.9	A	9.3	A							12.0	A	7.2	A	9.6	A	9.3	A	8.8	A	8.9	A							9.2	A	8.5	A	8.8	A
